Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
1	-269.26935	44.012978	-212.796	-344.5929	-605.7215	33.69727	-562.25525	-688.3589	1000.0	1000.0	5000	5.7403116	5.7397223	39.021904	-4.8824983	5.74067	5.739678	39.473587	-5.082994	6.7626343	5.856832	38.121044	-14.349355	-1.4589949	3.1369936	107.93737	-13.40703	-7.1033983	0.15158895	0.15202801	0.32261285	39.914445877075195
2	-348.5335	67.721245	-242.78227	-432.5903	-427.88934	215.1508	-37.53767	-837.7112	1000.0	1000.0	10000	28.081219	9.59112	67.86662	0.7558054	28.081196	9.592368	70.30825	-0.020917326	29.894136	9.863154	69.231415	3.351737	1.1317154	3.5897222	28.854403	-14.948763	-30.67419	0.35586232	0.35318604	0.7659658	81.01542282104492
3	37.73678	495.48984	609.6296	-665.63074	1549.2151	47.58958	1630.5653	1453.8704	1000.0	1000.0	15000	49.08365	8.9588995	108.73181	20.064056	49.0836	8.959833	104.51475	20.698936	49.99294	8.888197	108.06885	17.23694	-0.6062454	3.2345622	44.68546	-14.109461	-50.762424	0.74595255	0.7418192	1.1441382	124.78221201896667
4	1098.3348	455.5036	1604.7954	308.16116	1974.5472	90.28809	2121.539	1772.5803	1000.0	1000.0	20000	53.688255	13.148311	98.85019	17.227507	53.68811	13.148671	97.957825	17.046444	54.37865	12.940435	96.79832	19.819647	-1.1087943	2.575273	20.228542	-15.489109	-55.072964	0.5099928	0.51348263	0.89647806	169.2872610092163
5	1473.9564	777.2021	2256.1611	151.52881	3167.4478	83.015656	3295.9429	3001.462	1000.0	1000.0	25000	64.77525	22.05555	122.90332	16.678686	64.77531	22.055313	122.40395	18.385334	65.54143	21.803535	121.897675	20.68835	-0.3804675	2.9829476	27.876451	-13.45679	-66.328766	0.7205943	0.72488457	1.1964077	213.1868815422058
6	1987.0629	887.74384	2749.202	399.58334	3603.5933	85.42522	3730.7854	3470.5857	1000.0	1000.0	30000	81.93785	31.860064	160.6704	19.593046	81.93777	31.860085	159.44005	21.034637	82.69723	31.52151	158.4274	21.93115	0.28872752	3.38229	26.510643	-13.731285	-83.558815	1.0665684	1.0725678	1.6926777	257.43276929855347
7	3054.545	133.7388	3259.4827	2892.078	3612.6003	117.217865	3795.5361	3393.1672	1000.0	1000.0	35000	101.7885	42.260185	191.46127	15.701803	101.78852	42.260098	190.51013	16.383404	102.510185	41.844944	189.72766	12.964291	0.86578554	3.7244976	35.094215	-15.64864	-103.474	1.540669	1.5459582	2.3385787	301.33523988723755
8	2805.024	877.59125	3581.8953	1096.31	3468.3367	879.74756	3876.219	847.9287	1000.0	1000.0	40000	123.91187	50.42776	220.71117	17.113594	123.91182	50.42743	220.49573	13.691286	124.57909	49.91315	220.37025	13.794621	1.3294417	3.89194	30.058842	-12.178447	-125.62609	2.1044784	2.1006887	2.9597135	344.9245276451111
9	3615.9797	166.33566	3863.0647	3399.5635	4293.9795	121.27098	4471.4365	4027.2644	1000.0	1000.0	45000	145.06503	57.19818	245.81128	18.073462	145.06508	57.198532	248.714	16.415981	145.64468	56.62414	239.14136	18.09372	1.5779699	3.9743218	33.897266	-14.305896	-146.7318	2.3320677	2.283717	3.2720754	389.14580845832825
10	3985.186	133.32443	4161.6826	3793.437	4329.484	71.15867	4430.534	4194.328	1000.0	1000.0	50000	166.69658	63.0822	269.20392	11.834009	166.69658	63.082863	267.07498	13.864302	167.23077	62.45703	269.47354	16.272	1.8826042	4.059125	44.318092	-12.718966	-168.3471	2.37238	2.3360868	3.3640485	433.921968460083
