Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-613.79224	59.25181	-515.07733	-672.61945	1000.0	-0.030494582	0.58677816	1.9754425	-2.1705956	4000	0.035340488	3435.221	-0.011085151	-654.3838	5.5626025	0.003409078	5.297662734985352
1	-550.60803	27.120543	-520.48126	-594.5967	1000.0	-7.3877378	4.6002846	8.394602	-14.604977	8000	-0.021557232	2243.91	-0.0057310965	-1062.3016	5.500006	0.0018601823	9.909674882888794
2	-511.85883	75.91284	-403.39478	-593.3481	1000.0	-22.10129	1.8573163	-2.6419413	-23.469257	12000	-0.0008909645	1044.4067	-0.004214296	-281.48822	5.4845963	0.0005334977	14.409286737442017
3	-514.3419	56.806866	-442.0647	-597.1368	1000.0	-28.60759	0.5833328	-21.537039	-28.964539	16000	-0.08651837	920.7302	-0.003307484	-158.1966	5.4778013	0.00091836305	18.66426968574524
4	-512.85974	123.16023	-314.60974	-649.5997	1000.0	-33.133297	0.4127723	-25.986141	-33.40006	20000	-0.0072482624	891.95886	-0.0036354656	-82.57721	5.481167	0.0009815911	22.206552505493164
5	-544.1631	61.663284	-438.1489	-588.5895	1000.0	-36.264595	1.4830248	-7.562854	-36.707497	24000	-0.020400634	478.65305	-0.0027749762	-91.04385	5.520448	0.0004259605	26.560823440551758
6	-487.42197	113.241135	-353.6069	-622.52625	1000.0	-39.83721	1.5737367	-6.368318	-40.276005	28000	-0.018843768	515.78076	-0.0029539112	-46.855164	5.50695	0.0010572205	30.787558555603027
7	-470.28638	114.88504	-344.18817	-621.14307	1000.0	-38.157524	5.833855	10.329908	-41.98336	32000	-0.06542566	511.1426	-0.0027278587	-32.275635	5.55441	0.00035794836	35.1920166015625
8	-569.1814	20.528465	-540.52124	-598.2026	1000.0	-40.87439	3.759862	1.3082834	-42.904274	36000	-0.007965343	467.55426	-0.0031381818	-70.78989	5.517242	4.9654664e-05	39.610227823257446
9	-510.21292	48.747604	-455.4336	-584.0128	1000.0	-42.482243	10.64847	41.851673	-45.824947	40000	0.045037452	570.6944	-0.0011616834	-204.35928	5.5541086	-0.000114731905	43.89607048034668
10	-568.86084	80.62957	-447.9916	-668.84106	1000.0	-45.03043	5.317505	7.56827	-47.35202	44000	0.0037852935	435.71002	-0.0017858343	-50.711426	5.500643	2.3021697e-05	48.443355560302734
11	-590.67914	59.160286	-533.96106	-689.96063	1000.0	-48.169846	4.36062	3.2055864	-49.693417	48000	-0.02115673	439.34274	-0.0025763623	-55.274628	5.562236	0.00045643598	52.74551796913147
12	-558.87	44.54412	-525.56256	-634.8356	1000.0	-51.253693	2.3965971	-22.49302	-52.224014	52000	-0.039229654	330.85983	-0.0032081716	-19.279694	5.562784	0.00013568896	56.98075890541077
13	-479.74213	36.036716	-445.5199	-533.536	1000.0	-49.939808	5.6282997	8.247667	-52.54382	56000	-0.0633794	381.95825	-0.0010714084	-103.97775	5.5403523	0.0009393753	61.27992081642151
14	-530.4464	25.900908	-488.93283	-558.9919	1000.0	-40.07737	11.229374	32.3657	-51.65087	60000	-0.0276571	480.2255	-0.0019130241	-187.72516	5.496799	-7.173961e-05	65.49341535568237
15	-539.4004	70.17897	-428.4273	-617.7738	1000.0	-50.73512	2.8469079	-22.25549	-52.0548	64000	-0.03410286	234.94247	-0.002410192	-25.499283	5.528484	0.00056124077	69.8534243106842
16	-548.2995	115.18365	-443.5347	-743.27325	1000.0	-48.9949	5.181714	-16.276806	-52.285496	68000	-0.07841497	508.19693	-0.0021357387	-64.43936	5.537696	0.0005644813	74.15033626556396
17	-606.2387	11.259374	-594.82916	-624.31744	1000.0	-27.878231	28.145655	50.20658	-52.938602	72000	-0.057598747	1643.9895	-0.001517728	-1358.0618	5.457831	0.0010423335	78.42503595352173
18	-547.0812	67.56469	-451.30295	-637.63837	1000.0	-54.03327	1.3828623	-33.6642	-54.582638	76000	-0.035908483	286.48413	-0.001406841	-41.755325	5.506962	0.00022607994	82.58600401878357
19	-489.1868	174.44312	-189.39246	-620.5903	1000.0	-49.265686	9.969452	21.327477	-54.08588	80000	-0.026983956	592.8715	-0.001728503	-165.74652	5.5297613	0.0007850115	86.8673574924469
20	-483.2766	124.28857	-282.80124	-622.3775	1000.0	-41.860382	12.485544	2.6705043	-54.214905	84000	-0.10035121	339.64587	-0.0010117441	-44.042236	5.5138807	7.77247e-05	91.48936629295349
21	-410.53204	126.06915	-244.26302	-589.6232	1000.0	-39.308613	11.0641	0.09587866	-54.03761	88000	0.01663952	403.65662	-0.001606904	-37.022247	5.501875	-0.00016267259	95.77302026748657
22	-552.14417	81.93592	-477.43042	-674.75336	1000.0	-39.15504	9.284814	-5.984771	-53.40643	92000	-0.011915709	754.7081	-0.0017781388	-154.87903	5.527683	0.00052818365	99.69706177711487
23	-546.80347	20.016483	-516.9963	-571.3868	1000.0	-51.293842	7.032272	-4.9299784	-55.337147	96000	-0.024446547	270.90143	-0.0015840586	-28.912048	5.437391	0.00047437043	104.27015542984009
24	-444.63324	64.71364	-384.34808	-548.57776	1000.0	-44.205734	10.856341	2.604934	-55.357162	100000	-0.00296986	399.16693	-0.0015072478	-66.57147	5.4713516	0.0004887832	108.37677526473999
25	-488.98334	43.68628	-419.00528	-531.5852	1000.0	-41.559467	11.502717	36.157936	-53.853985	104000	-0.07521554	378.8405	-0.0010802373	-92.937195	5.5247	0.00017087269	112.78620529174805
26	-483.70642	34.186646	-432.89856	-524.30414	1000.0	-46.961086	7.147159	-4.6826854	-54.48373	108000	-0.037033528	296.12732	-0.0015549101	-30.362244	5.526823	-5.4085074e-05	116.91024136543274
27	-467.1895	111.47663	-338.36407	-645.7258	1000.0	-43.52138	9.878134	-2.1002457	-54.329666	112000	-0.025379058	328.5361	-0.0011674315	-27.10205	5.5137587	2.9126168e-05	121.20101428031921
28	-465.31375	104.6349	-328.35992	-590.7197	1000.0	-42.955437	7.7581005	-0.73148346	-53.585194	116000	-0.02747882	369.48312	-0.0017932933	-35.15323	5.5256567	4.4423105e-05	125.48372793197632
29	-494.28378	62.799816	-431.25986	-568.0355	1000.0	-43.461384	6.979082	-0.7307419	-52.81973	120000	-0.04731088	279.66882	-0.0012944117	-31.805435	5.454494	2.0911337e-05	129.77491402626038
30	-440.2068	129.94177	-242.9084	-601.04114	1000.0	-37.386036	11.659342	10.817852	-53.587254	124000	-0.0057993545	449.69797	-0.0016331845	-64.78552	5.5319633	0.00081128854	134.54849100112915
31	-493.36462	99.833755	-322.56848	-574.73413	1000.0	-43.785015	7.0391417	3.7427175	-53.333656	128000	-0.014609394	289.0077	-0.0013992311	-41.574203	5.4696035	0.0009441935	139.02630710601807
32	-506.71146	41.184006	-447.23227	-560.5958	1000.0	-45.50911	9.942913	1.3947548	-54.59199	132000	-0.015799547	243.02188	-0.001576839	-33.691116	5.515202	-0.00016731548	143.35605716705322
33	-505.187	39.066128	-439.39923	-536.886	1000.0	-48.199875	6.048945	-16.305702	-54.208027	136000	-0.03489144	270.71222	-0.0015482903	-12.734314	5.5049324	0.00021157056	147.64309978485107
34	-419.74884	50.542812	-376.6609	-502.24484	1000.0	-46.250385	7.0943403	2.9758246	-53.580677	140000	-0.048045654	370.28195	-0.001970224	-101.11676	5.5254335	1.23251675e-05	151.50287461280823
35	-473.9834	134.91176	-297.73917	-676.4429	1000.0	-29.204372	20.361187	37.722363	-53.121384	144000	0.0052770157	1083.9043	-0.000812212	-675.8466	5.5056634	0.00032865387	155.78868865966797
36	-442.00842	148.5388	-186.51567	-555.5324	1000.0	-43.39659	7.601248	5.1246967	-54.16424	148000	-0.04354634	305.5898	-0.0011934303	-94.7186	5.5302076	0.00021760458	159.95998072624207
37	-461.20447	35.039494	-402.83527	-489.39957	1000.0	-41.126022	10.670174	8.162876	-53.142918	152000	-0.028719239	268.6751	-0.0021686163	-23.122131	5.4687304	0.00095036905	164.29532885551453
38	-468.38403	48.152634	-396.71414	-519.8184	1000.0	-42.61483	10.116165	5.205032	-53.42756	156000	-0.049426127	208.45981	-0.0017488673	-18.991196	5.487641	-0.00045739074	167.76681399345398
39	-440.85468	123.75821	-268.6353	-573.72406	1000.0	-40.657253	8.907985	1.1604726	-52.673412	160000	0.0064237393	372.73056	-0.0014871368	-47.150635	5.4637294	1.805973e-05	172.19316625595093
40	-462.49414	38.499725	-412.17493	-512.962	1000.0	-42.191566	7.26313	-6.7460113	-52.442673	164000	-0.021505123	193.25835	-0.0014471393	-16.796814	5.444397	-0.00012004191	177.10454487800598
41	-434.05902	45.108505	-380.7031	-501.92065	1000.0	-39.458305	8.029718	-3.0116968	-51.73928	168000	-0.019750671	208.04257	-0.0019776598	-20.22023	5.4948163	0.00018613809	181.16371202468872
42	-474.3674	97.30989	-354.2834	-572.86847	1000.0	-41.78114	7.0691905	-16.63871	-52.240433	172000	-0.0064526405	395.5157	-0.0008795797	-39.04489	5.456036	0.0006088683	185.31760954856873
43	-461.89532	82.92628	-378.9568	-564.5686	1000.0	-43.567	7.487331	-1.7568101	-53.989292	176000	-0.03393306	359.62476	-0.0011870041	-25.522308	5.4688087	0.00049974036	189.3788423538208
44	-476.17297	32.06841	-443.7803	-516.86554	1000.0	-44.457264	6.4647093	-5.0180144	-53.91102	180000	-0.05421709	241.97687	-0.0007529333	-28.028366	5.478538	0.00072249107	193.9000632762909
