Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-546.0867	107.318146	-448.13483	-724.5093	1000.0	-0.0130991815	0.66612124	1.6280441	-1.8183594	4000	-0.044966485	2652.31	-0.011129126	-811.63135	5.4874845	0.002651948	5.348644495010376
1	-570.0359	67.31492	-492.61096	-677.5372	1000.0	-10.793772	3.7497535	7.074925	-14.230171	8000	-0.0035955573	2201.7456	-0.0056385947	-766.74585	5.464627	0.0018216455	9.542258262634277
2	-502.649	90.41813	-404.61606	-634.19116	1000.0	-21.363195	1.5712563	9.057027	-21.750643	12000	0.045961604	871.24176	-0.005516067	-224.51996	5.4994206	0.00043408608	13.602336883544922
3	-586.3789	65.29839	-533.3973	-697.4845	1000.0	-26.512833	1.1182553	-1.6210988	-26.731173	16000	-0.0013728313	1348.1498	-0.0025860462	-234.08679	5.4887342	1.10219125e-05	17.871203184127808
4	-556.5552	86.70694	-425.71423	-660.6707	1000.0	-31.723969	0.42785895	-13.536221	-31.800344	20000	-0.02247671	702.5085	-0.0036298689	-104.13806	5.496349	0.0013774221	21.872865676879883
5	-660.7834	143.84267	-445.4828	-850.409	1000.0	-35.343384	0.30271694	-29.294132	-35.420376	24000	0.012318235	1604.9038	-0.0034363363	-231.09253	5.469417	0.00089835684	26.2267427444458
6	-570.9529	112.194725	-466.66858	-759.5604	1000.0	-40.6354	0.6536225	-17.032188	-40.705597	28000	-0.0291456	682.03186	-0.003245214	-29.259521	5.4966283	-0.00048242896	30.36537480354309
7	-532.65173	87.02221	-419.14288	-645.2733	1000.0	-42.793404	0.330948	-33.92211	-42.83813	32000	-0.050904237	434.65692	-0.0036913902	-7.622345	5.503254	0.0020514189	34.39583921432495
8	-568.5443	104.43433	-447.64862	-723.2384	1000.0	-43.7141	1.2670096	-1.8515899	-43.871258	36000	0.007327196	630.6719	-0.001510004	-15.833862	5.528701	0.0012082646	38.69423246383667
9	-615.29913	185.60023	-411.75272	-858.7398	1000.0	-34.733772	27.807735	44.54357	-45.350464	40000	-0.033160027	1693.0085	-0.0019900352	-819.4559	5.501132	0.00052477315	42.67409944534302
10	-573.10394	123.70467	-459.57675	-779.47107	1000.0	-47.83179	0.36801597	-38.90491	-47.903217	44000	0.023710592	977.90424	-0.0023166426	-12.177429	5.5221686	0.00047495824	47.36580538749695
11	-507.37738	66.21535	-449.3367	-615.41064	1000.0	-47.79439	2.7319307	-3.080423	-48.536217	48000	0.020427754	429.60635	-0.00092934817	-20.9888	5.532508	9.418595e-05	51.55392670631409
12	-550.4529	182.25682	-419.89282	-863.6414	1000.0	-45.929142	3.459482	1.5952942	-47.904	52000	-0.051365603	552.2717	-0.0014854968	-44.15326	5.4515347	-0.00011925661	55.59295463562012
13	-602.92847	105.855446	-469.46967	-744.59534	1000.0	-45.55019	2.9812846	-11.727617	-49.272896	56000	-0.0053527956	656.3275	-0.0014711763	-65.75714	5.5353537	0.00043314035	59.89501738548279
14	-529.7502	177.83853	-367.05112	-829.7267	1000.0	-45.64489	4.3781276	-2.3899162	-52.432076	60000	-0.0028041287	732.7081	-0.002653654	-76.20691	5.4920454	0.00018228585	64.3871238231659
15	-493.65878	92.94995	-386.69757	-638.52637	1000.0	-45.115936	7.630737	-16.04071	-53.98727	64000	0.014857535	256.45438	-0.0030082008	-19.93013	5.554585	0.0010939183	68.51615905761719
16	-597.9917	194.79681	-426.177	-914.8896	1000.0	-42.85743	8.552841	-9.273538	-53.874184	68000	-0.014367455	805.4808	-0.0024754899	-86.897644	5.5246425	0.0005169699	72.8724730014801
17	-472.78183	29.323078	-448.82913	-521.7528	1000.0	-42.16527	7.2356477	-14.3743725	-57.10879	72000	-0.042893462	182.85828	-0.0024923421	-9.223846	5.483816	0.00014886541	77.27325201034546
18	-555.6255	194.96214	-334.54657	-799.2439	1000.0	-46.732845	9.765476	-21.749512	-57.755306	76000	-0.005006752	671.73553	-0.0012837374	-67.47699	5.5310497	0.0009503254	81.32181477546692
19	-517.321	129.26645	-387.26282	-731.01483	1000.0	-40.205063	13.563068	-9.549689	-59.96125	80000	-0.047905754	275.18695	-0.001207497	-49.995605	5.4901824	0.00058000605	85.51817417144775
20	-558.23157	127.2078	-440.00372	-762.99976	1000.0	-45.956642	10.819951	-33.212563	-61.151535	84000	-0.0546393	415.67465	-0.0022970587	-23.043182	5.5103846	0.00092737994	90.17795062065125
21	-688.4879	67.708305	-582.884	-760.443	1000.0	-55.14243	11.333525	6.1946282	-62.738735	88000	-0.044800065	843.263	-0.0019677766	-138.48322	5.5400977	0.00047066022	94.29048252105713
22	-419.78296	73.34243	-333.08615	-534.2157	1000.0	-32.08828	11.999346	10.041956	-66.669	92000	-0.005329525	332.5376	-0.0012799366	-124.98854	5.5097656	-0.00014879728	98.67206454277039
23	-493.34442	179.41489	-376.0242	-803.5621	1000.0	-44.728916	12.890785	47.293995	-67.06429	96000	0.03123996	373.9174	-0.0010252018	-73.03238	5.5086184	0.00045182914	102.64681100845337
24	-430.97696	68.33929	-347.5754	-532.1931	1000.0	-39.75471	10.636387	-4.3000617	-66.84585	100000	-0.013456539	189.89519	-0.0014698328	-21.965881	5.4889	0.0005416626	106.84426140785217
25	-498.9378	136.42029	-352.44498	-690.2386	1000.0	-41.114094	10.59248	21.525778	-66.71182	104000	-0.0028005124	419.96518	-0.0011867781	-76.95883	5.5306115	0.00047682703	111.03045845031738
26	-484.2949	56.321266	-393.63678	-547.3519	1000.0	-48.408016	14.713992	-2.142437	-67.39111	108000	-0.031318646	457.5013	-0.002112642	-77.479645	5.476828	0.00066047546	115.2029333114624
27	-415.14624	98.08885	-268.2509	-508.04706	1000.0	-36.61639	10.470088	-11.864312	-66.74249	112000	-0.05112785	226.35208	-0.002210632	-31.607986	5.5264225	0.00014923322	118.88551330566406
28	-502.0449	131.92865	-362.23102	-711.451	1000.0	-42.381874	14.768358	28.185045	-67.07278	116000	-0.051902488	267.58914	-0.0025166832	-40.864334	5.4722414	0.00043539668	122.81377387046814
29	-509.2225	139.56186	-339.79407	-721.78796	1000.0	-47.25817	12.882818	-9.147964	-67.12003	120000	-0.008925203	429.31152	-0.0015395563	-58.662292	5.5480556	0.00048697906	126.88463830947876
30	-432.27283	81.158195	-303.1139	-527.4912	1000.0	-38.849106	13.220461	-2.6491544	-67.144325	124000	-0.051225036	203.79366	-0.0017764531	-32.340317	5.4871645	0.0007922379	131.38826823234558
31	-417.01553	92.53925	-320.13574	-569.56934	1000.0	-38.305817	11.741563	18.614126	-67.070984	128000	-0.019237133	267.2493	-0.0025682375	-71.05914	5.5218515	0.00086911867	135.39770412445068
32	-407.4448	18.689064	-387.96387	-428.8106	1000.0	-36.764835	7.546603	13.013443	-66.29671	132000	-0.053058784	235.48569	-0.00068345293	-52.480347	5.527327	0.00014564418	139.475971698761
33	-401.41785	54.635464	-342.74466	-485.18533	1000.0	-34.094063	8.228942	-9.315216	-65.854805	136000	-0.04034583	157.25107	-0.0017022379	-20.663116	5.4757423	0.00015298754	143.74138689041138
34	-427.98578	86.54711	-334.1949	-566.9379	1000.0	-38.893814	10.37461	3.928823	-66.57683	140000	-0.062738396	252.836	-0.0021618828	-30.927246	5.489475	0.0003661942	148.051983833313
35	-355.4738	43.12564	-310.8657	-420.01575	1000.0	-32.69705	8.053418	-3.2194886	-66.588036	144000	-0.010648396	155.25702	-0.0016891873	-38.773018	5.549826	0.00018682855	152.02338933944702
36	-402.42532	81.76539	-321.08096	-516.36926	1000.0	-32.99346	5.6348257	-14.077057	-65.762276	148000	0.0068033054	191.77025	-0.0009841942	-49.003784	5.4558573	0.000105135085	156.28919768333435
37	-448.73773	136.76193	-248.16455	-633.53375	1000.0	-38.120205	11.434935	-0.779245	-66.99546	152000	-0.0004705591	320.399	-0.0016616678	-126.04945	5.4853992	0.0005336989	160.46545886993408
38	-401.31097	48.541218	-333.23495	-458.92328	1000.0	-36.334076	14.282516	-4.9166713	-66.853134	156000	-0.019247308	243.34666	-0.0014103334	-50.239838	5.440376	0.0008199849	164.43428874015808
39	-427.4507	105.95696	-249.55458	-529.2111	1000.0	-38.901478	12.945843	19.098236	-66.49326	160000	0.01242713	293.25262	-0.0016021654	-50.151947	5.43857	2.762568e-05	168.36997437477112
40	-370.62943	38.016727	-346.0053	-436.30505	1000.0	-29.818632	11.675642	-8.470407	-66.229	164000	-0.07732116	202.4236	-0.0009717494	-78.96619	5.5075936	0.00020474767	173.23247265815735
41	-516.45233	132.12068	-393.29965	-714.06274	1000.0	-37.09017	9.713016	-5.792136	-66.27415	168000	-0.037342545	776.8645	-0.0021512285	-269.773	5.5026493	0.0007193945	177.3438367843628
42	-471.13177	83.37895	-399.095	-607.2136	1000.0	-43.684868	16.49815	28.928555	-68.75884	172000	0.004914341	375.4703	-0.0016441841	-78.69235	5.520287	1.5268148e-05	181.25922012329102
43	-374.4082	49.67445	-313.37167	-425.38535	1000.0	-34.957596	10.229523	-4.237805	-67.85672	176000	-0.012978932	159.8844	-0.0013908707	-42.646996	5.471291	0.0005021655	185.46182346343994
44	-452.90927	75.733406	-357.88928	-558.6498	1000.0	-27.10519	18.801247	42.980976	-67.66836	180000	-0.00618772	573.54315	-0.001218236	-398.9682	5.4596925	0.00055630074	189.75530123710632
45	-355.49228	48.681984	-294.3548	-429.0727	1000.0	-35.629078	12.615608	-25.356094	-69.928665	184000	-0.08851438	201.58832	-0.0014402717	-94.35985	5.5042863	0.0010858324	193.9173548221588
46	-334.96765	50.788532	-291.6441	-421.23547	1000.0	-31.440046	6.327234	-5.593971	-68.20899	188000	-0.055840846	177.76256	-0.0011388585	-38.792862	5.4973807	-9.732765e-05	198.25296831130981
47	-357.41302	48.91419	-293.218	-417.31915	1000.0	-30.007898	7.993885	-1.9040706	-66.640686	192000	-0.008343034	194.93509	-0.0011353148	-45.21588	5.4768987	0.0002099862	202.26716303825378
48	-409.95892	107.2024	-250.09007	-551.91943	1000.0	-31.101368	7.1902623	7.9266424	-66.32723	196000	-0.023034709	220.5281	-0.0019339267	-93.91259	5.508906	0.0007076246	206.37049436569214
49	-432.23993	94.908455	-339.87762	-567.94696	1000.0	-38.99035	13.383479	-3.5658863	-69.29271	200000	-0.075136185	209.42468	-0.0014787242	-39.694565	5.538128	0.0008672056	210.63013100624084
50	-399.64078	120.028305	-262.6952	-553.0837	1000.0	-34.556866	15.291618	16.582657	-68.9712	204000	0.0020293943	353.55148	-0.00258169	-95.80856	5.4793916	0.0012831335	215.2679295539856
51	-360.69366	44.93973	-315.43036	-435.46277	1000.0	-31.510778	13.635839	3.6375263	-68.4929	208000	-0.016609352	202.15254	-0.0009996947	-66.18637	5.480138	0.00079197926	219.78379702568054
52	-347.3563	45.44843	-272.27332	-383.85526	1000.0	-32.46591	7.6948934	-2.6882114	-65.90615	212000	-0.070211425	143.83391	-0.001655072	-36.236298	5.4600773	0.0001550113	223.92866730690002
53	-339.95868	121.525955	-183.78464	-524.96356	1000.0	-29.492125	5.8613214	8.246272	-66.73399	216000	-0.03286399	353.61118	-0.0008768961	-106.264114	5.4645596	0.00036216242	228.23365116119385
54	-308.99588	52.101673	-240.36688	-387.10263	1000.0	-28.206158	11.497407	16.504045	-67.957634	220000	-0.021416716	229.93806	-0.0014291257	-63.42372	5.5217066	-0.00027604628	232.5072317123413
55	-353.37057	55.001457	-271.84525	-423.81058	1000.0	-26.941313	6.985546	-3.3222015	-61.6017	224000	-0.04215223	152.35278	-0.0011148714	-45.832787	5.4678125	-0.00024673666	237.02280139923096
56	-436.61734	178.69977	-245.72922	-715.0443	1000.0	-33.875744	10.214211	-10.532066	-66.87539	228000	-0.05995887	442.14218	-0.0016218349	-168.76819	5.481911	0.00018184948	241.1998085975647
57	-370.51483	90.38426	-283.08572	-521.8051	1000.0	-33.49581	14.9517565	-9.454927	-71.33693	232000	-0.027300991	287.28665	-0.0011809804	-61.59694	5.5289493	0.00036511463	245.65466046333313
58	-353.73795	171.49367	-233.67148	-649.6723	1000.0	-32.31485	11.344869	11.57393	-71.744286	236000	-0.028915443	294.2815	-0.0015236251	-53.54924	5.5072603	-0.0004246102	249.92700695991516
59	-304.82156	87.860596	-180.53488	-429.0421	1000.0	-30.166834	11.173144	29.839357	-72.77695	240000	-0.05493585	203.9991	-0.0018780008	-53.098984	5.493575	-2.7998567e-05	254.24496793746948
60	-401.5855	131.61697	-267.63586	-619.91736	1000.0	-29.977127	11.279996	1.6575532	-71.588936	244000	-0.0140523	359.36288	-0.0013966272	-139.45654	5.5245466	-0.00014466417	258.79277443885803
61	-325.11163	28.71193	-290.37415	-366.35303	1000.0	-33.069916	9.732919	-6.0438094	-73.33244	248000	-0.045972474	190.74347	-0.0014973693	-100.97627	5.503298	-0.00014201933	262.82340812683105
62	-374.85352	43.832787	-301.73535	-415.8997	1000.0	-29.265862	6.3320284	10.821567	-69.673195	252000	-0.026515253	388.08044	-0.0010018758	-144.28276	5.502581	0.0009500209	266.99917364120483
63	-338.00723	40.245598	-275.4687	-387.82715	1000.0	-31.025549	11.066042	14.583702	-72.535065	256000	-0.05658389	181.95723	-0.0021325126	-50.378174	5.51367	0.00040220201	271.29367089271545
