Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	-617.20044	116.8179	-474.2215	-749.21747	1000.0	0.051302157	0.858547	2.3856053	-2.2143424	4000	-6.693602e-08	3547.1948	-0.05783143	-602.4529	0.00877706	0.0	5.7083258628845215
1	-643.19165	11.535939	-630.7633	-660.3427	1000.0	-10.641227	4.0678997	9.757276	-15.262199	8000	-6.9141386e-09	2737.952	-0.060615472	-1038.8997	0.008765148	0.0	10.258843660354614
2	-692.06976	71.81698	-577.74634	-773.8449	1000.0	-11.537697	18.583961	23.601006	-23.908388	12000	-3.8027764e-08	3221.767	-0.061432336	-1716.9327	0.008628933	0.0	14.91581130027771
3	-740.4809	100.21376	-645.5676	-906.55676	1000.0	-28.618608	1.1831484	-10.273661	-29.200712	16000	1.02877614e-07	2160.6455	-0.060394056	-482.7395	0.008749706	0.0	19.705546379089355
4	-647.4555	49.455086	-585.52246	-713.931	1000.0	-35.274246	0.5810836	-22.767958	-35.496746	20000	9.775162e-09	972.97943	-0.059053052	-188.79944	0.008865351	0.0	24.57965850830078
5	-741.66534	65.196396	-689.5011	-853.35077	1000.0	-39.539726	0.22802821	-34.418148	-39.66054	24000	1.3113022e-08	1567.9315	-0.05671966	-245.63672	0.008810744	0.0	28.942034006118774
6	-704.8905	75.23707	-592.7405	-799.2876	1000.0	-44.28493	0.1151972	-42.60312	-44.35497	28000	-2.3841857e-09	897.1525	-0.060549457	-124.987305	0.008963033	0.0	33.85199284553528
7	-661.4571	57.16363	-616.41486	-758.2027	1000.0	-47.839264	0.096287794	-45.919044	-47.882736	32000	1.45435335e-08	436.10605	-0.05884707	-41.3255	0.008837508	0.0	38.53327965736389
8	-711.48816	133.11464	-623.7227	-941.7059	1000.0	-49.955532	0.13291878	-47.43072	-50.01774	36000	8.46386e-09	779.07544	-0.059730202	-67.42346	0.008915561	0.0	43.08252239227295
9	-636.10645	14.298324	-615.69745	-656.13525	1000.0	-52.658634	0.12376031	-49.63841	-52.70096	40000	3.9339065e-09	345.09805	-0.064121336	-5.458618	0.008806889	0.0	47.74924969673157
10	-657.7397	56.79147	-603.42596	-750.064	1000.0	-53.564667	0.09980797	-51.22383	-53.60772	44000	2.515316e-08	618.0087	-0.062050633	-10.481506	0.009005623	0.0	53.02263426780701
11	-696.20715	63.189728	-599.55865	-775.6923	1000.0	-54.367527	1.3326356	3.1320786	-54.567314	48000	-1.1563301e-08	674.5842	-0.06627177	-30.251892	0.009043087	0.0	57.66616177558899
12	-637.86426	65.68473	-566.63654	-742.414	1000.0	-56.062717	1.7504922	14.160231	-56.3755	52000	-2.515316e-08	454.85623	-0.06653103	-14.526428	0.008839999	0.0	62.00322723388672
13	-658.48425	84.41462	-535.86066	-766.0992	1000.0	-55.820965	4.3630295	13.231368	-56.803078	56000	-1.7404556e-08	690.63275	-0.062079925	-27.203857	0.008798966	0.0	66.71046471595764
14	-651.62476	93.77284	-546.8709	-786.1319	1000.0	-56.76918	4.137288	9.80009	-57.86914	60000	1.3351441e-08	549.29443	-0.05853589	-43.479645	0.008864393	0.0	71.42329287528992
15	-613.0452	111.82276	-524.96265	-803.8533	1000.0	-57.337776	3.1835158	-1.3421618	-58.532795	64000	-8.34465e-09	505.08344	-0.061858438	-19.79718	0.008823383	0.0	75.9762864112854
16	-525.8225	71.69819	-413.45837	-591.7371	1000.0	-54.48486	6.706817	20.630178	-57.997654	68000	-1.26361845e-08	546.73627	-0.060163293	-145.20953	0.008966412	0.0	80.38134670257568
17	-640.3002	73.58413	-569.6568	-755.02496	1000.0	-45.677273	8.800033	20.738379	-57.13851	72000	4.1007997e-08	731.8048	-0.0601047	-156.4898	0.008867148	0.0	84.77902722358704
18	-590.3562	69.93411	-474.24368	-658.2142	1000.0	-50.868065	13.3699665	53.513863	-58.203136	76000	9.298325e-09	607.953	-0.058349982	-157.29782	0.008819582	0.0	89.1193413734436
19	-627.66565	90.309685	-528.82745	-773.4836	1000.0	-51.37073	5.3240566	1.6533881	-57.967937	80000	1.8239021e-08	549.96735	-0.05700799	-42.390717	0.008837581	0.0	93.62401604652405
20	-594.5617	82.23284	-457.01035	-670.8491	1000.0	-52.995068	5.641727	9.657473	-58.615597	84000	-2.6226044e-09	388.3372	-0.05970032	-32.565216	0.008988148	0.0	98.78640246391296
21	-658.24866	70.45608	-563.75995	-739.9466	1000.0	-52.18009	6.3744965	-18.090324	-58.82213	88000	5.4836273e-09	529.3906	-0.06260875	-69.712616	0.008823794	0.0	103.47284173965454
