Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-579.86255	121.46929	-402.88776	-725.059	1000.0	-0.0048751873	0.49038443	1.3719467	-1.5096382	4000	-0.015768519	3459.6194	-0.010900488	-612.19385	5.488368	0.004389751	5.212382078170776
1	-622.67944	121.74668	-428.78656	-755.352	1000.0	-7.2379317	4.8105755	9.99972	-15.420061	8000	-0.034286175	2877.376	-0.008058533	-1260.3777	5.4966364	0.0052399365	9.307908296585083
2	-506.695	131.3058	-305.18634	-654.90356	1000.0	-16.773596	15.252289	23.902601	-24.199982	12000	-0.023098927	1574.5482	-0.006380953	-759.1352	5.52377	0.0034687987	13.822613000869751
3	-559.36035	92.297935	-410.19983	-638.24396	1000.0	-28.22144	1.0301776	-7.051468	-28.731993	16000	-0.0057084113	1085.2317	-0.0056304345	-189.22583	5.5349717	0.0016602916	18.067232370376587
4	-518.62494	83.634995	-392.10925	-601.6207	1000.0	-33.210194	0.5605101	-21.734337	-33.53401	20000	-0.044992875	831.4332	-0.0032301173	-87.96088	5.4879003	0.0012384624	22.41865062713623
5	-425.3888	105.34344	-266.84573	-557.9809	1000.0	-36.742004	0.565791	-25.755466	-37.00501	24000	-0.07450946	340.7493	-0.0029240996	-9.098938	5.4736753	0.0008964841	26.859277486801147
6	-518.0505	115.22831	-353.26474	-665.7068	1000.0	-37.20892	2.210945	5.8655605	-37.89827	28000	-0.003890684	589.549	-0.0054096915	-55.678772	5.496952	0.0026298682	31.36533546447754
7	-466.72357	75.26651	-346.46524	-554.0212	1000.0	-39.974037	1.6311381	-2.2700906	-40.481094	32000	-0.04188124	733.7045	-0.002498202	-41.091553	5.53299	0.0015235218	35.71986222267151
8	-412.98108	59.14724	-329.56863	-494.46335	1000.0	-39.345406	5.452219	19.532389	-41.768753	36000	-0.026230603	565.97296	-0.002619749	-62.68457	5.509925	0.0009381649	39.97076964378357
9	-480.7526	81.636635	-377.61258	-599.1328	1000.0	-38.241673	6.387773	23.258703	-41.92009	40000	-0.05183418	319.1408	-0.0025560595	-38.651733	5.50336	0.0010487597	44.1112105846405
10	-357.44757	88.92177	-244.1583	-475.90833	1000.0	-37.57849	7.2548785	22.746437	-43.09379	44000	-0.06647437	385.4735	-0.0012912378	-58.285645	5.4568095	0.0010120504	49.119763135910034
11	-378.4873	40.016403	-326.71915	-437.34406	1000.0	-33.76507	7.6436434	9.4151535	-42.44687	48000	-0.019541912	341.13165	-0.0026282612	-37.451477	5.560107	0.0012123627	53.37455701828003
12	-410.85205	48.88252	-342.4604	-465.76724	1000.0	-35.06847	7.1402817	24.621262	-42.53497	52000	0.016577343	339.62976	-0.0036155852	-34.40271	5.5155344	0.0011705625	57.65066695213318
13	-467.73788	56.440933	-426.45175	-564.71893	1000.0	-37.701656	5.7916117	10.788953	-42.648132	56000	0.025229435	337.4595	-0.0021588579	-41.415527	5.5377955	0.0013719965	61.64692282676697
14	-405.3487	86.99637	-331.1082	-547.04376	1000.0	-39.915874	5.4143972	9.907115	-43.948017	60000	-0.038427643	453.72302	-0.0027737655	-49.58499	5.5344095	0.0015482025	66.1548204421997
15	-383.49774	79.84388	-257.36386	-464.55518	1000.0	-38.29997	7.530743	10.617941	-43.920742	64000	-0.04595884	309.11258	-0.0014543384	-107.49127	5.5254374	0.00048896123	70.55874824523926
16	-417.66428	43.901405	-347.4685	-455.54233	1000.0	-28.219152	11.48752	6.558714	-44.184303	68000	-0.011710877	496.82687	-0.0017797472	-158.43997	5.4921317	0.0003202663	74.79323649406433
17	-259.68692	72.60855	-183.73534	-367.06598	1000.0	-33.56028	9.372559	21.495771	-44.73241	72000	-0.020463306	426.26297	-0.0020586196	-171.30392	5.531628	0.00092111004	78.86789536476135
18	-397.72943	93.436554	-300.064	-500.1902	1000.0	-28.82823	10.256132	9.775755	-44.02697	76000	-0.019996475	383.92636	-0.0012156721	-104.45535	5.5014963	0.0012780451	83.15240359306335
