Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-63.01589	107.33423	21.511364	-374.3893	-144.07951	253.21632	-9.931219	-891.2274	191.44	142.9	5000	-0.18916419	1.9584126	16.392036	-9.664347	-0.18894017	1.9567783	16.219927	-9.657762	-0.75323224	0.23760244	37.10007834434509
2	-79.30872	125.47591	16.212057	-363.60693	-270.7774	678.34515	-16.44999	-2303.6953	222.78261	122.7	10000	5.395916	4.8811316	41.593426	-10.219745	5.396134	4.880039	43.93889	-9.825028	-7.8919597	1.0405475	76.06723642349243
3	-64.74427	202.19894	293.67926	-1045.0358	171.7114	147.22818	561.35077	39.204346	155.03125	580.5	15000	10.643346	5.817627	52.220325	-10.105701	10.644651	5.819495	52.675156	-9.090915	-12.788418	2.687907	124.94531679153442
4	61.43645	84.97216	238.92813	-27.717476	93.87432	148.50616	467.1087	3.538653	600.8571	347.3	20000	11.059478	7.164102	54.90639	-12.705862	11.059625	7.164877	54.74866	-10.993727	-13.109661	2.3501904	164.56567692756653
5	234.95993	223.56393	649.2867	39.832554	98.453415	132.41518	373.09702	2.831113	505.1	289.2	25000	11.064598	7.8108916	56.461025	-11.6430435	11.064526	7.812217	58.93426	-11.067261	-13.016366	2.357043	209.13905477523804
6	153.26186	180.03331	547.0605	-6.4032164	384.5464	293.41678	706.684	14.19044	394.07693	628.7	30000	12.438265	7.9262094	54.27761	-14.891137	12.438174	7.926973	52.32204	-17.027855	-14.254978	2.3561778	258.9031352996826
7	277.97922	155.80359	506.56323	-11.809551	231.07173	213.86664	609.5071	26.365614	680.4286	431.7	35000	14.266133	7.5463347	50.834663	-14.699316	14.26608	7.547477	51.42289	-11.399873	-16.00639	2.3758955	303.96850991249084
8	360.09424	233.95876	643.4711	12.297819	225.27579	231.69034	605.67816	33.30691	633.1111	382.0	40000	16.063173	6.999532	52.95491	-14.007943	16.063236	7.000859	51.19015	-11.831002	-17.688131	2.3162966	353.8512134552002
9	217.011	183.64717	518.9534	12.399568	356.9792	257.22717	691.0074	26.646473	404.63635	590.5	45000	18.06613	6.6650233	50.671646	-12.561319	18.0656	6.668084	52.444168	-13.695782	-19.620878	2.5095677	398.60431814193726
10	202.39732	212.61043	623.36444	-2.8281372	358.54474	306.31046	731.77686	9.662484	371.85715	536.6	50000	19.338917	6.4954214	54.599216	-9.710299	19.338888	6.498181	53.297348	-11.45587	-20.861498	2.6803565	448.2669496536255
11	254.82271	238.29056	694.4907	12.286985	228.31155	273.45367	828.85345	4.622236	394.5	273.5	55000	20.761425	6.2867303	54.83978	-13.968183	20.761314	6.2912936	53.524017	-11.084753	-22.242212	2.7108064	490.6404299736023
12	250.81747	203.21011	592.8982	31.013327	150.9926	158.14021	594.59894	11.655107	395.92307	237.9	60000	22.256075	6.1012783	53.76122	-17.172174	22.255697	6.1055336	54.14924	-18.65807	-23.680786	2.8311608	535.0770919322968
13	363.07346	285.69394	681.8915	4.998196	480.6446	279.89874	742.17615	14.31064	596.1111	720.4	65000	23.39951	5.980438	54.54477	-17.089106	23.399158	5.9823713	56.59798	-19.22311	-24.779072	2.7898965	587.8405179977417
14	406.26898	342.75192	751.51514	4.7743907	283.00482	289.29114	794.62317	34.375423	570.1111	371.5	70000	24.527187	6.0563073	56.24023	-19.368574	24.527147	6.059716	57.45563	-16.13841	-25.877789	2.8101068	634.795003414154
15	276.8255	279.14316	787.6414	13.452514	464.0476	279.70395	756.0331	12.728128	387.16666	639.5	75000	25.84726	6.1358023	55.205162	-20.733158	25.847023	6.1376925	55.604866	-14.978785	-27.162615	2.9916666	682.2968673706055
16	526.68195	270.13495	780.1134	15.908627	479.8085	247.42108	796.77527	146.9598	685.375	615.1	80000	27.356298	6.2409534	59.284252	-17.49981	27.356213	6.2427163	60.35395	-15.763596	-28.676394	2.928497	734.8525946140289
17	363.60318	234.28485	759.82	40.084873	487.1766	348.56512	931.5568	40.388058	389.9091	626.6	85000	29.000586	6.464755	59.229435	-15.297054	29.000511	6.465857	59.172123	-13.417875	-30.307262	3.132849	780.286878824234
18	484.05734	282.79498	827.2283	76.85026	289.51486	276.56274	762.76196	12.582494	640.55554	374.8	90000	30.392403	6.810724	60.359394	-15.23277	30.392183	6.812911	59.737873	-14.723361	-31.718214	3.3971329	832.2043199539185
19	407.27798	276.1467	766.299	82.96513	249.17822	296.94824	706.38696	-3.0718782	519.2222	337.1	95000	31.739735	7.1356792	61.915794	-14.540466	31.739529	7.138673	61.756493	-16.664433	-33.032413	3.4714549	876.746896982193
20	332.51547	384.79245	1255.8228	18.48587	333.1751	294.1905	803.9182	28.198263	371.16666	417.2	100000	32.92453	7.496096	65.33709	-16.39932	32.924305	7.4997425	66.91386	-19.143507	-34.23713	3.48029	919.5422103404999
21	392.24924	297.8438	961.91394	44.941135	397.21722	431.78806	1261.9191	4.97597	417.91666	371.7	105000	34.225677	8.031348	66.70039	-16.896923	34.22533	8.036796	68.74977	-20.08607	-35.49643	4.024673	966.3260631561279
22	515.4053	263.31403	938.22723	115.05528	631.94324	459.84998	1397.4746	40.640438	490.63635	574.1	110000	35.81549	8.721923	72.46059	-25.59429	35.815273	8.725315	70.1223	-20.013708	-37.085773	4.2235937	1017.517448425293
23	561.9436	409.00433	1190.7944	77.717514	479.1753	328.61942	1019.0645	41.00197	501.9091	565.0	115000	37.401062	9.565224	73.090126	-16.112576	37.40096	9.569105	72.68472	-23.678566	-38.689323	4.6503625	1070.2075324058533
24	731.11847	328.73877	1047.2472	87.14557	593.6716	371.92444	1287.8181	121.32343	747.0	543.0	120000	38.70623	10.3427105	76.64186	-20.135002	38.706017	10.34614	74.81455	-21.363453	-39.97821	4.956641	1115.8329560756683
25	734.0495	390.05505	1568.4629	310.1171	835.154	471.81952	1669.6228	282.59677	691.8571	609.9	125000	39.810837	11.176702	76.70507	-19.80515	39.810776	11.180595	76.83284	-29.792385	-41.10711	5.0354958	1165.2230606079102
26	796.42957	477.64536	1586.1671	127.7972	728.2826	379.22757	1270.208	154.57646	627.8889	686.4	130000	41.200657	12.272569	79.82887	-18.414354	41.20053	12.276896	83.67019	-20.848286	-42.562916	5.441357	1221.1229207515717
27	720.1381	293.2311	1062.139	129.79453	586.3157	323.235	1086.2136	112.68871	735.3333	615.9	135000	42.26138	13.273999	84.074554	-25.005041	42.26181	13.277309	82.681725	-25.597828	-43.613598	5.723363	1268.4307806491852
28	623.3101	480.16663	1436.3756	19.355503	1332.6218	496.4229	1993.0236	614.026	487.18182	872.2	140000	43.49096	14.474099	87.957726	-25.499973	43.490784	14.477595	88.853195	-25.072048	-44.899136	6.163449	1325.3108773231506
29	733.6979	308.8013	1129.4719	90.37881	746.2652	342.57196	1290.4572	72.57852	580.55554	641.9	145000	45.018486	15.700834	93.2494	-34.45284	45.018955	15.7033	91.425156	-29.311125	-46.443386	6.5788803	1378.7361648082733
30	609.3113	486.05048	1703.8767	79.31613	691.5345	327.4991	1085.8878	184.23969	557.7778	647.2	150000	46.289387	16.880953	94.69063	-24.67588	46.289444	16.884	94.257935	-28.757896	-47.748966	7.130832	1430.5765104293823
31	734.4988	416.35126	1386.2883	94.70703	1401.7026	439.39273	1920.3284	725.02277	510.1111	948.9	155000	47.318066	17.922232	98.853615	-35.46704	47.3182	17.924475	98.23621	-22.478119	-48.739437	7.654288	1483.5890743732452
32	710.6522	584.89374	1803.3186	38.266	943.0459	559.4865	2036.2064	143.10635	486.3	648.0	160000	48.279404	19.000584	101.271774	-29.25297	48.280365	19.00137	100.09546	-44.125313	-49.785164	7.9400654	1534.6023366451263
33	1040.6437	483.14172	1976.3258	527.565	1383.4471	636.3328	2253.7075	280.88614	830.8333	800.6	165000	49.32216	20.349323	104.37546	-42.997158	49.322845	20.348333	103.983765	-28.041643	-50.79519	9.003175	1588.9709513187408
34	887.9347	503.5418	1791.5354	296.14386	1830.0901	395.2533	2174.7346	926.9418	767.0	970.2	170000	50.122025	21.520945	106.95635	-62.416973	50.122753	21.520683	108.099655	-31.640274	-51.633636	9.153226	1649.04452586174
35	971.4608	626.4326	2006.2135	147.57172	1432.7513	677.2941	2044.6879	20.819895	570.6667	803.2	175000	51.444412	22.713669	109.365074	-26.067741	51.44561	22.713612	111.08411	-25.340023	-52.998898	9.970085	1704.7425639629364
36	1332.4691	461.1678	1920.772	736.6295	1779.6693	697.33356	2287.659	187.25053	896.6	894.2	180000	52.54369	23.864763	113.014465	-26.475838	52.54468	23.864527	113.03828	-28.667738	-54.142258	10.536027	1756.3868939876556
37	725.9529	522.24774	1719.6678	5.4933124	1375.2899	740.46594	2344.2175	269.36594	485.18182	890.9	185000	53.3608	24.86381	114.87619	-60.57748	53.36171	24.86371	115.054375	-26.932816	-54.99184	10.96437	1814.3916459083557
38	959.31793	820.8319	2242.8333	-10.487601	1853.976	709.6704	2540.1555	389.04037	537.1111	863.4	190000	54.370502	25.936277	122.07594	-40.792778	54.37067	25.938992	118.74993	-31.546783	-56.079548	11.539214	1867.4774363040924
39	1132.5138	640.6776	2173.3833	158.39192	1021.40076	704.8678	2389.478	30.151651	649.25	638.9	195000	55.80175	27.295824	123.75067	-45.801693	55.802784	27.295229	125.195625	-42.745552	-57.55254	12.308937	1920.8670296669006
40	1331.2175	817.1698	2273.306	28.44016	916.6589	379.55093	1728.3022	94.51442	713.1429	831.3	200000	57.195133	28.602448	123.620384	-37.1497	57.195557	28.602873	128.43074	-30.540997	-58.991188	13.290754	1975.3556883335114
41	1477.6805	920.4827	2455.9736	312.47772	983.4335	883.29315	2646.838	71.27293	867.1667	423.0	205000	58.588108	29.989897	127.80361	-38.304684	58.588432	29.990479	129.39821	-31.804874	-60.461212	13.976657	2025.7528171539307
42	1506.7247	745.50397	2583.3804	575.2184	1920.6156	835.8558	2794.051	178.90572	975.2	820.3	210000	60.008945	31.506382	136.79622	-42.81466	60.009037	31.50711	136.1795	-43.578857	-61.880653	14.50142	2081.7444422245026
43	1734.5947	388.5566	2395.5703	1377.5516	1864.9899	972.3254	2775.3318	16.368412	863.6	702.5	215000	61.062386	32.779354	138.6295	-26.796457	61.063076	32.779266	141.70981	-29.71582	-62.96367	14.939968	2129.8680198192596
44	1822.0824	837.98956	2606.7473	474.2244	1502.175	913.2281	2768.7476	173.08739	868.8333	644.9	220000	62.464813	34.666	142.1302	-54.28054	62.465565	34.665565	142.50818	-37.10206	-64.41632	15.823038	2183.7871177196503
45	2297.2751	201.2943	2528.1912	2011.6802	2663.606	469.24185	2890.5269	1270.2252	1000.0	946.9	225000	64.06658	36.746918	146.42157	-34.09127	64.06761	36.747787	146.84268	-30.66299	-66.10446	17.067951	2241.143270969391
46	1676.4287	726.64984	2632.2283	838.1955	1625.6956	1184.6049	3141.7288	47.159653	776.8571	697.4	230000	66.11569	38.704865	149.9912	-48.242744	66.1163	38.703724	148.11298	-42.23863	-68.15006	17.549532	2297.469280719757
47	1350.4606	1186.6788	3099.8313	83.18641	2573.277	535.1826	3051.5837	1396.583	481.7	1000.0	235000	68.7866	40.83029	154.65303	-53.035183	68.78694	40.830704	156.88914	-48.9647	-70.88327	19.049644	2354.908091068268
48	1385.394	1047.668	3077.1719	60.22579	947.9383	799.03436	2889.651	82.80719	463.45456	481.7	240000	71.470764	42.87191	161.37819	-52.03075	71.47128	42.87138	161.7639	-44.539516	-73.600426	20.57892	2407.33238697052
49	1762.9532	1128.8059	3235.8054	136.40443	3055.4688	555.7345	3497.5942	1855.523	613.2857	987.1	245000	74.00764	44.809258	169.52992	-44.231377	74.00935	44.80643	171.61601	-47.363564	-76.09247	21.820082	2460.5502786636353
