Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	-412.37988	12.155969	-392.00067	-423.94263	1000.0	-38.239147	6.7469115	-11.351175	-55.07536	112000	2.0503998e-08	321.02496	-0.04383168	-80.471436	5.140176	0.015957873	0.232	19.0	123.88247776031494
28	-540.1231	91.713806	-408.24808	-666.7336	1000.0	-37.23723	9.227123	18.387022	-54.83846	116000	3.8146974e-09	496.31802	-0.013577548	-189.36066	5.1567206	0.019884255	0.23325	5.0	128.42675948143005
29	-508.98602	121.85758	-383.32156	-699.17267	1000.0	-47.50077	7.1138887	4.5708	-56.451576	120000	-1.1920929e-09	445.88284	-0.017811056	-47.744293	5.1647277	0.019753607	0.26	6.0	132.74135994911194
30	-402.91638	58.850708	-347.31583	-496.67343	1000.0	-40.773983	8.846256	22.11178	-56.698074	124000	-1.4305114e-08	316.98093	-0.046335097	-79.0284	5.1227555	0.016513774	0.21425	20.0	137.534282207489
31	-400.0161	77.110245	-318.2864	-497.59164	1000.0	-36.17292	6.4931736	7.5503335	-55.6699	128000	3.5762786e-09	216.64041	-0.013411556	-32.62622	5.0775275	0.020748429	0.245	5.0	141.86374521255493
32	-420.67126	54.34069	-328.79474	-470.3338	1000.0	-35.60705	6.2023263	18.190556	-55.398285	132000	9.894371e-09	195.75746	-0.012518804	-39.98552	5.096543	0.017068524	0.23175	5.0	146.27791953086853
33	-510.63916	22.866926	-491.1534	-549.5717	1000.0	-36.561592	8.619455	23.928947	-54.588474	136000	-1.7762185e-08	549.15137	-0.043919764	-204.87537	5.1540756	0.015733032	0.19925	20.0	150.6949427127838
34	-352.66293	39.529064	-290.17078	-393.42404	1000.0	-41.15376	5.924758	15.777336	-56.918385	140000	-9.417534e-09	390.9192	-0.016481455	-151.76398	5.112197	0.018628404	0.2655	6.0	154.75451016426086
35	-398.75903	78.38827	-299.60934	-518.67566	1000.0	-32.691433	8.567335	31.094563	-55.20081	144000	-2.2649764e-09	321.9089	-0.044546068	-65.716125	5.086371	0.015793674	0.22475	22.0	159.41720390319824
36	-389.68384	15.5255	-374.3648	-415.62274	1000.0	-36.32227	4.445864	4.3679585	-55.060207	148000	3.8146974e-09	177.66116	-0.04667615	-19.579254	5.1259284	0.016708756	0.219	22.0	163.77228713035583
37	-428.80048	74.12401	-306.7134	-504.11255	1000.0	-35.904575	3.9903305	4.802443	-54.40686	152000	-4.4107438e-09	196.3631	-0.014880361	-29.803177	5.038446	0.016940616	0.24525	5.0	168.0069398880005
38	-385.58093	77.06012	-280.10428	-497.61383	1000.0	-36.169804	8.131635	27.662865	-55.46995	156000	-2.6702882e-08	258.90207	-0.017663006	-36.569122	5.059877	0.016444935	0.216	7.0	172.47733902931213
39	-402.63257	28.976131	-362.03314	-443.49915	1000.0	-34.74754	4.1161904	-2.8420773	-53.442738	160000	8.106232e-09	151.34085	-0.01593604	-16.67929	5.038384	0.01625139	0.18175	6.0	176.88345861434937
40	-373.87054	52.18912	-289.30026	-431.29257	1000.0	-34.343903	7.0251064	13.324621	-55.330948	164000	3.8146972e-08	193.71109	-0.014591505	-39.28125	5.0071588	0.021897048	0.26975	5.0	181.39688301086426
41	-381.6305	81.04651	-284.18875	-470.003	1000.0	-36.149452	7.070851	-5.6271296	-53.604576	168000	-9.536744e-10	302.1955	-0.012292408	-46.57988	5.043456	0.017350025	0.25875	5.0	185.77082204818726
42	-337.29355	121.8552	-168.15453	-466.88654	1000.0	-28.170477	9.147566	12.413822	-52.52667	172000	-9.536744e-10	391.779	-0.044112097	-179.10011	4.9977345	0.017053893	0.22425	21.0	190.14454317092896
43	-315.81345	69.93894	-221.9668	-415.23114	1000.0	-27.703167	7.796803	28.8926	-54.55738	176000	1.2874604e-08	297.0548	-0.014946802	-91.213	5.062544	0.019134633	0.2415	5.0	194.36730408668518
44	-348.98605	12.51458	-334.72144	-367.9895	1000.0	-31.430285	4.9987183	18.090792	-48.384094	180000	7.152557e-09	111.33121	-0.038376037	-11.940773	4.978791	0.016421584	0.18775	16.0	198.5711271762848
45	-396.63834	65.96216	-349.5305	-509.78366	1000.0	-32.20586	5.8029284	7.6113844	-54.460842	184000	-2.026558e-08	324.77905	-0.014566705	-99.18541	4.9695225	0.02112554	0.24675	5.0	202.6045162677765
46	-373.6665	40.719604	-313.33517	-413.42966	1000.0	-31.685747	9.978671	29.476828	-56.201775	188000	-3.4809112e-08	270.75632	-0.014052049	-144.92426	5.0184765	0.021992547	0.28925	5.0	207.09930419921875
47	-336.7104	68.73909	-236.28	-426.76184	1000.0	-31.822296	4.842897	9.611079	-54.71027	192000	4.768372e-10	159.47113	-0.019348243	-49.496964	4.977932	0.01860382	0.216	7.0	211.32115602493286
48	-374.13812	29.921047	-322.53845	-395.41272	1000.0	-30.008074	9.579627	36.85004	-55.182495	196000	1.6212464e-08	214.44006	-0.012452887	-90.383224	4.9545255	0.018462311	0.28	5.0	215.53097414970398
49	-342.9743	54.240116	-253.14735	-388.0409	1000.0	-34.00461	3.7883413	-0.11142719	-55.90903	200000	-2.8371812e-08	143.90002	-0.019163603	-24.115852	4.98547	0.015037573	0.257	7.0	219.55998277664185
50	-381.75098	25.905487	-343.99225	-416.8304	1000.0	-31.51077	4.0805583	-7.1683803	-53.556564	204000	-3.7670137e-08	125.69101	-0.045813363	-16.826927	4.963514	0.016016377	0.2185	21.0	224.36679577827454
51	-380.41153	53.180843	-312.18237	-459.7332	1000.0	-33.139763	3.9494443	0.28468022	-53.23327	208000	-3.8027764e-08	183.40016	-0.0196311	-25.132156	4.873155	0.017564906	0.299	7.0	228.58689856529236
52	-368.69675	74.33545	-285.77487	-465.79245	1000.0	-33.87406	6.266916	10.107922	-56.228466	212000	1.1920929e-09	178.46002	-0.04634542	-23.194016	4.8935	0.016409459	0.257	24.0	233.055894613266
53	-354.54556	75.75812	-294.73587	-484.56937	1000.0	-33.63407	4.7256722	4.882153	-55.76192	216000	2.1755696e-08	182.69469	-0.04949794	-34.603516	4.8462453	0.015348463	0.272	28.0	237.3751096725464
54	-379.0645	64.93372	-291.80334	-465.0684	1000.0	-31.613464	8.269202	0.028776705	-55.95915	220000	-2.2411346e-08	236.31447	-0.04502147	-38.682037	4.81201	0.016037088	0.22075	21.0	241.84938764572144
55	-341.997	30.756004	-311.05615	-391.07648	1000.0	-29.940296	6.015707	4.4696975	-56.000942	224000	-1.6093255e-08	189.85928	-0.023550788	-58.47319	4.829613	0.015059165	0.193	9.0	246.05746006965637
56	-351.70486	27.095156	-328.03372	-395.08896	1000.0	-31.041882	4.8591948	10.021062	-54.318523	228000	2.503395e-08	150.79056	-0.038354762	-38.93428	4.8188877	0.016056027	0.194	16.0	250.62969088554382
57	-346.17102	37.58751	-309.38785	-406.61862	1000.0	-31.652748	4.919182	-8.471463	-54.28245	232000	1.0490417e-08	138.1277	-0.042538624	-19.010292	4.77895	0.016155524	0.19125	20.0	254.96331000328064
58	-382.88205	48.048065	-326.58792	-437.76224	1000.0	-31.221504	5.4525967	-9.5287	-53.472687	236000	1.1920929e-08	219.61148	-0.016104186	-46.266846	4.8055086	0.018206913	0.22275	6.0	259.057368516922
59	-335.51898	65.05766	-273.27786	-438.4218	1000.0	-33.323364	6.941578	-6.3266573	-55.899883	240000	-3.1590461e-09	211.30325	-0.04752792	-73.10655	4.783846	0.01598621	0.23975	22.0	263.34604811668396
60	-287.6492	32.067772	-244.56119	-330.21292	1000.0	-30.224148	7.824669	25.216763	-55.92638	244000	1.692772e-08	211.60692	-0.047788896	-75.83215	4.7821307	0.016102197	0.23025	25.0	268.327645778656
61	-326.69385	17.017221	-301.01086	-347.21344	1000.0	-26.258558	5.6289163	3.9783258	-52.24811	248000	7.629395e-09	149.57019	-0.04465927	-30.50119	4.7096233	0.016654348	0.23	22.0	272.69793939590454
62	-334.15198	46.08741	-302.70892	-413.77032	1000.0	-29.448034	2.9531507	-8.242391	-46.505592	252000	1.2755394e-08	124.38513	-0.015482861	-23.977348	4.724927	0.016395204	0.21525	5.0	277.0199599266052
63	-304.7029	40.32794	-276.24365	-374.04373	1000.0	-28.489363	4.96051	6.7830663	-53.569386	256000	9.536744e-10	152.7662	-0.04524582	-24.412262	4.699709	0.016749432	0.242	23.0	281.6734867095947
64	-306.63507	105.29298	-188.15991	-426.64297	1000.0	-27.68163	6.068424	4.712975	-52.988125	260000	-3.8146974e-09	364.65137	-0.0775528	-77.38962	4.6233144	0.011161301	0.395	79.0	286.42878460884094
65	-254.44722	19.064497	-224.00368	-275.9556	1000.0	-24.595816	6.9226675	11.610739	-54.139282	264000	-1.859665e-08	160.77951	-0.0477262	-67.510635	4.6215663	0.016522598	0.238	17.0	290.86581563949585
66	-288.0531	46.739166	-207.20702	-317.86584	1000.0	-25.121984	5.838782	10.394349	-46.541107	268000	-9.953975e-09	157.52667	-0.01974008	-33.9897	4.674046	0.015254019	0.25525	7.0	295.1103620529175
67	-277.11716	19.318426	-246.76405	-300.1327	1000.0	-25.665356	6.5324163	30.595612	-50.4474	272000	6.437302e-09	112.425514	-0.048830695	-16.414955	4.618335	0.015892051	0.27875	27.0	299.7116150856018
68	-260.3756	31.544357	-227.53474	-301.95874	1000.0	-25.413736	5.0162187	3.1707382	-51.384705	276000	-5.2452087e-09	119.02315	-0.015229004	-36.670807	4.578607	0.019557016	0.24125	5.0	303.8974163532257
69	-275.64078	66.36418	-202.04385	-357.59775	1000.0	-20.637125	9.496928	19.33228	-53.09113	280000	-9.059906e-09	266.4382	-0.04538085	-66.60954	4.5670443	0.016196247	0.226	21.0	308.3322343826294
70	-266.12198	26.425957	-244.67418	-310.14716	1000.0	-23.695633	4.4976	13.420698	-47.67967	284000	3.5762786e-09	85.18866	-0.018502953	-16.401001	4.5431895	0.01688496	0.25025	6.0	313.1886479854584
71	-278.07462	17.412031	-253.51422	-298.6262	1000.0	-23.641281	4.572963	2.529188	-44.00465	288000	8.106232e-09	123.007515	-0.018219221	-19.66999	4.560021	0.021177532	0.26275	6.0	317.5059721469879
72	-265.804	59.256912	-200.55396	-350.61926	1000.0	-25.350912	3.678852	3.409852	-44.94193	292000	2.0503998e-08	141.69281	-0.0353101	-33.66317	4.538557	0.015995795	0.21775	14.0	321.65381145477295
73	-264.3252	19.6168	-236.88982	-292.06738	1000.0	-24.254463	5.0827904	8.844326	-50.24754	296000	-1.1086464e-08	87.88257	-0.01653908	-21.069565	4.553748	0.01726993	0.214	6.0	326.0673475265503
74	-244.45557	9.309523	-231.4675	-253.355	1000.0	-23.305727	3.3425527	6.9805264	-44.25114	300000	-7.152557e-09	72.24653	-0.016635029	-13.782532	4.5313883	0.020346003	0.24175	5.0	330.2072751522064
