Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
31	32.21948	155.09996	508.02167	-204.36415	152.37161	250.40665	608.5721	-36.836815	309.0	659.6	155000	111.794785	44.358986	313.31573	-122.499405	-114.541916	24.402222	1832.4031410217285
32	140.08112	189.45576	412.3331	-90.756744	30.163204	240.4275	449.34088	-487.94974	509.9	425.6	160000	108.99453	43.702553	329.74658	-132.44485	-111.743774	25.0786	1894.6614863872528
33	85.219955	193.89606	521.8687	-156.10231	-18.00195	79.766235	161.31755	-185.4558	448.7	150.5	165000	108.95543	43.947475	336.03427	-99.44918	-111.81952	27.077835	1946.5264873504639
34	-102.625015	368.46124	133.08556	-1513.1394	-135.5725	327.43817	346.21573	-925.8902	294.75	344.1	170000	111.157	43.766884	352.5522	-155.82147	-114.041405	29.169008	2004.171869277954
35	-75.67539	180.59775	313.78375	-463.70047	21.343649	175.51112	352.87704	-229.30467	380.26666	287.3	175000	114.15922	44.473557	325.1606	-103.24017	-117.02452	29.085592	2070.0330641269684
36	-125.48133	373.06876	413.03467	-1195.7086	-34.878258	281.97458	569.47644	-679.7568	446.27274	362.3	180000	116.284966	45.890476	390.0099	-91.71175	-119.11624	30.434845	2130.1856384277344
37	-8.897657	175.84029	273.75076	-331.62054	6.839544	105.83116	305.30707	-132.10197	585.375	128.8	185000	120.06489	48.889725	406.50613	-114.38001	-123.08676	37.129005	2183.5059633255005
38	-166.50102	313.73218	137.14612	-1119.2681	-39.575623	220.20717	342.1335	-568.9981	363.46667	419.9	190000	128.94266	52.11885	430.51495	-240.06305	-132.18384	40.642704	2249.582189321518
39	-272.45264	606.79535	289.63843	-2307.832	-26.192486	137.98132	332.73196	-257.44125	256.21054	232.2	195000	139.04309	59.83271	469.00787	-178.10844	-142.4275	45.461315	2306.8237719535828
40	-103.29574	299.71494	233.77818	-815.99243	-131.32893	221.42453	171.06862	-574.00977	364.92307	338.8	200000	148.64482	68.13198	462.11627	-154.19865	-152.08029	48.60344	2365.1030337810516
41	-92.62612	269.56973	450.27066	-668.4813	-209.03848	315.4513	77.70638	-968.2505	441.5	420.6	205000	155.44296	74.08981	460.66318	-193.80705	-158.94449	54.5252	2429.203234434128
42	-188.55687	217.21974	-24.618778	-706.5205	-52.062572	49.19236	-2.260794	-180.69214	347.26666	157.2	210000	158.4014	78.421135	569.00836	-198.97656	-161.70404	55.96387	2488.236370563507
43	-155.32236	363.86948	3.6336837	-1654.4148	-783.3703	677.3929	-9.859473	-1626.3752	247.42105	540.3	215000	160.4086	80.83339	582.41	-151.32005	-163.85374	58.625	2548.912199497223
44	-381.3733	435.01453	-3.6865394	-1350.653	-120.43595	259.88593	142.28639	-826.28204	626.4286	442.9	220000	162.21376	82.972595	498.61932	-143.5959	-165.59488	57.82614	2605.3382983207703
45	-103.344505	138.43474	2.9145849	-538.77155	-68.542465	68.83964	-12.167147	-239.1604	297.65	232.4	225000	161.77286	82.594185	474.97327	-193.34225	-165.0977	57.22536	2671.9467508792877
46	-109.11933	333.1845	47.789078	-1970.896	-194.07243	299.24814	-3.9726005	-1051.706	144.41176	246.6	230000	162.44336	83.05421	619.5517	-199.20638	-165.7806	59.46334	2730.7128376960754
47	-199.74518	195.73253	-8.172403	-622.5423	-116.755264	269.65033	366.88757	-638.65265	327.0	629.1	235000	161.26505	81.8733	590.77686	-146.60873	-164.41646	59.744625	2789.6025800704956
48	-225.77052	285.6648	219.5048	-708.8886	-425.77148	497.37924	129.27716	-1215.8384	430.15384	711.2	240000	156.79143	79.045944	428.38123	-150.22913	-159.82826	55.61645	2862.753148794174
