Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-684.89575	154.33058	-542.6616	-943.91956	1000.0	0.010848091	0.60027516	1.8231641	-1.8905658	4000	-0.018847061	4607.0483	-0.01206021	-596.3479	5.5853953	0.005503713	5.252143144607544
1	-661.63	76.18553	-577.35565	-771.6656	1000.0	-7.2721586	3.937266	7.061603	-13.589489	8000	0.020330925	3179.1384	-0.0075972183	-1310.5042	5.526584	0.002653355	9.527301549911499
2	-762.23425	181.00108	-579.53	-954.14716	1000.0	-10.464144	17.068628	22.277279	-22.625013	12000	-0.04551319	4119.027	-0.0053252727	-1635.8843	5.5000167	0.003313376	13.918770790100098
3	-663.22675	111.70519	-496.5971	-808.93756	1000.0	-29.42393	0.58356553	-18.289206	-29.748735	16000	0.030263409	1291.1453	-0.0041839685	-256.43298	5.477667	0.0023925425	18.454333782196045
4	-623.90857	135.1699	-507.0702	-854.04004	1000.0	-34.35067	0.36828277	-23.856112	-34.505722	20000	-0.05205179	883.2834	-0.0017687045	-145.6529	5.494286	0.0018302833	22.584485292434692
5	-550.9768	82.33781	-421.34726	-633.66595	1000.0	-38.060635	0.27562296	-32.805058	-38.177277	24000	-0.07479385	598.72473	-0.0032938868	-46.78308	5.439116	0.00026823336	26.839218854904175
6	-584.44995	69.70758	-508.123	-686.5999	1000.0	-40.300774	0.47226608	-28.653196	-40.404922	28000	-0.052925263	653.94574	-0.0037609711	-43.502075	5.4712214	0.001513359	30.99853539466858
7	-723.1212	141.12604	-482.68396	-832.74835	1000.0	-42.429203	0.3232979	-35.450542	-42.573605	32000	0.020887157	1411.0612	-0.0024548955	-171.96521	5.4923477	0.0017622921	35.151063203811646
8	-773.05707	49.508728	-715.81635	-838.78973	1000.0	-46.7267	0.5651198	-26.09896	-46.873535	36000	0.01311689	1130.0204	-0.0035781702	-189.8056	5.508524	0.00078701007	39.01633834838867
9	-542.48645	25.606438	-506.78384	-578.6112	1000.0	-51.42961	0.39423797	-36.07107	-51.53098	40000	-0.045699093	629.0934	-0.0020162687	-18.840149	5.483426	0.0019561276	42.85763072967529
10	-662.6238	70.81722	-584.7905	-775.1277	1000.0	-50.24043	4.4159107	41.033077	-51.509026	44000	-0.02608593	657.178	-0.0026171096	-65.18945	5.490956	0.0004012409	47.51043629646301
11	-515.20013	64.548416	-439.67426	-617.96204	1000.0	-53.002407	1.5197536	-17.462856	-53.346638	48000	0.006427166	400.83173	-0.0018712962	-36.993805	5.50581	0.0013416291	51.81220483779907
12	-664.09753	91.4518	-569.7719	-768.79767	1000.0	-49.92572	5.5475926	26.8223	-52.13213	52000	-0.0384291	884.1623	-0.001602076	-75.37628	5.4951806	0.00043530858	56.28017497062683
13	-569.0689	115.55252	-453.78204	-695.46954	1000.0	-52.60129	5.316592	44.0898	-54.25872	56000	-0.02723129	367.83786	-0.0019630846	-37.66504	5.485153	0.0014378908	60.45571446418762
14	-639.26355	80.76518	-561.1066	-771.5234	1000.0	-51.98227	4.4896283	12.174413	-54.50749	60000	-0.023203705	361.10898	-0.0023407731	-38.667175	5.516792	0.0002296989	65.00808596611023
15	-594.09485	68.71536	-502.3291	-670.42145	1000.0	-49.504	6.8461084	-16.122074	-55.699917	64000	-0.02159587	353.7725	-0.0026139151	-16.596588	5.518717	0.00048575646	69.28937363624573
16	-485.62332	69.37574	-397.20898	-588.0257	1000.0	-52.683235	4.4399514	-23.78041	-56.0624	68000	0.008709961	573.09265	-0.0015622745	-155.76971	5.4762483	0.00018420904	73.42590546607971
17	-559.8091	80.156456	-433.8897	-656.8677	1000.0	-42.77626	6.947269	6.095459	-54.766163	72000	0.013207885	458.22275	-0.0013965638	-83.84363	5.4883223	0.00080881093	77.8784031867981
18	-536.5521	132.37616	-391.1915	-689.6799	1000.0	-48.764038	6.5355825	-6.50309	-55.89891	76000	-0.043791145	462.36682	-0.0004923865	-36.64212	5.5212593	0.00035692836	82.33767199516296
19	-558.53687	115.932785	-414.47833	-711.9184	1000.0	-46.459137	7.3212256	23.378305	-55.85596	80000	-0.037855532	388.82465	-0.0027149282	-28.063202	5.5550556	0.00040097375	86.6923360824585
20	-505.72717	97.387764	-407.10828	-632.7832	1000.0	-45.7205	5.6500516	-6.850215	-56.300816	84000	-0.06857309	590.0563	-0.0017549992	-100.71176	5.514736	0.0016610253	91.360844373703
21	-505.14453	65.70925	-444.93124	-613.8875	1000.0	-44.089855	11.35732	35.758007	-56.905	88000	0.009217999	541.1342	-0.0017588735	-93.07968	5.5274706	-0.000112825874	95.56806087493896
22	-490.54956	60.93087	-405.38498	-570.5591	1000.0	-42.397476	9.834554	50.450554	-56.915897	92000	-0.04408821	294.03088	-0.0018380284	-116.836136	5.5189013	0.00090960093	99.70754742622375
23	-468.38873	27.508629	-423.9463	-492.90213	1000.0	-42.771717	3.671848	-13.283984	-56.812386	96000	0.01759648	258.4784	-0.0019771159	-67.83832	5.4914813	0.0013307563	104.19969344139099
24	-557.37787	43.560684	-513.04694	-605.0364	1000.0	-41.06957	6.1988955	1.4540243	-57.11631	100000	-0.025589805	347.52713	-0.0015277024	-106.9496	5.522792	0.0010201135	108.479905128479
25	-451.25177	70.96387	-348.28467	-540.13544	1000.0	-44.348545	9.453152	36.77884	-58.674892	104000	-0.03531804	334.33383	-0.0016618483	-138.8315	5.447931	0.0013641663	112.74835062026978
26	-464.61783	65.95907	-387.66602	-533.68286	1000.0	-43.29004	7.0441613	18.359089	-57.708847	108000	-0.052675765	279.04715	-0.0011854395	-33.336365	5.498803	0.00032383847	116.98252248764038
27	-442.36258	66.31477	-345.13638	-517.55634	1000.0	-39.46454	8.154346	14.420012	-57.307766	112000	-0.05004652	482.3888	-0.0010337308	-64.58789	5.477472	0.00011049104	121.52142024040222
28	-449.3121	46.205956	-385.50058	-516.06274	1000.0	-40.4894	7.9654675	6.7332606	-57.391636	116000	-0.0013062248	373.28015	-0.0024258536	-36.588654	5.509734	-0.0004327439	126.0040054321289
29	-518.6805	28.393824	-474.11847	-544.45276	1000.0	-39.532124	6.231746	-1.5610317	-57.26601	120000	-0.01364022	501.46765	-0.0012875693	-100.26535	5.542553	0.0006755561	129.85256695747375
30	-472.26495	96.14185	-327.9063	-573.5534	1000.0	-38.921906	14.739625	40.345135	-58.83165	124000	0.0039534415	543.005	-0.0019730185	-225.35406	5.5053253	0.00023815388	134.42668795585632
31	-479.411	22.865025	-447.6726	-512.1308	1000.0	-42.37587	5.74642	-2.909668	-58.709885	128000	-0.051166736	197.95772	-0.0010341592	-22.84462	5.5160937	0.0008008436	138.304203748703
32	-508.80533	119.64072	-429.2248	-715.7224	1000.0	-43.92497	4.3111205	-20.916557	-58.664642	132000	-0.041212443	486.27557	-0.0021882318	-83.01788	5.4599285	0.00046998495	142.34714555740356
33	-450.5129	24.542479	-408.7497	-471.85373	1000.0	-42.71913	5.563806	-9.778886	-59.342445	136000	0.009966161	196.72316	-0.002790094	-34.432343	5.5297537	0.0012328299	146.61755084991455
34	-454.37814	18.849764	-432.383	-483.63922	1000.0	-42.390892	5.047691	2.317031	-58.979923	140000	0.02629186	159.37837	-0.0015633348	-15.839615	5.485961	0.00086976873	150.89845442771912
35	-433.0031	49.309795	-372.54953	-504.8042	1000.0	-40.37813	6.1426144	-5.657225	-58.82634	144000	-0.029753102	340.95996	-0.0015912149	-51.78076	5.4846945	-0.00012683243	155.191823720932
36	-476.09723	60.222725	-405.1313	-561.08954	1000.0	-39.672485	6.9786615	1.8336947	-58.323162	148000	-0.047372628	299.05838	-0.0015212707	-43.704254	5.5138807	0.00038685554	159.3474314212799
37	-422.20453	43.78642	-356.5398	-471.7599	1000.0	-41.146946	6.2091436	8.258964	-58.8166	152000	0.009673861	193.16943	-0.0017435746	-36.97719	5.5145907	0.00040545053	163.43877482414246
38	-469.94843	31.581318	-437.83423	-522.40173	1000.0	-38.310085	6.8143964	18.689678	-55.87213	156000	-0.04319239	222.09229	-0.0014949329	-84.86665	5.5203	-0.00021644915	167.85283946990967
39	-495.22812	42.808926	-446.65808	-563.3318	1000.0	-40.974483	4.342552	-15.465219	-58.212257	160000	-0.026879853	234.3576	-0.0022633504	-28.847214	5.526793	0.0008775467	172.06634521484375
40	-449.18115	43.024952	-411.19363	-521.14294	1000.0	-44.895206	4.387261	-24.184053	-58.890114	164000	-0.017723817	269.88162	-0.0018142518	-52.705597	5.523598	0.0008520234	176.81424236297607
41	-486.679	74.22699	-412.88388	-588.1908	1000.0	-40.6443	6.357861	5.4759707	-58.100166	168000	0.005778856	349.66336	-0.00086337654	-59.961426	5.543405	0.00017852182	181.19180536270142
42	-420.69736	56.57441	-327.4073	-477.3842	1000.0	-39.80873	7.994356	0.9852143	-58.7487	172000	-0.026532015	344.9431	-0.0016009603	-90.02013	5.487119	0.0003982697	185.5807921886444
43	-353.97235	98.41762	-183.97398	-419.9595	1000.0	-36.979916	8.807515	34.496784	-57.678135	176000	-0.019632969	344.263	-0.0011694841	-82.23068	5.482214	0.0009182689	189.38840699195862
44	-411.45993	33.391434	-379.41577	-467.52158	1000.0	-34.68732	10.417043	29.542463	-56.845493	180000	-0.02513896	286.45853	-0.001508968	-85.95764	5.4805536	0.00018332106	193.71636724472046
45	-464.74524	84.65429	-379.19632	-583.00055	1000.0	-33.898586	11.068908	27.729069	-57.522667	184000	-0.036693607	514.3225	-0.001474984	-274.10266	5.422971	0.0012968606	197.8692901134491
46	-376.97452	50.229954	-294.08148	-429.16928	1000.0	-38.58217	5.2467065	-9.66958	-58.96597	188000	-0.035192125	193.24507	-0.00086669624	-46.18048	5.4776583	0.00087385107	202.18407893180847
47	-451.9392	32.856873	-418.70502	-502.52155	1000.0	-35.48165	4.5090814	-6.8265114	-56.572098	192000	-0.03136631	214.24916	-0.00083341077	-46.862305	5.4478135	0.00059882767	206.60623145103455
48	-413.9513	35.88554	-364.89877	-450.79465	1000.0	-40.7674	5.3037663	-2.6548088	-58.77417	196000	0.022943938	320.28375	-0.0015888661	-44.235687	5.5195904	6.828028e-05	211.12310075759888
49	-418.16632	64.3519	-332.7749	-512.4274	1000.0	-38.323803	6.23241	8.927315	-57.419415	200000	-0.024148257	261.1361	-0.0011663251	-26.56186	5.451337	-0.00010347628	214.77332592010498
50	-418.26752	79.16339	-333.33813	-548.054	1000.0	-36.211136	7.6814814	14.378469	-57.300858	204000	-0.030310312	330.63306	-0.0011311974	-61.753998	5.4839277	0.00012388265	219.60079646110535
51	-396.63867	85.17707	-315.36526	-539.7458	1000.0	-38.75557	8.429073	11.8325405	-59.007126	208000	-0.016902016	331.0399	-0.0013467483	-55.014435	5.500821	0.00045697534	223.95546174049377
52	-357.82147	31.916836	-323.53265	-390.89865	1000.0	-37.208523	6.7695045	1.3750656	-58.880024	212000	0.0071528433	208.17957	-0.0014341259	-40.97226	5.488501	0.0006522253	228.35592460632324
53	-416.76825	63.894196	-332.37906	-512.3494	1000.0	-33.39861	5.9766197	2.1391687	-53.737846	216000	-0.054139704	302.54095	-0.0018236227	-63.94632	5.4767976	0.00050833175	232.79864287376404
54	-448.36926	75.65802	-361.94193	-561.3598	1000.0	-38.246006	7.4310713	-0.94572014	-58.556812	220000	-0.07111111	305.39062	-0.0023695305	-43.169525	5.4792128	0.00066994433	237.11464548110962
55	-435.79938	55.818825	-370.84064	-524.8762	1000.0	-40.853485	8.373226	11.667291	-59.035152	224000	-0.021945054	339.66556	-0.0015126411	-52.66446	5.485651	0.00015858412	241.5617983341217
56	-383.89044	21.942749	-355.2062	-409.57556	1000.0	-36.808205	4.541851	-14.93561	-57.289017	228000	-0.05215583	181.73676	-0.0011045858	-22.07048	5.4692783	-8.1707774e-05	245.97410440444946
57	-384.31607	48.140644	-324.4307	-458.79477	1000.0	-35.116272	4.6756954	-4.891423	-56.279343	232000	-0.033189286	206.4995	-0.0021628141	-19.511307	5.479771	0.0008149038	250.60898184776306
58	-411.24268	41.210026	-356.43073	-472.42715	1000.0	-34.760273	4.0798035	-8.953693	-54.7611	236000	-0.028872333	201.58852	-0.0011699516	-20.443573	5.478415	-0.00014442169	255.03442931175232
59	-414.36868	10.110955	-397.83865	-423.70984	1000.0	-36.838963	3.9869473	-10.04337	-57.298943	240000	-0.0878898	147.96669	-0.0011113957	-11.540878	5.46997	0.00019527155	259.5159409046173
60	-347.0928	17.955927	-328.0612	-368.82736	1000.0	-35.943886	3.8366237	-14.104599	-53.51831	244000	0.0061417655	212.59497	-0.0015205019	-39.558716	5.422718	0.0006438466	264.23177123069763
61	-355.98544	43.948776	-306.37918	-424.81464	1000.0	-31.621801	5.3634176	1.033694	-54.751415	248000	-0.06576152	209.86903	-0.0013838932	-35.134613	5.453012	0.00021776796	268.50366020202637
62	-344.30133	11.925472	-330.71375	-358.18417	1000.0	-34.428406	4.8747354	3.8520048	-51.650158	252000	-0.0020031396	178.43105	-0.0023806354	-27.78505	5.472336	0.00016281557	272.7232677936554
63	-403.86084	22.310474	-365.51657	-420.67993	1000.0	-31.304283	7.7626166	6.6484857	-50.428127	256000	-0.05336486	236.24329	-0.0006691478	-72.60704	5.4911914	0.00087603903	276.8766849040985
64	-375.4749	69.579414	-272.22723	-467.1672	1000.0	-36.806343	3.7303085	-7.0640864	-53.20467	260000	-0.0495308	234.11908	-0.001145184	-60.19963	5.43489	0.00015787988	280.9596576690674
65	-459.02576	66.565765	-388.5566	-567.0116	1000.0	-31.922554	6.179075	2.0375872	-57.210518	264000	-0.059510756	416.03973	-0.0010240488	-150.90274	5.4893103	0.0009517671	284.8925964832306
66	-394.79413	25.271313	-362.06345	-425.72787	1000.0	-40.587883	6.027398	-5.273219	-60.92106	268000	0.00041387178	235.35597	-0.001982584	-49.728455	5.5105124	0.0001610893	289.0566122531891
67	-436.18176	15.258898	-420.14954	-456.833	1000.0	-35.8762	8.682327	19.556587	-59.836136	272000	-0.031006321	328.71573	-0.0015785694	-67.238464	5.4673476	0.00059370155	293.16846442222595
68	-462.61978	46.487476	-403.7279	-525.4538	1000.0	-39.355595	6.4979663	20.093264	-60.614372	276000	-0.058146734	217.08087	-0.0018322244	-37.981094	5.501557	0.001386357	297.6614532470703
69	-366.2266	111.73594	-236.91986	-536.4021	1000.0	-39.645435	7.643988	-3.0991602	-59.26998	280000	-0.075065225	440.012	-0.0015736818	-100.43994	5.4475837	0.00086147076	302.1203758716583
70	-415.06122	31.873856	-372.67755	-453.41595	1000.0	-35.567715	4.184629	9.7213955	-57.92383	284000	-0.022809742	158.33287	-0.0011121631	-21.620605	5.4478955	-6.117993e-05	306.83970069885254
71	-413.35272	40.63092	-382.33185	-482.99396	1000.0	-38.19913	4.0684896	-1.3536973	-58.47586	288000	-0.033589095	136.36505	-0.0009536743	-22.515694	5.4644337	0.0006233662	311.0545496940613
72	-394.02084	53.434074	-316.47644	-452.42453	1000.0	-37.235077	7.3454514	10.39583	-52.07139	292000	0.043079827	156.83638	-0.001321476	-42.281395	5.464169	0.00019165176	315.1258690357208
73	-373.4868	68.76035	-261.39954	-444.03656	1000.0	-24.314362	18.608156	33.190216	-51.26061	296000	0.0064734346	581.21204	-0.001789181	-442.78653	5.4662447	0.00059729716	319.52706933021545
74	-351.32605	63.793797	-258.46036	-413.65958	1000.0	-33.702087	6.455842	-5.1701913	-55.997787	300000	-0.04126577	237.5915	-0.0008885972	-28.06871	5.433506	-6.294012e-05	324.0659489631653
75	-371.50058	67.102295	-273.43033	-457.9875	1000.0	-30.133644	7.8965025	-1.3047822	-55.92881	304000	-0.04299087	433.57526	-0.0013348944	-81.62793	5.478206	-0.0002372986	328.49607825279236
76	-440.54108	36.305054	-385.09393	-482.27618	1000.0	-34.839798	7.288271	-6.6504965	-60.52101	308000	-0.0028014784	231.4032	-0.0014882823	-46.094482	5.4778976	0.00029182178	332.87402725219727
77	-432.43488	80.0734	-306.21884	-505.9896	1000.0	-38.79775	5.7249217	-13.036668	-60.986336	312000	-0.022105519	266.85544	-0.0009860322	-33.312714	5.4310474	0.00070260005	337.2873032093048
78	-360.8551	37.315384	-311.49976	-400.98245	1000.0	-39.432045	6.0560203	-5.565433	-61.6968	316000	-0.06676881	326.38544	-0.0016665086	-126.91237	5.5062733	-8.164281e-05	341.8813283443451
79	-441.30667	67.13089	-354.5462	-526.21277	1000.0	-32.523453	7.4763794	9.067959	-55.00382	320000	-0.005087201	314.08276	-0.001400819	-105.46651	5.4662237	-3.9975406e-05	346.42070865631104
80	-318.5285	42.401005	-252.2341	-369.56967	1000.0	-38.85679	7.1895223	7.2804537	-61.375343	324000	-0.012706054	301.8731	-0.0015600035	-138.56299	5.4559164	0.00063683174	351.3078796863556
81	-364.13153	76.42876	-256.07925	-470.31912	1000.0	-30.551285	6.5679617	-0.16948697	-53.946877	328000	-0.045061387	219.95184	-0.00064894557	-31.72786	5.422915	0.0005359795	355.62516832351685
82	-372.48138	23.970112	-342.1153	-409.2952	1000.0	-33.493954	5.8124743	-1.0419931	-55.550644	332000	-0.056670748	217.32812	-0.0010218658	-24.65393	5.4641957	-4.1421654e-06	359.7492277622223
83	-380.65195	48.412098	-316.43948	-448.21747	1000.0	-32.891987	6.219831	2.2901623	-55.64166	336000	-0.009185854	261.11023	-0.0020585135	-29.703705	5.4706836	0.0001539278	364.2377030849457
84	-392.96432	19.46768	-365.58063	-420.64194	1000.0	-34.986923	5.8287597	-0.5149847	-57.93643	340000	-0.0066978303	160.47359	-0.0013804208	-19.683487	5.450884	0.0005857167	368.4867343902588
85	-424.0518	71.55875	-322.6322	-523.9775	1000.0	-33.767586	5.695563	14.558299	-58.425194	344000	0.011215283	286.41943	-0.00085307565	-67.63963	5.443046	0.0003181485	372.77007937431335
86	-375.885	25.022532	-343.61984	-406.72906	1000.0	-36.704052	5.6257195	5.39614	-61.994156	348000	-0.06695434	165.04587	-0.0014977828	-21.487076	5.4432974	0.00033204668	377.28653287887573
87	-376.04614	78.94471	-255.5269	-463.6079	1000.0	-35.722744	5.6852427	16.400959	-60.588097	352000	-0.049368344	174.8427	-0.0011452436	-24.325745	5.435284	0.0002757486	381.5828216075897
88	-391.4355	12.269069	-376.64093	-403.5658	1000.0	-33.61507	7.718054	32.259453	-59.705086	356000	-0.06503402	195.40732	-0.0028313845	-31.21048	5.457174	-6.076592e-05	385.6388955116272
89	-377.7058	21.483278	-356.10498	-403.1257	1000.0	-34.417484	5.0873723	7.7488365	-57.34372	360000	-0.07006728	164.01366	-0.0016360581	-21.395035	5.4408145	-0.0002827301	390.12994503974915
90	-352.2677	34.31131	-316.26947	-405.7284	1000.0	-35.16939	4.441824	-6.2184987	-56.34562	364000	0.0074945297	162.53247	-0.0017535952	-42.96138	5.4496875	0.0004919618	395.0309507846832
91	-381.21848	60.310997	-290.56412	-450.33075	1000.0	-32.76592	7.8310013	24.935303	-43.814404	368000	-0.03040823	131.86531	-0.00095881894	-34.061012	5.499558	0.0003501331	399.2858340740204
92	-358.94867	36.78899	-316.79456	-398.3925	1000.0	-35.55461	5.9112334	4.5521297	-58.232655	372000	-0.037892234	130.11363	-0.0019597858	-13.249664	5.440702	-6.6821456e-05	403.4230740070343
93	-392.32263	41.694798	-328.64648	-445.42584	1000.0	-33.960224	4.7843165	-1.535353	-50.82125	376000	-0.08669833	144.91386	-0.0010146946	-22.305962	5.4832935	0.0010507018	407.5822026729584
94	-395.94507	73.70302	-333.3113	-514.8964	1000.0	-35.100597	4.9394164	-5.155325	-56.175503	380000	-0.033815898	188.67686	-0.0008751564	-19.689056	5.439196	-4.498124e-05	411.9291932582855
95	-390.04623	45.615772	-311.5072	-422.65692	1000.0	-34.93885	5.7231836	20.246672	-56.505875	384000	-0.0128210485	198.59955	-0.0014382377	-34.44725	5.4677687	0.0003867805	416.3301272392273
96	-347.79584	83.67706	-245.9513	-473.01956	1000.0	-32.504345	8.10349	21.49251	-57.873657	388000	-0.0027113229	264.95483	-0.0013203428	-83.083664	5.456264	4.6289565e-06	420.35146474838257
97	-360.69864	46.40144	-291.49484	-422.1995	1000.0	-32.54448	6.6159334	4.9645367	-60.31859	392000	-0.034160264	240.12987	-0.0015011728	-41.548096	5.4492373	0.00013779628	424.53798389434814
