Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-47.1982	91.83031	18.53089	-403.9812	-63.271587	41.507206	-25.106445	-157.0678	164.1	20.1	5000	20.992565	22.784887	118.734215	-22.068745	-25.096	1.8057379	45.875343799591064
2	-60.489628	103.42676	1.9962562	-384.26608	-215.96768	354.21832	-26.52613	-1269.2482	172.59259	72.6	10000	317.96756	182.97829	876.86957	-226.36208	-351.72894	112.783005	90.61562919616699
3	-326.43393	702.3705	-12.234395	-2679.7112	-384.00394	881.4448	-34.276653	-3025.0784	130.83784	125.6	15000	1151.5348	291.1717	1974.0378	-463.1119	-1210.9077	1790.8746	141.37446451187134
4	-431.76407	876.882	-14.049003	-2729.4487	-447.51923	866.0569	-60.49401	-2996.4622	159.09677	147.7	20000	1902.009	205.34557	2415.6775	-837.56	-1948.5902	3771.217	193.4056854248047
5	-340.0751	736.95825	-28.977072	-2740.1892	-74.12842	28.633415	-24.665312	-116.288414	125.111115	27.4	25000	1993.1407	216.17085	2378.02	-831.73895	-2020.5175	5093.897	250.02562999725342
6	-581.42365	1030.9615	-24.848255	-2747.8752	-127.970566	56.107143	-49.766933	-227.96767	221.15	45.0	30000	1878.5725	245.3662	2385.1206	-1958.3607	-1902.8843	4164.6343	296.2884337902069
7	-207.18646	503.7525	-20.631826	-2594.3984	-365.1892	857.74146	-24.573996	-2928.4998	78.125	121.9	35000	1738.9778	233.87888	2170.9421	-891.3562	-1760.3402	3924.9944	349.3281579017639
8	-715.9947	1009.9876	-33.12302	-2673.7732	-395.1724	863.9511	-37.04187	-2969.222	270.27777	135.3	40000	1542.0338	232.49812	1968.8704	-913.3342	-1559.9696	3113.963	400.15764141082764
9	-843.1726	1168.6948	-33.839195	-2687.2004	-541.7541	866.14764	-33.372955	-2881.9988	321.41177	193.3	45000	1358.8577	186.44818	1765.6179	-820.025	-1374.7001	1936.6051	456.93737959861755
10	-419.74765	809.6098	-24.749487	-2654.9126	-614.6229	891.23663	-54.570976	-2954.7368	161.81482	208.8	50000	1188.1454	144.93071	1475.8627	-1354.0093	-1200.9061	1456.2974	504.71422386169434
11	-298.71463	607.5317	-23.60691	-2670.2188	-751.51495	1103.9293	-95.243004	-2963.4382	112.76596	253.4	55000	1003.7624	133.05179	1262.0223	-753.0026	-1014.2446	1194.6936	561.2814121246338
12	-530.08704	913.2403	-22.23127	-2726.5537	-683.6639	955.2297	-26.02181	-2857.854	201.34782	237.6	60000	831.00433	111.701416	1043.8597	-917.1325	-839.45184	804.3686	612.4248852729797
13	-510.06546	888.7696	-18.11526	-2661.9402	-396.83096	792.3985	-58.587524	-2765.5632	201.53572	146.1	65000	670.0383	94.717545	873.8702	-454.37222	-676.5107	483.45596	671.0688683986664
14	-644.66974	1017.6444	-37.634068	-2676.1309	-415.03754	839.1162	-35.51611	-2901.8633	247.52632	143.4	70000	521.9395	73.520546	668.7258	-500.27567	-526.68866	281.51123	721.6070489883423
15	-669.927	969.7563	-20.543163	-2677.9536	-1307.2404	1237.7661	-32.443058	-2926.3218	259.61905	453.6	75000	393.182	59.914055	523.67523	-337.2697	-396.6321	149.97537	783.1694943904877
16	-669.7035	1026.252	-29.347626	-2606.4434	-970.38605	1286.8176	-38.696453	-2969.7073	259.3889	335.3	80000	279.86197	44.56985	377.18048	-241.55916	-282.15732	76.18526	836.9284062385559
17	-524.6741	873.4494	-24.597567	-2595.3274	-608.60345	1011.9597	-36.364384	-2725.9158	205.92308	222.7	85000	184.11292	36.02176	266.779	-188.33948	-185.65369	39.034607	894.4641988277435
18	-1178.9242	1311.1796	757.7391	-2579.7354	940.0535	15.390025	965.6319	912.7187	630.625	1000.0	90000	103.8095	23.595697	182.8035	-119.34806	-105.349724	19.1942	961.6470124721527
19	765.91943	104.18652	894.0757	603.30804	310.37802	46.318142	416.53384	261.84134	1000.0	1000.0	95000	74.86033	10.479228	115.957405	-117.56977	-78.008514	14.63409	1028.5094327926636
20	229.1718	120.517426	414.39938	36.231228	-677.83154	432.22272	469.15567	-1044.4214	1000.0	1000.0	100000	74.8576	12.418213	122.963455	-168.0873	-78.29682	15.035934	1094.970852613449
21	-182.90134	915.91473	568.6301	-1822.8859	321.11298	66.36689	417.05197	193.45749	1000.0	908.0	105000	76.228386	20.366234	142.8873	-130.7165	-79.536476	14.995495	1158.8799085617065
22	73.683304	510.26672	487.6934	-917.4703	-37.585808	369.33502	492.23325	-629.3839	957.4	818.5	110000	78.2367	29.799475	149.68196	-125.55229	-81.625114	15.835298	1220.6850454807281
23	26.61442	374.56152	370.95844	-774.2773	222.40593	267.6212	588.9578	-326.45117	762.3333	762.9	115000	82.20912	34.266296	154.79913	-113.622795	-85.57264	15.242227	1279.8144071102142
24	292.02863	223.18057	495.8016	-121.18342	-26.807587	116.31975	145.43065	-230.73193	1000.0	930.5	120000	87.109955	35.831463	167.23346	-104.05726	-90.519714	15.10725	1344.6779599189758
25	2.0730743	387.5048	362.88547	-729.29065	-689.55896	606.91113	521.5356	-1482.767	1000.0	1000.0	125000	94.68024	36.387985	196.20058	-97.62112	-98.10225	14.749631	1412.1458554267883
26	-181.7379	385.5381	360.45056	-802.60657	-23.078968	250.56396	553.3871	-251.19049	836.3333	908.4	130000	101.007675	35.863865	192.71204	-82.95986	-104.339806	13.830656	1478.1997423171997
27	-115.63925	373.1363	391.998	-774.91693	6.303636	249.85078	564.8502	-506.34116	841.0	762.4	135000	104.73846	34.135838	178.89482	-129.15633	-107.98987	12.9282875	1540.3175966739655
28	-104.350235	206.55875	111.35197	-607.7592	166.10933	237.35905	595.6184	-32.899284	599.8889	715.8	140000	106.91353	32.469513	179.55019	-90.49217	-110.08096	12.341468	1604.7896428108215
29	137.9677	132.71605	320.79236	-9.716437	164.9338	78.648705	275.41022	27.151262	867.5	971.2	145000	108.126625	30.218	176.82654	-80.764015	-111.19144	11.64502	1671.0671365261078
30	67.58889	78.06663	195.81013	-6.971574	-382.49826	500.18762	547.16797	-985.7948	736.5	1000.0	150000	107.823135	28.986181	179.78712	-96.75395	-110.74526	11.259231	1731.5202224254608
31	231.39893	164.62813	411.7573	-18.156715	47.79415	333.24982	553.92596	-587.14575	766.5714	633.4	155000	107.00518	28.476809	259.171	-121.71085	-109.89844	12.582203	1794.844877243042
32	44.899433	237.95961	544.88513	-347.4684	338.65128	102.92493	510.89853	190.02248	553.55554	942.7	160000	107.16176	29.622026	351.00714	-95.70895	-109.99513	14.343514	1858.51571059227
33	62.818016	159.92487	520.3619	-111.849365	210.40361	231.13321	590.33655	-46.011173	290.3125	615.9	165000	108.83805	31.403204	393.1044	-80.821976	-111.7211	16.898401	1917.429093837738
34	-29.467342	285.45218	239.52922	-687.3501	56.776894	193.68987	596.6765	-80.969604	740.1429	240.1	170000	113.523155	34.50555	468.32742	-86.338066	-116.61948	22.297894	1974.789531469345
35	187.4674	166.40253	448.72464	-6.2038755	192.00743	229.05211	493.2358	-174.32112	641.25	698.5	175000	120.0959	40.891594	522.76086	-80.02691	-123.14594	21.67261	2038.0627353191376
36	-46.430763	348.16104	423.48758	-966.6987	121.01701	216.19199	578.5947	-63.791023	450.6	513.8	180000	124.134514	46.53621	272.8653	-99.22238	-127.15972	19.723438	2094.3805496692657
37	71.11138	188.97269	497.67502	-112.18579	-116.66577	206.25465	185.61995	-337.2076	340.11765	819.5	185000	128.36491	51.246044	321.49893	-97.73736	-131.44388	20.288523	2165.7385923862457
38	-22.486355	270.55136	383.83102	-513.55695	-52.22212	230.74695	376.27023	-632.93945	707.2857	271.8	190000	131.97049	57.014748	331.07758	-132.74257	-135.00508	22.506332	2220.7612953186035
39	-77.98386	523.4813	354.42188	-1395.0093	47.461678	308.36652	509.04355	-723.4464	558.875	627.2	195000	135.8964	64.08514	373.73477	-93.644264	-139.04709	24.999277	2277.259599685669
40	49.98942	170.68504	499.17792	-193.2638	-138.16873	180.62717	70.91596	-547.3953	345.875	242.4	200000	142.37093	74.67211	432.59857	-141.87805	-145.7435	33.296143	2337.8012335300446
41	-208.31917	352.1103	35.185493	-1281.338	-74.38498	141.57259	-11.44055	-498.12888	359.91666	229.7	205000	154.41064	92.37401	507.46365	-118.60566	-158.22696	47.759865	2387.567038536072
42	-414.29147	562.76184	-12.480727	-1844.8915	-204.01138	311.6455	-12.273496	-949.9625	492.0909	315.0	210000	179.32065	109.03002	523.6054	-134.67848	-184.05792	71.958336	2448.1977746486664
43	-337.5451	323.9796	-10.671818	-902.67834	-129.69936	143.64017	20.820633	-491.8243	402.18182	431.6	215000	206.42354	120.35186	543.6985	-172.43202	-211.13643	83.26396	2503.257920026779
44	-328.6907	345.80334	-30.889282	-1230.1716	-394.0637	302.20612	-18.243765	-916.1141	437.33334	705.9	220000	224.71925	131.6521	563.75446	-189.31752	-229.47952	89.04524	2568.4716777801514
45	-378.29385	324.15918	-16.29514	-1007.7443	-458.59784	487.33118	-20.828163	-1655.2767	531.4	530.7	225000	235.61078	138.61711	591.45013	-186.61562	-240.35411	90.41407	2631.7121641635895
46	-328.7277	324.53415	-16.20058	-992.6047	-225.89905	273.77667	-18.924158	-692.7681	448.6	328.9	230000	242.5606	143.90132	598.9741	-162.89648	-247.27402	95.352196	2687.0437166690826
47	-375.87537	475.61374	-12.015837	-1705.9752	-299.87274	390.7055	62.78664	-931.4241	463.25	427.4	235000	245.67792	148.08395	583.0488	-179.45447	-250.32362	102.58212	2755.0260829925537
48	-446.08505	467.42642	-13.626238	-1331.9926	-341.34344	317.64017	-17.098614	-882.20233	563.8889	481.5	240000	247.64612	153.577	606.14325	-285.22836	-252.39055	106.87165	2818.576669692993
49	-426.89502	372.29266	-57.430676	-1135.3282	-231.52066	267.27902	-20.304726	-787.8114	514.2	516.0	245000	246.61404	156.0281	599.525	-171.47398	-251.14922	102.22758	2882.280960083008
50	-495.37402	514.287	-28.731167	-1677.3134	-301.2586	238.24919	-22.22442	-699.0255	565.125	421.1	250000	240.28094	153.33536	573.3409	-183.98123	-244.53285	89.429436	2937.7828166484833
51	-262.8481	199.60226	-51.68556	-666.4673	-138.36302	178.94	-16.800985	-631.91437	418.33334	287.0	255000	232.60522	150.40007	614.9719	-295.86377	-236.75722	86.72969	2996.519382238388
52	-215.72455	291.90042	-15.125547	-1002.7466	-101.55095	144.87611	77.95069	-408.4359	370.06668	256.4	260000	224.7272	151.96649	674.90356	-267.4447	-228.82843	85.38504	3059.675556898117
53	-137.70357	201.57195	-10.472692	-930.80945	-206.73042	285.55322	-6.187139	-985.32513	259.6111	371.3	265000	219.39975	156.0117	706.5067	-157.61397	-223.3379	89.38161	3117.7891371250153
54	-290.37967	375.0474	-7.789519	-1358.715	-82.70293	66.2387	4.314509	-208.75287	486.36365	175.7	270000	214.20406	157.48415	707.1302	-375.70474	-218.0849	86.450714	3178.1495249271393
55	-119.41611	157.88844	102.09587	-400.9368	33.097824	142.08708	333.60605	-112.03243	449.66666	435.1	275000	213.3645	161.34619	724.7283	-219.3101	-217.3627	88.22192	3232.2609860897064
56	-556.1046	897.9168	32.671185	-2552.83	-171.36438	286.75537	-27.535906	-1017.69556	734.1429	322.8	280000	218.08441	170.17453	743.8764	-181.62663	-222.41132	103.08733	3294.2831230163574
57	-149.74832	327.15445	184.54805	-1229.6223	-244.97708	396.81393	27.695688	-1398.6217	428.84616	530.6	285000	226.0028	179.41716	747.19806	-149.73427	-230.44754	113.61067	3362.04034948349
58	-115.530945	117.524994	-21.575891	-469.02292	-326.82605	321.36545	-31.219814	-1056.032	280.29413	301.0	290000	236.22464	188.16025	754.0499	-224.89372	-240.95648	130.31288	3420.5163023471832
59	-205.46461	207.0165	59.20796	-607.8481	-166.58122	247.40213	193.12389	-617.42194	355.0	474.1	295000	244.0836	194.22072	771.94727	-171.25108	-248.75252	142.66516	3480.748917579651
60	-217.83702	319.2548	-33.388966	-1296.5691	-100.11145	113.3205	113.74665	-298.3995	390.85715	282.1	300000	247.53795	197.11133	736.55664	-184.0423	-252.03484	137.78305	3544.716475009918
61	-341.71646	296.2297	-0.68337494	-832.44666	-227.71729	237.42923	52.10645	-718.56934	561.6667	439.5	305000	243.72586	193.35	691.0026	-318.8033	-248.08098	138.5687	3605.6056005954742
62	-385.43356	237.61086	-118.524185	-830.7367	-366.5913	679.4963	245.25795	-2134.3647	857.8333	727.3	310000	241.98338	190.73183	650.133	-187.11469	-246.40431	133.56934	3674.1527457237244
63	-445.40332	392.01407	-30.217081	-1048.0798	-341.96808	394.40933	-26.333588	-1011.0888	621.625	318.7	315000	240.71944	185.45326	638.2023	-227.67714	-244.97316	123.08238	3732.827791452408
64	-467.91565	406.0306	-28.42648	-1282.4403	-162.39493	330.57263	373.87234	-777.5996	555.7778	296.3	320000	236.43542	177.79103	657.96765	-239.92743	-240.57207	119.05329	3791.684522628784
65	-164.18361	251.45131	192.5945	-662.798	-118.43734	133.40523	128.27243	-300.48105	517.8	287.1	325000	228.68634	170.59946	626.53827	-196.32466	-232.67245	113.74866	3852.7400772571564
66	-185.73431	375.10608	202.38037	-1592.3159	-88.00503	150.1239	35.237465	-519.70184	252.6875	337.0	330000	222.04338	164.99246	591.7965	-276.36664	-225.88014	113.62617	3904.3165154457092
67	-257.58826	433.4107	44.73413	-1549.2687	-701.7742	517.4424	174.21677	-1307.6827	511.45456	662.0	335000	214.96544	157.32356	573.4141	-202.58014	-218.75044	106.12989	3976.1222383975983
68	-469.2181	563.18463	-66.652115	-2168.466	-383.25116	380.2169	-9.004451	-1037.0302	441.91666	524.1	340000	206.22087	147.20235	584.39374	-231.45847	-209.74599	95.19231	4042.837637424469
69	-470.2957	460.15927	-12.899766	-1286.7002	-144.87813	311.811	367.18484	-913.98395	457.27274	279.9	345000	196.52293	136.82944	507.59555	-176.71281	-199.92488	83.83924	4102.448707580566
70	-404.3665	433.97662	189.76965	-1131.1815	-45.860126	28.967216	-8.510416	-103.1954	679.0	49.2	350000	188.8444	123.93826	691.2255	-260.17856	-192.1113	76.04475	4156.664656162262
71	-470.18985	512.7329	-35.749992	-1518.5477	-543.22815	456.0834	104.31931	-1067.1173	420.83334	738.1	355000	179.47662	110.5249	493.11713	-162.5337	-182.46935	61.806484	4224.270765066147
