Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-48.561783	55.9387	14.890696	-308.38998	-2659.307	883.79596	-10.114166	-3027.538	120.17073	900.6	5000	28.994772	32.852634	154.2759	-28.290215	-35.287445	4.0218043	56.29569411277771
2	-53.608692	99.57096	23.573904	-375.47437	-69.86401	56.737278	-22.8643	-224.75159	179.07143	25.8	10000	626.9181	409.21893	1812.5863	-277.00912	-695.2011	586.5677	102.14529204368591
3	-604.1695	1002.3381	-29.98065	-2706.5215	-49.937065	35.516346	-12.162572	-150.89561	233.95238	18.1	15000	2213.2856	389.4615	3162.9502	-1009.49414	-2297.908	5537.835	150.86152243614197
4	-353.99597	737.6876	-6.362178	-2687.6475	-426.56885	865.1352	-46.448055	-3013.8667	132.30556	141.5	20000	2823.202	260.1665	3356.5583	-1626.868	-2872.3774	9942.775	199.6550965309143
5	-418.96686	889.529	-20.102291	-2714.2183	-391.0805	850.854	-48.21964	-2939.991	157.23334	130.8	25000	2838.7183	264.43762	3495.096	-1595.9872	-2881.3289	7854.9976	248.06131553649902
6	-721.15106	1107.7765	-28.326746	-2749.4353	-392.85645	862.9596	-22.866661	-2972.3706	267.90475	132.8	30000	2718.131	270.44275	3260.1125	-2124.396	-2753.6353	7527.3315	303.19631123542786
7	-240.71974	601.864	-16.047066	-2632.8235	-301.96732	485.21378	-26.293755	-1710.9729	93.3	104.1	35000	2508.4392	258.97012	3124.4902	-1898.6528	-2537.6611	6701.5107	351.5641691684723
8	-295.99847	621.7402	-22.94372	-2633.77	-673.4407	1146.6515	-19.178942	-2967.0452	116.175	227.5	40000	2265.065	266.8884	2799.771	-1258.689	-2291.389	6812.6304	400.64757895469666
9	-541.48193	1003.61896	-20.972271	-2630.1003	-642.74023	1115.6774	-27.605463	-2939.8796	210.84616	229.0	45000	2052.0635	244.734	2532.3838	-1210.3547	-2078.1765	4308.523	456.11384892463684
10	-568.6732	924.45465	-23.096785	-2602.5771	-636.24475	1078.2631	-36.190685	-2821.779	223.65218	228.4	50000	1864.5454	208.37888	2287.37	-1502.3683	-1887.0144	3607.0166	508.6773965358734
11	-648.75305	1042.3536	-32.546154	-2608.8271	-793.62585	1111.0089	-22.910963	-2662.1738	260.70587	296.7	55000	1676.7588	176.22885	2045.1492	-1642.7747	-1696.3247	2489.6145	556.9447245597839
12	-427.2604	755.4918	-11.750812	-2410.465	-79.61279	47.471928	-19.659517	-166.56717	186.57143	42.5	60000	1483.1282	154.12769	1794.1837	-1428.2032	-1500.0172	1934.9106	608.4641790390015
13	-292.39886	573.8156	-19.068148	-2344.2825	-384.5198	777.653	-21.594833	-2680.6536	135.05	152.1	65000	1278.1095	133.92914	1529.0519	-976.1199	-1292.4867	1536.4963	663.7811126708984
14	-330.86276	658.33417	-18.305824	-2340.906	-710.00256	1023.2167	-30.201357	-2538.4976	157.25	287.8	70000	1081.9734	114.90751	1338.1151	-764.1305	-1093.6534	1195.3176	717.8404920101166
15	-257.29352	497.1405	-11.688989	-2258.5823	-803.415	1141.3281	-21.259861	-2655.5996	135.11111	321.1	75000	908.3018	99.64382	1119.6293	-845.1514	-917.9963	870.66785	771.4765186309814
16	-557.4901	841.1302	-11.248411	-2437.6167	-925.8956	1018.8915	-25.66704	-2536.058	242.27777	398.5	80000	757.3052	81.716606	918.782	-575.22894	-764.8721	550.0446	821.656886100769
17	-392.4375	631.27124	-8.267673	-2304.0776	-520.6698	639.7186	-17.162237	-2314.98	218.20833	304.4	85000	611.0449	72.06503	763.9576	-529.5743	-616.9367	350.32587	878.358181476593
18	-846.5161	722.3693	-38.15328	-1915.973	-958.4613	619.0347	-28.287045	-2078.7793	546.6	746.3	90000	467.98572	57.76591	610.5457	-476.50818	-472.4748	199.68744	942.0098342895508
19	-808.91547	530.79877	-32.313286	-1532.1229	-1258.3978	1080.4913	-29.83949	-2720.4333	841.0	703.6	95000	352.14304	42.796528	468.2862	-300.50052	-355.63312	110.50982	1002.9698066711426
