Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-265.58276	110.9589	-83.18451	-430.3762	-584.7292	11.3124895	-562.09595	-598.1547	1000.0	1000.0	5000	8.753595	8.4235325	44.543934	-3.370266	-10.003773	0.4585891	60.57617926597595
2	-282.50485	101.07399	-177.2663	-425.8487	-362.11432	261.722	23.970993	-627.03503	1000.0	1000.0	10000	48.80896	28.486124	130.60611	1.0209358	-52.408646	3.0176926	121.45333862304688
3	-585.14795	639.27747	-51.02384	-1797.0778	-1078.6428	64.93177	-953.06335	-1203.7461	1000.0	1000.0	15000	120.029465	44.889793	204.43138	35.39803	-123.49155	7.3701267	185.17398858070374
4	-637.3787	196.68823	-484.20862	-1001.4827	-452.26205	282.3753	87.44599	-754.63165	1000.0	1000.0	20000	129.13824	42.4753	205.54543	58.218727	-130.76045	5.2860994	246.64179062843323
5	-183.35234	186.9251	29.67062	-493.74982	337.07404	135.21902	602.99805	88.78937	1000.0	1000.0	25000	140.76411	48.849102	222.2892	65.592545	-143.08842	6.38983	308.78570342063904
6	601.1323	571.5234	1296.8698	-321.21387	827.2355	576.64777	1330.1456	-636.9235	1000.0	1000.0	30000	148.73814	47.482014	227.8916	70.8934	-150.5128	5.76485	371.0481433868408
7	1735.1625	357.49905	2195.0388	1274.8641	2000.2812	172.9414	2245.852	1730.6575	1000.0	1000.0	35000	155.41536	49.304417	242.25218	66.47833	-156.97943	5.595074	433.85836601257324
8	2150.3596	247.32164	2434.758	1771.8746	2527.147	136.5204	2800.2417	2350.09	1000.0	1000.0	40000	166.9981	53.134995	263.18127	63.132206	-168.68172	6.521263	496.40843296051025
9	2176.2412	472.82425	2491.3967	1236.8047	2481.2185	368.44406	2826.1736	1465.739	1000.0	1000.0	45000	183.89742	55.178444	289.29895	39.265602	-185.67662	7.7199736	559.0787615776062
10	2558.1174	221.24686	2812.3809	2266.0488	2065.4978	175.22601	2343.4343	1729.8983	1000.0	1000.0	50000	201.76645	56.67823	303.17444	34.284298	-203.50725	8.488421	622.1558656692505
11	2465.7974	223.08577	2697.3599	2109.2668	2562.1716	368.28687	2859.9138	1485.5504	1000.0	1000.0	55000	218.97057	58.76745	326.67816	49.547905	-220.7206	9.3009405	684.9162743091583
12	2596.1255	416.3052	2970.324	1815.1466	2932.702	81.77125	3001.1396	2714.4497	1000.0	1000.0	60000	234.78061	63.504353	341.26904	69.76869	-236.52295	10.028327	746.0079109668732
13	2623.1133	284.02658	3019.4443	2241.524	3285.9956	209.82657	3561.9604	3013.1965	1000.0	1000.0	65000	251.62497	68.32355	357.16504	74.33319	-253.3679	10.359079	807.1332218647003
14	3222.3855	122.27608	3380.6768	3074.9758	3291.0586	117.81479	3471.5981	3066.1904	1000.0	1000.0	70000	267.23337	73.11752	376.90536	75.08839	-268.985	10.839786	869.402242898941
15	3055.9465	238.95486	3316.0815	2654.9128	3288.4695	175.63547	3521.2888	2936.511	1000.0	1000.0	75000	283.36252	76.10622	388.31363	72.826866	-285.1626	11.168322	931.7018728256226
16	3263.4062	124.44515	3363.6782	3018.88	3030.3042	100.12684	3280.722	2917.9338	1000.0	1000.0	80000	298.5366	76.903564	404.84576	73.787155	-300.3004	11.282654	994.1295483112335
17	3267.5173	238.23221	3457.8726	2799.3955	3444.0269	111.42922	3593.7532	3242.1646	1000.0	1000.0	85000	312.16544	77.980255	421.34866	81.78326	-313.91254	11.76817	1057.480155467987
18	3400.9148	75.702866	3487.2646	3260.564	3529.5645	142.80988	3780.187	3342.8086	1000.0	1000.0	90000	325.17514	77.68624	428.7748	83.75367	-326.95584	12.236827	1120.1049699783325
19	3391.2896	92.30535	3544.6477	3258.4624	3445.9048	100.16228	3625.2534	3323.9536	1000.0	1000.0	95000	336.75983	76.83085	441.3949	54.053265	-338.4829	12.421693	1180.7259080410004
20	3357.388	89.83918	3522.87	3251.0154	3774.1003	166.5823	3994.0938	3412.1516	1000.0	1000.0	100000	346.817	76.234695	451.94516	50.52081	-348.5501	12.867779	1241.9296929836273
21	3537.6274	64.192505	3632.8655	3477.3364	3625.5344	122.51136	3836.0166	3413.8994	1000.0	1000.0	105000	356.79865	75.54661	456.55878	63.310394	-358.5358	12.261314	1303.4515812397003
22	3439.9058	234.73393	3730.0916	3171.904	3710.3406	97.20332	3897.9753	3559.441	1000.0	1000.0	110000	366.1634	76.72238	466.3848	84.44017	-367.9027	12.295646	1365.7795059680939
23	3550.591	182.5801	3778.918	3327.7393	3669.0942	145.91228	3832.6262	3410.9243	1000.0	1000.0	115000	375.04388	77.94536	477.43048	97.67326	-376.77325	12.622481	1427.984065771103
24	3581.4219	68.96949	3684.0344	3507.4998	3991.5156	104.50578	4200.374	3869.98	1000.0	1000.0	120000	383.04953	78.45347	482.37708	94.5312	-384.76425	12.896973	1490.6065423488617
25	3624.597	99.08435	3747.0288	3464.9104	3711.2903	94.04224	3849.1108	3517.4282	1000.0	1000.0	125000	389.9683	79.35285	487.78552	103.845566	-391.62943	12.756666	1552.0861496925354
26	3627.6445	239.86563	3984.7283	3246.6943	3929.6008	145.2014	4175.4165	3736.632	1000.0	1000.0	130000	395.77063	80.329216	492.29346	97.379906	-397.41946	13.305415	1614.6609582901
27	3856.6187	120.45888	4007.0671	3650.061	3991.7136	100.93576	4139.2983	3802.4983	1000.0	1000.0	135000	401.61063	80.64057	497.39532	101.78305	-403.25928	12.991769	1677.1999385356903
28	3538.4277	519.0712	4123.0835	2801.9707	4117.2153	106.599884	4332.5835	3960.5996	1000.0	1000.0	140000	406.9642	81.278465	504.28455	88.01276	-408.5764	13.211062	1741.0001306533813
29	3864.1406	126.952965	4001.0579	3701.227	3641.8052	1039.536	4154.95	533.7226	1000.0	1000.0	145000	411.22147	85.14221	511.00345	79.934906	-412.7769	13.803803	1805.8588950634003
30	3812.9536	272.07593	4036.1213	3289.6582	4020.8997	86.89732	4190.375	3898.7637	1000.0	1000.0	150000	414.3103	89.77043	512.60065	48.117207	-415.8224	14.01585	1870.3605632781982
31	3896.23	166.01344	4128.3413	3656.8801	3519.6003	1313.3341	4275.8022	502.34436	1000.0	1000.0	155000	417.26703	93.83161	513.8124	38.7672	-418.7198	13.961917	1934.8952522277832
