Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
1	-211.65242	98.806206	-59.30121	-324.4974	-178.95407	25.897215	-138.73442	-218.6096	1000.0	1000.0	5000	7.200769	5.5033407	30.083303	-4.497969	7.200759	5.503859	30.475737	-5.2246647	8.153665	5.6261315	31.770638	-12.3941145	-1.8490583	2.76601	75.386024	-13.197927	-8.475186	0.13460821	0.13194574	0.28913796	40.67756772041321
2	-253.63277	57.68601	-178.05353	-350.48407	-379.38916	161.0139	-217.3513	-690.6502	1000.0	1000.0	10000	29.328363	9.33277	68.39951	3.5912092	29.328503	9.331781	67.87632	3.400118	30.986713	9.573392	70.76724	3.8616629	0.9252918	3.5624774	27.221216	-16.380556	-31.735054	0.34868696	0.35100523	0.73889863	81.06493425369263
3	-162.92953	231.74612	206.93446	-505.3716	189.68364	180.88065	700.6924	-11.144006	1000.0	1000.0	15000	49.78414	9.5760565	108.26358	25.020935	49.784203	9.57536	109.49578	24.477861	50.618263	9.552612	101.849594	25.084234	-0.30336633	3.3935554	27.018719	-13.487391	-51.48084	0.43205497	0.43686974	0.90731525	124.93033790588379
4	213.46005	146.96495	506.50516	125.87838	1420.972	124.85609	1523.0242	1075.2551	1000.0	1000.0	20000	46.286293	11.804801	79.942474	22.877108	46.286514	11.804068	82.338425	23.624268	46.884705	11.860895	79.88323	24.313957	-1.6141402	2.6768603	19.50085	-14.53564	-47.544445	0.29926977	0.30339456	0.6116872	168.51563930511475
5	821.57385	402.5523	1337.1287	185.77693	1930.9045	96.78196	2127.9167	1809.2216	1000.0	1000.0	25000	48.458755	14.848404	97.14432	23.103813	48.45882	14.848183	97.763176	23.307907	49.032257	14.76123	96.045654	24.363743	-1.5842586	2.6721878	18.469952	-13.0530815	-49.655693	0.423108	0.4233576	0.73806083	212.38928747177124
6	1947.1533	352.85425	2605.2266	1536.8256	2760.9758	62.61513	2878.0674	2650.255	1000.0	1000.0	30000	57.09344	21.39426	129.67613	20.686098	57.093494	21.394394	131.69324	20.44441	57.669666	21.212305	127.980156	19.424915	-0.90693295	3.0430098	23.224482	-14.281591	-58.476845	0.65088415	0.64536965	1.0402554	255.5485873222351
7	2203.2437	874.8443	2879.0576	479.05933	3131.7495	131.8557	3357.9077	2964.484	1000.0	1000.0	35000	72.48058	31.045126	158.49652	18.07212	72.48045	31.045372	159.60088	17.589354	73.08121	30.704704	157.42365	17.384178	-0.07201782	3.46176	28.146887	-14.7647915	-73.93838	0.96435684	0.9707785	1.4534453	299.02855253219604
8	2870.9236	327.32138	3200.267	2297.2383	3814.877	196.75764	4189.602	3518.9375	1000.0	1000.0	40000	90.88148	39.862503	193.8864	25.579184	90.881676	39.86252	195.02974	24.655375	91.447	39.415092	192.74821	26.447567	0.42484564	3.6655037	31.28578	-15.157809	-92.31499	1.3128049	1.3123983	1.8737117	342.0852825641632
9	3067.5613	157.86479	3379.3118	2953.4841	3963.507	113.156815	4106.059	3780.0166	1000.0	1000.0	45000	110.979904	48.101723	220.05879	24.97375	110.98016	48.10157	218.37003	24.68792	111.477264	47.6107	219.58762	26.297756	0.8504629	3.8289657	29.44078	-13.538492	-112.408516	1.6766859	1.6341486	2.2811399	385.82614398002625
10	3505.6953	175.3968	3841.0032	3381.1975	4132.285	150.04884	4327.6504	3926.514	1000.0	1000.0	50000	130.6313	55.935577	239.99612	26.088747	130.63165	55.935658	239.8802	26.15849	131.07968	55.428005	238.01935	27.875498	1.193971	3.9420395	42.618195	-13.408097	-132.06767	1.9935398	1.958802	2.6665668	429.62111496925354
11	3619.6313	168.6713	3812.0461	3393.518	4456.78	111.73482	4643.076	4248.716	1000.0	1000.0	55000	149.86006	63.387966	268.77588	10.105806	149.86008	63.387863	268.89777	9.871994	150.26569	62.887295	268.55548	5.5979376	1.564507	4.066161	43.601578	-13.1928835	-151.33267	2.3862507	2.3413832	3.1620452	473.8353190422058
12	4015.8452	145.07141	4168.885	3799.2026	4664.9067	137.03712	4813.015	4373.694	1000.0	1000.0	60000	168.69753	70.74197	291.66974	-17.244806	168.69766	70.742195	290.08395	-17.474098	169.0781	70.19837	288.86377	-21.347374	1.8848593	4.2268434	37.46937	-13.518153	-170.21118	2.8016348	2.7499857	3.6748266	517.9277803897858
13	4095.358	261.87112	4374.393	3632.81	4998.7227	82.19894	5150.0737	4880.477	1000.0	1000.0	65000	187.19162	74.99677	306.69293	9.096991	187.19164	74.99722	308.42676	11.129276	187.53815	74.38272	306.9854	8.388128	1.9692128	4.1460977	41.765564	-13.441749	-188.71619	3.066675	2.9857101	3.893529	561.5879483222961
14	4687.1104	123.23181	4874.791	4540.218	5234.8438	78.07649	5330.669	5038.945	1000.0	1000.0	70000	204.53003	81.31008	334.5208	-27.38134	204.53024	81.31041	334.26935	-30.782318	204.82407	80.76205	333.4108	-35.74559	2.215102	4.2295413	41.678486	-14.036213	-206.11977	3.2073987	3.112541	4.1988854	605.8478345870972
15	4811.495	238.56013	5100.593	4506.381	5453.2393	50.84684	5581.2954	5369.2305	1000.0	1000.0	75000	221.7636	87.67825	362.26904	-79.60206	221.76385	87.67857	360.686	-75.026375	222.10736	87.03059	357.72256	-80.93665	2.4157536	4.298735	38.392	-13.999683	-223.4754	3.4503078	3.348743	4.4491315	650.0030918121338
16	4955.8057	130.62978	5113.3438	4778.9736	5977.869	101.22547	6120.5293	5768.0347	1000.0	1000.0	80000	240.41849	89.84375	384.58163	10.250708	240.41856	89.84407	383.75494	8.292293	240.7483	89.14581	380.54562	14.178336	2.653125	4.3121543	47.257748	-13.965375	-241.99585	3.642718	3.5851548	4.722133	694.3516891002655
17	5438.999	133.17628	5610.1987	5268.876	6212.1694	127.217896	6413.7314	6043.3945	1000.0	1000.0	85000	258.09354	93.87405	402.6009	3.7548425	258.0936	93.87401	404.51703	5.255512	258.38416	93.2452	399.64572	-6.0906367	2.863901	4.331563	49.656578	-15.458231	-259.68408	3.8807676	3.8105671	4.9676805	738.7060396671295
18	5636.699	148.44264	5882.703	5457.1006	6273.413	155.53078	6427.037	5897.8013	1000.0	1000.0	90000	274.04178	100.645836	425.84164	-40.368713	274.04202	100.646385	425.10544	-41.806442	274.3269	99.96565	425.53177	-39.18904	3.0971253	4.420872	38.902256	-14.520195	-275.7986	4.3019156	4.218149	5.4603863	782.7304580211639
19	5870.979	136.31201	6067.641	5662.6416	6443.997	87.97773	6577.002	6324.1724	1000.0	1000.0	95000	292.10913	102.77161	453.9317	4.380499	292.10886	102.77222	452.49603	5.3381767	292.4414	101.985275	455.09708	9.395451	3.3123703	4.4256186	42.079567	-14.614199	-293.85794	4.5330033	4.4980826	5.815934	827.1918859481812
20	5793.4824	199.92445	6164.021	5566.991	6636.214	120.86758	6832.3496	6395.7373	1000.0	1000.0	100000	308.48007	106.443665	468.46478	20.50605	308.4803	106.444275	469.78845	19.575855	308.78058	105.67066	466.70444	25.00213	3.4856343	4.4533978	48.286247	-12.561184	-310.25797	4.858485	4.7242904	6.022035	871.875212430954
21	6217.9854	91.291176	6325.8213	6107.8496	7137.449	126.24513	7388.735	6988.2676	1000.0	1000.0	105000	324.59247	109.162506	494.602	20.774893	324.5924	109.16367	492.93958	18.404907	324.86972	108.38835	490.1571	20.417297	3.654047	4.469485	55.077793	-15.082245	-326.34076	5.0368123	4.935095	6.3763685	915.6337599754333
22	6071.3936	864.87695	6713.2812	4398.6353	6809.7134	64.09407	6891.0693	6685.9453	1000.0	1000.0	110000	339.43103	112.60383	505.7261	18.99348	339.43094	112.604614	506.7992	18.473385	339.6761	111.8232	502.21268	21.164679	3.8319366	4.5093117	48.259167	-12.732908	-341.1901	5.625054	5.401674	6.9415655	959.6841025352478
23	6267.979	474.2216	6752.6797	5407.351	6803.7944	94.843185	6973.9507	6573.627	1000.0	1000.0	115000	352.82397	115.02932	523.79816	-105.56608	352.8237	115.03057	524.3697	-100.373085	353.03406	114.196175	524.5007	-90.731255	3.884661	4.503477	53.936707	-12.28583	-354.58813	6.080872	5.945379	7.2637734	1004.2321219444275
24	6541.0796	305.8367	6966.2314	6083.2236	7146.4546	452.39685	7570.411	5882.7583	1000.0	1000.0	120000	365.10092	117.72419	534.5742	-146.32178	365.10086	117.725075	535.2007	-157.19681	365.27908	116.896576	534.43494	-123.815895	3.9879448	4.523784	47.11489	-12.453345	-366.8254	6.480086	6.3059454	7.7558517	1049.2302086353302
25	6792.833	269.21646	7204.441	6499.0776	6946.996	47.70479	7045.7656	6871.023	1000.0	1000.0	125000	376.95483	120.011894	549.16516	-125.18537	376.9549	120.013176	549.9416	-125.02944	377.12054	119.17431	547.0753	-125.663666	4.0386925	4.470182	51.874336	-13.491912	-378.68234	6.561096	6.388492	7.725653	1093.2096967697144
26	6850.9663	304.9408	7159.5225	6464.2476	7528.3896	160.4482	7863.7275	7286.9106	1000.0	1000.0	130000	389.31882	121.71168	574.6652	-120.17412	389.31897	121.711624	569.72534	-129.45491	389.4913	120.82428	568.57684	-108.40494	4.1611724	4.5069013	46.208477	-11.534771	-391.01196	6.4664183	6.334759	7.829941	1138.112803220749
27	7297.4414	376.427	7867.526	6798.8286	8294.765	139.01611	8421.366	7936.1113	1000.0	1000.0	135000	402.21964	122.560356	577.1714	-109.62496	402.22	122.56094	577.45135	-111.38607	402.424	121.59389	576.6097	-127.25114	4.2951436	4.520229	42.016277	-15.165575	-403.9102	6.5807185	6.4068384	8.03125	1182.3416171073914
28	7304.372	490.64392	7731.708	6371.0405	7937.203	108.07581	8123.763	7738.6846	1000.0	1000.0	140000	414.5106	124.54376	590.4788	-155.84157	414.5105	124.54547	590.31165	-161.69272	414.6323	123.66977	587.0756	-116.53067	4.3426304	4.4968104	47.94207	-13.617762	-416.13736	6.8536344	6.696503	8.306483	1226.927374124527
29	7593.242	152.75432	7788.959	7400.7905	7157.491	38.70603	7203.871	7084.0083	1000.0	1000.0	145000	425.77383	128.24213	608.16406	-152.86113	425.77365	128.24196	610.4268	-155.78523	425.91043	127.34759	607.00714	-133.21193	4.5354757	4.604584	52.302753	-14.407914	-427.5331	6.872551	6.7942953	8.375528	1271.9330780506134
30	6319.8467	2188.2073	7913.4287	1987.4945	8053.9443	127.29047	8256.842	7752.105	1000.0	1000.0	150000	436.70682	130.20778	623.7581	-140.92778	436.70724	130.20905	622.29486	-138.90126	436.86563	129.20184	618.4064	-138.87395	4.670695	4.6008697	45.258625	-12.753569	-438.4615	6.9374657	6.8027782	8.400065	1316.8399422168732
31	7805.0967	470.67044	8198.746	6967.547	7953.9663	201.58986	8267.784	7629.1255	1000.0	1000.0	155000	446.5005	132.90605	640.55975	-155.67912	446.50052	132.90675	639.0535	-169.88884	446.65048	131.90826	636.59546	-167.73785	4.7469573	4.5834503	60.577644	-13.321686	-448.1915	7.4093704	7.203933	9.00994	1361.8146800994873
32	7655.4165	297.29208	8044.48	7287.2715	8356.74	340.66962	8702.749	7627.312	1000.0	1000.0	160000	457.06882	134.46814	650.22015	-178.88252	457.06882	134.46883	650.2215	-187.88606	457.1622	133.51064	644.9979	-157.83684	4.8339434	4.5525403	46.90814	-13.574316	-458.674	7.2450795	7.0883937	8.918472	1406.8740134239197
33	7975.72	448.02344	8610.391	7539.272	8125.447	2197.975	8997.524	1538.292	1000.0	1000.0	165000	466.75565	136.66156	674.2866	-196.60408	466.75555	136.66335	675.157	-186.15	466.77716	135.77023	672.262	-187.27516	4.8585806	4.54878	53.458572	-12.770013	-468.3032	7.3936563	7.231066	9.077119	1451.7778034210205
34	8136.522	210.26884	8362.095	7768.9595	8561.34	1063.3893	9183.417	5390.687	1000.0	1000.0	170000	476.16638	140.57114	682.83545	-139.6739	476.16647	140.57187	685.4746	-151.17221	476.23004	139.61154	683.0517	-141.67111	5.046854	4.613463	47.383995	-11.944285	-477.8355	7.557092	7.3582163	9.305158	1497.201663017273
35	8123.5596	349.5211	8643.094	7613.312	9001.834	113.42011	9282.042	8879.281	1000.0	1000.0	175000	486.13742	142.01756	692.9546	-203.23488	486.1371	142.01918	695.99445	-185.5028	486.17746	141.01192	689.1564	-177.25435	5.072164	4.6006026	46.034206	-13.961225	-487.8213	7.926878	7.851735	9.615474	1542.0067472457886
