Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-539.9144	56.48908	-476.51392	-604.9011	1000.0	0.02328603	0.3436016	1.0770293	-1.2394123	4000	-3.7789345e-08	2914.4714	-0.05839294	-756.25146	5.5224366	0.015446962	0.29575	26.0	5.327533483505249
1	-416.19144	155.77306	-183.71432	-597.6235	1000.0	-7.241003	4.014922	6.6257215	-14.624491	8000	-1.6212464e-08	1533.5558	-0.049581002	-675.3004	5.5015464	0.016503396	0.258	25.0	9.846737384796143
2	-421.53687	88.400215	-288.8389	-525.4224	1000.0	-20.180426	3.406159	17.709558	-21.66468	12000	2.270937e-08	754.1546	-0.046676498	-171.35413	5.4563613	0.016629154	0.23775	23.0	13.99798321723938
3	-453.4608	21.172241	-421.93625	-481.3142	1000.0	-26.186102	1.7601111	3.2455957	-26.713741	16000	-1.7523766e-08	513.5105	-0.041304115	-121.808685	5.4911523	0.015398249	0.19975	17.0	18.684746742248535
4	-406.1515	107.998924	-294.5056	-581.7801	1000.0	-29.765348	3.6380634	11.086617	-31.207792	20000	3.194809e-08	455.98187	-0.014397878	-36.239807	5.348807	0.018136516	0.2095	5.0	23.25868511199951
5	-381.7718	86.23656	-284.20142	-494.55148	1000.0	-30.759165	6.119859	20.184036	-33.592903	24000	9.536744e-10	330.25656	-0.042261574	-26.82138	5.373506	0.01563688	0.2045	20.0	28.077812433242798
6	-435.53366	40.744446	-374.95358	-488.4662	1000.0	-31.52544	5.45544	18.745323	-34.951893	28000	-4.768372e-10	325.18274	-0.04912629	-74.72542	5.401338	0.015229739	0.239	26.0	32.88439440727234
7	-325.00702	107.79754	-217.31384	-459.9747	1000.0	-36.461918	1.2423166	-19.570017	-36.97153	32000	-1.1920929e-08	334.56882	-0.021988356	-146.67229	5.405879	0.0139368195	0.181	7.0	37.49973917007446
8	-464.1384	54.36979	-402.83975	-531.32495	1000.0	-27.664686	8.112486	0.35606807	-36.010983	36000	1.5497207e-08	534.44763	-0.047417056	-207.71289	5.378003	0.017067226	0.22225	22.0	41.95330309867859
9	-431.3422	113.359024	-259.19128	-562.80176	1000.0	-37.7604	3.4121306	10.489472	-38.940483	40000	-8.702278e-09	386.63412	-0.049942184	-94.655	5.3104424	0.015719008	0.241	26.0	46.3911247253418
10	-388.34613	131.36862	-175.86539	-535.2307	1000.0	-31.23769	11.9297495	26.327486	-40.76053	44000	-1.5497208e-09	465.5479	-0.019401895	-63.85736	5.350874	0.02123451	0.26075	6.0	50.95031499862671
11	-374.91766	63.413025	-302.46024	-472.1359	1000.0	-34.59226	8.949227	19.532476	-41.42141	48000	-1.2874604e-08	295.09863	-0.017457603	-41.972794	5.3370013	0.014364753	0.199	6.0	55.20798063278198
12	-379.87097	105.42626	-225.96396	-512.18726	1000.0	-34.20424	7.857676	14.045035	-41.413048	52000	-1.692772e-08	402.73834	-0.014910259	-30.409607	5.340345	0.018274307	0.24	6.0	59.46447801589966
13	-487.58765	45.57009	-413.08267	-531.7833	1000.0	-37.560345	6.316718	-0.83986735	-41.830368	56000	-9.536744e-10	407.30887	-0.016187062	-87.06561	5.3387623	0.019582678	0.2185	6.0	63.65377140045166
14	-353.58563	39.31478	-312.76465	-408.39847	1000.0	-41.572212	4.8684278	11.502504	-43.787003	60000	5.9604646e-09	448.25323	-0.048521556	-126.12598	5.294504	0.016065005	0.2495	24.0	68.22402310371399
15	-410.3742	18.692913	-390.08612	-440.92215	1000.0	-38.915703	5.96751	11.206636	-42.032604	64000	-7.152557e-09	167.52684	-0.016435677	-34.111526	5.3092794	0.020893583	0.2595	5.0	72.31934547424316
16	-363.6664	40.173252	-297.50024	-404.04126	1000.0	-33.919895	11.4426775	11.501041	-42.700783	68000	8.5830685e-09	187.10046	-0.04458721	-24.31044	5.275439	0.015714543	0.23375	20.0	76.65413570404053
17	-452.75986	21.094084	-421.33148	-472.4136	1000.0	-39.013462	5.016753	-0.8226813	-42.222065	72000	-3.0994414e-08	137.08119	-0.015955249	-19.887596	5.2533236	0.018809665	0.23125	5.0	80.74528002738953
