Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-286.00058	67.327034	-215.15111	-388.10883	-256.05148	111.7553	-178.689	-583.01355	1000.0	1000.0	5000	3.5887487	3.9923062	28.784414	-7.7032027	3.588875	3.9919126	29.006462	-7.0955925	-5.216536	0.5969062	40.353302001953125
2	-212.61057	48.851395	-143.86888	-286.03745	-599.57715	43.781322	-519.8836	-682.8475	1000.0	1000.0	10000	22.575022	9.290952	58.01171	-3.165234	22.575354	9.2900915	59.15012	-2.9371655	-26.303331	3.1587222	79.13072681427002
3	320.658	559.7584	1276.3418	-292.26978	568.54944	1127.4729	1778.001	-1136.9683	1000.0	1000.0	15000	40.70419	13.011008	94.61972	-3.621751	40.70383	13.009357	92.70134	0.25800693	-42.967743	5.471359	121.4345211982727
4	666.8887	994.0922	1950.6978	-432.67953	2429.3826	421.2969	2690.0032	1203.7439	1000.0	1000.0	20000	47.868847	21.652367	106.33375	-2.1403875	47.868694	21.652042	106.482796	-1.3134089	-50.16579	5.6922755	164.0546669960022
5	2540.6704	481.2888	3132.4067	1689.8021	3283.3833	106.00132	3436.7065	3050.682	1000.0	1000.0	25000	62.89296	31.820938	136.65851	-2.7625704	62.892323	31.8213	136.51968	-1.9664856	-65.06751	6.491374	206.45979619026184
6	2709.776	1270.482	3451.5603	176.01593	3474.6824	137.86281	3664.51	3163.0671	1000.0	1000.0	30000	82.29431	41.628704	176.04489	-3.415893	82.29433	41.629425	178.35387	-4.1735563	-84.4884	7.5473194	248.74472832679749
7	2864.1218	1371.4504	3653.5374	124.059586	3824.724	124.286804	4094.3174	3620.542	1000.0	1000.0	35000	98.89262	52.943237	202.1769	-13.271917	98.89277	52.942524	200.44157	-9.547914	-101.03658	9.123428	290.35300755500793
8	3697.584	132.16188	3835.4453	3484.8643	3341.7336	1127.5585	3962.0146	-12.9085245	1000.0	1000.0	40000	120.7488	60.837933	223.42372	-14.747748	120.74988	60.836742	222.81102	-16.26118	-122.89337	11.025544	332.2957978248596
9	3611.3364	606.8519	4076.6338	2413.4172	3964.282	131.05197	4199.762	3821.2292	1000.0	1000.0	45000	140.23262	67.74881	247.48886	-32.941135	140.23332	67.74765	248.01224	-32.328167	-142.32332	13.738922	374.9507386684418
10	3948.293	227.6109	4259.344	3599.6995	4285.2705	210.9382	4495.0093	3847.0295	1000.0	1000.0	50000	160.52524	72.70534	266.37772	-43.33786	160.52563	72.70474	266.50327	-40.227222	-162.84413	15.57042	417.01412081718445
