Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-546.43506	128.17604	-420.79218	-723.65	1000.0	-0.051652383	0.5791607	1.9208531	-2.1418548	4000	5.185604e-09	3123.653	-0.0444246	-754.4219	5.5626016	0.015941162	0.19525	14.0	4.852494239807129
1	-550.6019	28.15235	-503.64383	-576.97253	1000.0	-11.223463	4.630214	7.617104	-14.926572	8000	7.2479246e-08	1916.3302	-0.018919498	-706.22595	5.4916244	0.01631684	0.22875	6.0	9.050719738006592
2	-497.38596	81.61077	-368.2191	-570.4013	1000.0	-21.466352	2.720521	4.7507443	-22.802948	12000	3.886223e-08	1121.661	-0.044048607	-236.28253	5.473949	0.016503952	0.19425	19.0	13.391391515731812
3	-507.07092	77.02914	-379.19537	-567.85114	1000.0	-26.461004	3.556379	20.483845	-27.75197	16000	-4.148483e-08	834.6225	-0.049231745	-164.435	5.450943	0.015833683	0.2365	27.0	18.061286449432373
4	-516.07495	59.698513	-450.6606	-611.4379	1000.0	-31.259274	1.375237	-1.8878182	-31.78176	20000	-4.4584276e-08	660.55505	-0.043296993	-92.08728	5.42382	0.016804274	0.20275	20.0	22.567970752716064
5	-451.47842	119.20137	-304.77493	-611.7107	1000.0	-34.840107	0.90066934	-21.109476	-35.10338	24000	4.9471853e-09	718.6044	-0.044187214	-132.51001	5.435577	0.015927283	0.20875	20.0	26.63498544692993
6	-576.5039	33.05644	-543.0247	-628.2503	1000.0	-35.86085	5.2723546	22.2115	-37.51248	28000	-3.8146974e-09	597.085	-0.013943769	-154.04361	5.4003882	0.018800015	0.25475	5.0	30.714081525802612
7	-491.34033	85.405716	-351.23193	-575.19354	1000.0	-40.89546	1.7864828	-1.3355187	-41.31818	32000	-1.692772e-08	318.64468	-0.04373549	-48.021515	5.442916	0.016583513	0.22125	21.0	35.01534676551819
8	-502.93536	76.716	-418.06516	-619.27716	1000.0	-36.451187	8.843748	23.02034	-42.908012	36000	-6.103516e-08	481.9524	-0.04178168	-105.50076	5.3881135	0.016791789	0.19275	18.0	39.5532500743866
9	-462.8265	121.27039	-278.09628	-618.6417	1000.0	-43.10398	4.9342985	29.29433	-44.326164	40000	1.6689301e-09	385.9234	-0.029235976	-66.60989	5.3980346	0.015744938	0.14975	12.0	43.95679593086243
10	-461.64832	107.997375	-341.784	-611.2933	1000.0	-36.24464	10.109698	18.506283	-45.30547	44000	4.529953e-09	523.5276	-0.038065862	-67.120636	5.3361874	0.015907278	0.169	17.0	48.98390436172485
11	-503.92917	172.60771	-278.28308	-740.28644	1000.0	-28.081327	28.172802	45.62411	-46.545124	48000	4.196167e-08	1925.3143	-0.04807794	-1287.7509	5.392861	0.01583736	0.24825	23.0	53.34606862068176
12	-556.3431	119.57592	-412.59525	-692.8	1000.0	-43.366837	5.976485	18.694904	-47.51901	52000	1.0490417e-08	462.05518	-0.045946162	-55.654175	5.386411	0.015926281	0.234	21.0	57.81838417053223
13	-498.41635	78.00826	-398.82425	-585.46643	1000.0	-45.166695	6.403585	15.002752	-49.56598	56000	-8.8214875e-09	317.45963	-0.022175893	-30.74701	5.3516855	0.0155503135	0.191	8.0	62.431021213531494
14	-523.7487	86.67726	-421.4707	-633.0737	1000.0	-46.46067	4.235998	-5.3716187	-49.618473	60000	-5.4359436e-08	302.7373	-0.038060907	-15.273132	5.3020506	0.015821133	0.17325	17.0	66.76729273796082
15	-501.5974	82.68975	-362.2366	-577.6576	1000.0	-46.911552	4.9386153	-7.6064205	-50.16397	64000	-4.768372e-10	253.73268	-0.042425714	-34.387238	5.3187537	0.016207637	0.2005	20.0	71.05049252510071
16	-447.80414	174.00052	-264.05017	-722.07434	1000.0	-41.250076	8.129533	1.4868755	-50.41793	68000	2.2411346e-08	636.123	-0.046065312	-78.60846	5.306204	0.015780503	0.21975	21.0	75.55690407752991
