Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-44.67739	70.53562	31.763391	-360.75253	-44.1315	37.647305	-5.522399	-118.40208	121.79412	24.6	5000	0.1749995	3.2052174	24.225313	-12.916248	0.17588057	3.2049477	23.902767	-12.554866	-1.4647921	0.3950573	31.83772325515747
2	-84.22852	132.25876	19.226662	-345.13992	-50.161015	46.145836	-16.97224	-180.22523	290.05	20.5	10000	12.974482	9.551941	77.23433	-12.24917	12.973819	9.553402	78.06502	-12.548961	-17.354671	2.8739412	72.7972469329834
3	-363.48587	730.34656	200.44545	-2203.0183	3.0567048	102.20706	85.11016	-276.60345	282.6	210.8	15000	26.626738	10.225535	87.99588	-7.1898584	26.628122	10.232918	86.57202	-8.002417	-30.088493	7.8050947	110.09199500083923
4	-67.37678	261.8394	267.32886	-839.55273	10.551152	36.744934	54.52257	-79.51975	365.2143	525.1	20000	24.972807	12.08293	86.3929	-13.728165	24.972878	12.087693	85.846565	-13.287512	-27.704044	5.6856346	157.7366144657135
5	113.036865	97.05876	240.80025	-38.181053	248.65054	103.40622	410.4492	29.860182	617.8889	681.2	25000	20.451906	13.210673	69.81505	-18.040224	20.45157	13.213019	73.71396	-18.950169	-22.720078	4.2968497	210.5476472377777
6	153.06862	122.45909	427.08566	7.3710103	314.94568	207.84662	605.3375	10.939086	420.0909	648.4	30000	17.633503	13.558024	71.342964	-20.788948	17.63318	13.560956	69.533455	-25.049591	-19.671846	3.8693194	257.42480993270874
7	137.69345	144.3418	522.0696	13.660114	203.7576	166.3928	607.92206	28.540754	339.06668	379.2	35000	16.608824	13.065237	70.38128	-17.923067	16.608862	13.067001	68.87267	-16.365822	-18.573698	3.9427118	302.8965365886688
8	185.92828	202.6892	601.75287	-3.4176238	190.96577	233.98656	649.7743	22.945826	395.23077	326.8	40000	16.467968	12.232398	71.77809	-16.536903	16.467623	12.23502	71.265816	-15.449727	-18.32479	3.905844	349.22216033935547
9	285.52292	281.6438	671.3125	14.307886	139.03679	161.42537	598.91895	30.683508	464.0909	208.4	45000	16.75446	11.324656	69.67376	-19.758911	16.754622	11.326929	69.74315	-20.752682	-18.55751	3.6700478	394.05750274658203
10	182.06427	188.59962	689.19214	11.888433	311.4488	262.9374	734.0774	26.417812	310.4375	468.7	50000	17.77714	10.610723	67.57744	-29.275393	17.777357	10.612566	67.43394	-23.582806	-19.535421	3.8898811	441.2442662715912
11	334.06775	234.87642	660.9798	49.76904	160.9869	184.8199	583.02014	27.295218	522.9	256.1	55000	18.822302	10.159186	64.47281	-23.173616	18.82211	10.1611595	62.527367	-29.332705	-20.486303	3.6882226	486.6261043548584
12	268.1725	275.20737	750.2578	21.520481	432.26093	311.82068	818.49304	12.365575	376.07693	595.2	60000	20.091501	9.7925	65.173546	-27.427654	20.09135	9.793977	63.529045	-30.927307	-21.703045	3.6644452	535.4356489181519
13	490.8203	322.44583	778.2406	32.492725	441.5379	286.51923	781.44543	19.692669	693.3333	586.7	65000	21.560574	9.476336	62.66068	-23.428154	21.560543	9.476999	63.54812	-21.587027	-23.156986	3.4503706	578.4679927825928
14	419.00403	309.37906	776.70764	57.732624	226.81393	276.87338	773.2382	12.2335205	539.9091	307.3	70000	23.05066	9.274355	65.74505	-28.56022	23.050661	9.274667	63.45659	-23.712305	-24.593313	3.3501654	629.5746502876282
15	365.86377	245.60266	769.5338	41.07142	303.37927	263.80405	979.7812	11.316787	525.8889	315.9	75000	24.835575	9.130229	62.349075	-26.496473	24.83547	9.131296	63.51898	-27.622927	-26.329552	3.549847	672.5632212162018
16	415.7202	331.24353	929.87506	78.98569	268.49545	293.6997	833.62976	21.472834	489.4	279.2	80000	26.368341	9.1322155	64.26307	-23.569582	26.368456	9.132936	66.49299	-23.729658	-27.811583	3.6024284	715.68505692482
17	420.46817	328.85376	833.151	18.509338	361.0382	399.33066	1073.0151	32.797123	535.9	374.4	85000	28.016981	9.094239	63.989895	-24.659298	28.0173	9.095736	64.270195	-18.737535	-29.426575	3.5820742	763.6516995429993
18	284.3336	282.9033	932.8847	21.418749	420.03287	324.36893	894.96625	49.03488	324.6	491.2	90000	29.747055	9.112672	64.33392	-25.335913	29.747107	9.113794	64.08272	-35.736153	-31.126238	3.7272227	810.9556245803833
19	342.20578	362.93524	873.15826	-139.25412	581.4785	332.98117	1079.5215	112.82788	429.58334	584.7	95000	31.289635	9.166102	64.9242	-20.368292	31.289562	9.166865	64.03007	-15.448778	-32.645157	3.8782437	861.6688034534454
20	328.803	341.30276	1054.9015	22.026611	419.54233	366.46884	921.33923	13.84739	340.6154	467.9	100000	32.7142	9.557452	61.760178	-20.68576	32.71417	9.558944	66.43078	-15.829816	-34.053032	4.186052	906.3118970394135
21	369.22775	284.72305	845.805	40.968006	408.00787	265.85706	902.8829	59.861217	400.58334	353.9	105000	34.102985	9.842673	63.594864	-22.798388	34.102993	9.844328	63.925865	-21.294802	-35.420124	4.2245917	951.1807758808136
22	594.40735	341.88278	1158.9918	88.61096	311.28412	336.42453	978.2103	-19.99437	688.75	268.5	110000	35.4005	10.138544	68.47375	-23.75282	35.400425	10.140555	68.62935	-21.814865	-36.737846	4.358656	998.2190277576447
23	918.18567	88.97899	1009.6337	766.434	582.90643	424.34177	1442.2144	177.65135	932.0	526.0	115000	36.76744	10.333327	68.53699	-22.20175	36.767555	10.335083	68.88326	-17.428484	-38.061672	4.4111347	1045.1471564769745
24	440.8512	304.60266	868.0573	13.695787	474.90155	439.25513	1204.8955	15.560906	457.0	460.4	120000	38.11054	10.511781	70.84734	-24.648888	38.110542	10.514879	71.630615	-23.719051	-39.426506	4.4339385	1095.9642572402954
25	532.3284	316.50345	863.4652	84.93188	445.25824	407.43735	1103.8263	51.655525	636.8571	458.9	125000	39.24919	10.624167	71.16417	-23.063654	39.249176	10.626679	72.32233	-22.193775	-40.57763	4.6158543	1140.3863332271576
26	599.5414	458.9186	1305.3038	19.057573	511.93076	380.40613	1174.8939	25.791351	614.375	544.2	130000	40.329872	10.717054	69.68373	-25.20324	40.329983	10.718615	71.36257	-20.987743	-41.644302	4.787521	1189.1940605640411
27	613.8954	351.49683	993.67163	50.528507	621.1278	366.71985	1008.246	28.657597	606.44446	659.3	135000	41.345673	10.81021	73.25343	-21.239983	41.34566	10.81181	75.397995	-39.558205	-42.631783	5.048078	1243.1200256347656
28	646.8782	331.97958	1034.783	130.80923	1053.041	297.6248	1491.5125	325.92575	642.875	892.0	140000	42.247284	10.770746	73.88549	-24.952211	42.247353	10.771421	74.996994	-22.334835	-43.51152	5.2312984	1299.027359008789
29	757.79333	376.31458	1323.5126	230.55063	676.8992	364.99286	1105.6332	-6.8497458	675.8571	635.6	145000	43.111004	10.76591	72.58047	-30.743471	43.110756	10.768661	74.43674	-28.588318	-44.372677	5.273606	1347.8614783287048
30	692.2192	495.67053	1565.9437	63.207294	766.0755	489.26508	1453.2863	40.38992	542.1111	593.5	150000	44.05265	10.789459	72.25742	-21.452282	44.052975	10.790463	75.12141	-20.91312	-45.30398	5.5256886	1396.918105840683
