Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-253.39143	17.78605	-238.0192	-283.53412	-595.197	1.2057574	-593.3735	-597.3615	1000.0	1000.0	5000	8.013557	5.6771846	30.753683	-5.571029	-9.101583	0.33472756	44.2486572265625
2	-302.15195	72.65494	-177.92856	-383.282	-613.55505	18.839739	-595.8636	-653.6059	1000.0	1000.0	10000	23.014317	6.97552	47.513817	4.0082808	-24.111082	0.55315936	89.29589915275574
3	-540.1127	88.302086	-376.52444	-640.4938	-236.637	54.801994	-147.85219	-310.53503	1000.0	1000.0	15000	36.598972	6.4222636	60.02129	12.438911	-37.5766	0.88083386	139.33630466461182
4	-195.10352	18.489243	-172.6726	-219.73814	-82.04272	39.543716	-29.553503	-165.58804	1000.0	1000.0	20000	36.536285	5.473143	57.239506	19.39235	-36.98045	0.6554238	188.99469137191772
5	-65.82231	218.30841	229.30641	-334.5498	-322.09024	95.68178	-181.41005	-457.76172	1000.0	1000.0	25000	38.158592	5.9171805	60.255016	17.931484	-39.069122	0.92514044	238.94833159446716
6	612.1456	322.06583	885.8346	119.219666	941.88495	64.55969	1074.748	827.2325	1000.0	1000.0	30000	40.695957	6.6982	78.52586	20.438572	-41.271557	1.2147827	289.5116603374481
7	308.29413	559.3301	911.8997	-553.81696	376.34912	148.58421	676.4335	192.02917	1000.0	1000.0	35000	55.79522	11.961497	93.361046	23.527021	-57.15166	1.8719192	339.71467685699463
8	793.965	301.52808	1225.4615	304.17407	459.37802	471.9743	979.91876	-461.32507	1000.0	1000.0	40000	69.871025	11.637259	115.65588	39.32809	-71.05395	1.6889435	392.1188576221466
9	995.5529	125.89739	1135.205	782.49115	1111.6025	438.68484	1500.6543	-110.26762	1000.0	1000.0	45000	84.036575	13.507031	135.78346	38.778038	-85.22164	2.3228958	451.1806125640869
10	490.20416	773.598	1386.9757	-503.11566	-47.138092	492.08188	796.18146	-681.7137	1000.0	1000.0	50000	98.622734	17.786734	157.52156	36.75563	-100.010704	3.026386	505.7733700275421
11	30.2771	556.66943	889.2053	-812.04047	30.785192	669.4035	1722.2858	-576.7266	1000.0	1000.0	55000	116.08857	26.571747	200.52345	31.065931	-117.89693	5.775471	560.1010241508484
12	135.4771	399.50436	927.15796	-118.80325	-186.72409	405.0814	700.4712	-601.40576	1000.0	1000.0	60000	134.07747	32.92028	224.86597	39.05357	-135.77934	5.6833186	615.0842378139496
13	262.1298	647.3529	1194.1241	-498.86496	591.87335	797.3712	1690.4249	-606.8387	1000.0	1000.0	65000	144.95882	42.282104	247.83086	32.267498	-146.68312	7.0017533	671.4310958385468
14	593.76184	655.7141	1538.8555	-381.36478	415.95908	887.10364	2050.8584	-481.71185	1000.0	1000.0	70000	154.6386	50.880356	264.92642	27.770723	-156.33315	8.3783	727.8547215461731
15	1178.1677	755.45844	2101.8147	144.14438	230.1584	741.42615	1561.5922	-691.8731	1000.0	1000.0	75000	164.32271	55.624615	287.63693	35.65379	-166.09116	9.48935	783.9920842647552
16	1108.0167	1142.9546	2097.8767	-501.84998	1606.0792	724.309	2505.2686	222.09657	1000.0	1000.0	80000	177.20111	57.77339	312.05295	36.6661	-179.14087	10.490073	838.5684459209442
17	1860.1432	649.149	2586.91	714.96423	2433.8499	328.00333	2754.8638	1766.9698	1000.0	1000.0	85000	190.41731	62.32004	323.92227	39.87556	-192.4037	11.255651	893.4130218029022
18	2071.0757	829.51794	2608.4128	431.78992	2614.9253	531.7766	3346.0493	1373.9215	1000.0	1000.0	90000	204.06396	69.98785	351.46503	31.440744	-206.07007	12.927071	947.8311629295349
19	1858.8705	1457.3627	3240.8486	-395.17734	3136.8762	291.02304	3573.5796	2676.5146	1000.0	1000.0	95000	219.3265	77.45238	376.35522	22.540022	-221.442	14.346231	1000.6873586177826
20	2924.4922	418.85254	3516.3735	2246.201	2456.0913	1003.8093	3158.6743	295.31326	1000.0	1000.0	100000	233.44907	85.04015	402.96317	19.93756	-235.56723	15.6312	1052.5018858909607
21	1326.7418	1508.6515	3253.449	-192.36426	2037.6453	1294.8704	3430.9412	-572.6889	1000.0	1000.0	105000	246.01208	93.08134	421.5525	12.008528	-248.1484	17.525585	1105.7646260261536
22	1728.8845	1690.6742	3281.4258	-650.407	1864.3971	1464.8284	3295.2131	-109.06063	1000.0	1000.0	110000	254.44511	101.52043	436.71457	14.113059	-256.47235	19.88597	1159.3957579135895
23	2593.9163	1152.205	3437.0063	330.68857	2407.3328	1307.1824	3524.5715	64.182526	1000.0	1000.0	115000	262.3084	110.961914	449.42117	0.34629226	-264.31665	21.532372	1211.9181442260742
24	2762.1458	769.843	3559.617	1629.7881	3194.7893	547.16205	3696.561	1906.5999	1000.0	1000.0	120000	269.13895	118.67357	463.82755	-17.196367	-271.09735	23.23171	1264.6695721149445
25	3282.8157	423.69983	3645.0232	2462.7637	1801.0183	1263.4774	3449.5361	-588.0429	1000.0	1000.0	125000	278.69583	124.71589	471.85016	-14.967468	-280.6999	26.412071	1318.2916407585144
26	2260.268	1266.6372	3601.8887	387.7421	2089.8892	1467.6267	3643.3474	-231.2752	1000.0	1000.0	130000	286.6697	129.68604	482.16388	-22.415522	-288.7596	27.313166	1373.000239610672
27	3613.3289	439.66498	4110.941	2946.6885	3173.0156	742.3528	4005.1445	1311.516	1000.0	1000.0	135000	297.48688	131.90276	495.07224	-14.688928	-299.67145	29.0716	1427.1197836399078
28	3605.7485	395.93027	4337.713	3271.9	2957.768	1504.2739	4127.055	-188.11604	1000.0	1000.0	140000	311.16965	129.63177	510.0792	-24.44439	-313.46835	33.389442	1480.764904975891
29	1570.5085	1413.0095	3995.3438	-224.35686	3856.692	695.3572	4437.802	1965.439	1000.0	1000.0	145000	322.2452	124.723595	522.43634	-2.2492256	-324.56644	32.33946	1535.2676606178284
30	3170.4988	1679.6301	4607.156	-121.23873	3500.0703	722.65344	4476.8374	1784.5314	1000.0	1000.0	150000	331.8726	127.4993	535.67	19.208448	-334.12207	31.8746	1587.8936324119568
31	2633.8606	1487.946	3978.8877	449.74448	3882.627	443.77454	4440.817	2950.9626	1000.0	1000.0	155000	339.2093	134.0654	551.1709	-23.766209	-341.4187	36.480476	1640.708167552948
32	4086.448	523.528	4659.3354	3182.1824	2243.114	1374.6188	4377.917	266.22736	1000.0	1000.0	160000	346.06558	140.74615	556.3194	-97.731804	-348.26596	39.730957	1694.96542429924
