Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-260.85977	54.11074	-204.33392	-357.65063	-545.9141	74.83974	-401.36508	-673.2925	1000.0	1000.0	5000	3.5245094	2.666099	23.130602	-5.278748	-4.1467533	0.268761	49.35505700111389
2	-242.17651	51.268696	-183.85435	-313.2592	-431.3908	113.69883	-306.8692	-645.7254	1000.0	1000.0	10000	28.215315	17.329012	82.97206	-2.9426937	-30.674644	1.3796086	97.1626648902893
3	-525.3135	277.79984	-12.036278	-790.1466	-397.5541	99.39186	-205.70111	-537.32446	1000.0	1000.0	15000	56.25526	18.007868	94.702866	26.484962	-57.27382	1.9227946	149.03247332572937
4	815.65546	586.25336	1659.2502	125.45142	2817.1409	89.26559	2902.6511	2574.782	1000.0	1000.0	20000	57.628765	23.168472	140.38268	23.936762	-58.448643	2.3323598	199.9916877746582
5	312.525	1228.4596	2724.533	-671.1387	914.1447	901.40924	2642.1045	-540.3845	1000.0	1000.0	25000	84.7307	41.123463	189.31276	23.626406	-86.87544	4.4246364	250.78359746932983
6	1895.7083	1172.9678	2964.5728	-239.41135	2914.4907	142.909	3205.5325	2696.6504	1000.0	1000.0	30000	112.78931	52.739845	249.31055	37.79861	-114.381424	5.637704	301.12315225601196
7	2861.5063	368.72562	3141.383	2179.3582	2693.7324	402.80426	3063.2134	1821.2646	1000.0	1000.0	35000	149.19116	71.17867	291.81146	37.676315	-151.22363	8.367998	351.38610458374023
8	3257.8352	68.624756	3392.999	3212.6204	2671.1716	1103.1918	3212.7341	-616.8301	1000.0	1000.0	40000	195.3334	80.96788	324.51108	53.179028	-197.664	9.335669	400.7430491447449
9	3170.5327	87.88769	3273.307	3058.012	3022.9932	182.2188	3374.8381	2748.3247	1000.0	1000.0	45000	237.78691	81.759575	350.61414	81.6364	-239.9744	8.7254715	447.55309319496155
10	3448.4214	179.13008	3590.5269	3110.559	3000.404	581.64355	3352.5728	1290.7562	1000.0	1000.0	50000	270.13425	78.93432	371.28403	109.39426	-272.2938	7.703146	496.10564255714417
11	2750.5378	1001.20386	3754.9211	935.8295	3550.0852	76.159996	3669.045	3428.9294	1000.0	1000.0	55000	293.54074	80.62343	393.3384	136.09782	-295.32535	8.532792	543.4729166030884
12	3583.83	68.7709	3656.91	3497.2722	3535.5098	74.313515	3657.5771	3399.2417	1000.0	1000.0	60000	311.82605	87.63459	412.29477	124.98997	-313.58105	9.141373	591.0820212364197
