Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
17	5081.807	135.12383	5224.007	4878.661	5599.89	79.367516	5762.981	5471.4155	1000.0	1000.0	85000	291.731	83.05681	398.7687	10.818438	291.73105	83.05645	397.06546	9.86005	291.94724	82.27564	393.21625	15.503924	2.8925407	4.2818484	46.211666	-13.0303955	-293.0202	2.885971	2.8942416	4.2884493	735.1375641822815
18	5122.56	129.65613	5297.264	4898.88	5267.2573	929.5139	5729.34	2495.4998	1000.0	1000.0	90000	304.7472	84.60459	408.1804	6.485614	304.7473	84.60255	405.1428	12.687516	304.94507	83.81371	404.29318	17.26965	3.0483608	4.3121915	40.444977	-13.093625	-306.03342	2.8872726	2.9667382	4.333732	778.219799041748
19	5288.585	145.06908	5543.8906	5092.3193	5942.191	91.97972	6059.4795	5771.265	1000.0	1000.0	95000	317.03622	86.029076	419.10272	4.1133394	317.03616	86.02816	421.0776	12.671621	317.22974	85.23259	419.41318	16.784529	3.1365032	4.3470845	36.85396	-13.998465	-318.31094	2.9450312	3.0301144	4.417773	821.6443839073181
20	5328.927	162.38884	5569.4297	5142.6445	5651.888	321.384	5952.672	4741.7886	1000.0	1000.0	100000	328.6401	87.137764	427.8875	14.629581	328.6399	87.13676	427.83292	13.290249	328.79657	86.32558	427.22745	18.716671	3.1884985	4.3524966	50.108364	-14.693539	-329.87634	3.018567	3.086314	4.5004125	864.2431311607361
21	5443.236	101.18622	5530.2407	5318.8486	5852.3906	414.4277	6060.913	4612.9604	1000.0	1000.0	105000	339.33157	87.978424	439.7975	18.010565	339.33173	87.978355	441.75778	15.044237	339.46942	87.1689	439.9271	18.806519	3.2576249	4.380017	38.250607	-13.354221	-340.5403	3.0802765	3.1363206	4.5881157	908.5163331031799
22	5564.356	138.66316	5724.136	5335.754	6139.3613	70.34531	6249.6396	6018.146	1000.0	1000.0	110000	348.8819	88.63406	449.02576	14.205945	348.8817	88.63315	450.4234	15.449945	348.9785	87.82169	446.89902	17.61277	3.3664227	4.3715453	51.25907	-14.041711	-350.0474	3.275284	3.3108964	4.7713466	952.2469544410706
23	4710.3584	1800.6461	5792.7354	1115.8804	5708.3154	100.43069	5892.8315	5550.2666	1000.0	1000.0	115000	356.6889	90.88685	460.9576	2.6246202	356.68906	90.88573	461.17578	8.864055	356.76614	90.08597	460.94012	12.708537	3.3914952	4.3584394	41.243076	-15.81576	-357.8354	3.33765	3.4460108	4.860719	995.7664031982422
24	5731.2827	188.90013	5933.417	5395.4204	6241.379	47.93732	6312.9526	6160.8003	1000.0	1000.0	120000	363.65164	93.79611	466.4215	-8.406207	363.65164	93.79524	469.26346	-7.7378464	363.70337	93.0028	467.83612	0.049774528	3.4043944	4.398957	35.97211	-15.189386	-364.77887	3.4810703	3.5805247	5.094626	1039.7834277153015
25	5826.97	106.71567	5981.4473	5659.7354	6239.9893	62.32296	6349.601	6154.1587	1000.0	1000.0	125000	371.44965	94.24511	474.6387	-15.815376	371.44977	94.24402	475.42078	-12.536422	371.47058	93.44295	471.8986	-18.7299	3.500829	4.42272	47.24756	-12.855482	-372.5568	3.7329519	3.8146923	5.4606256	1084.1918745040894
26	5801.0073	149.63716	5956.4775	5515.0693	5796.6294	1041.6469	6405.7236	2690.9282	1000.0	1000.0	130000	378.94186	94.57228	480.0894	-6.2488317	378.9415	94.57114	480.07352	-2.5691726	378.95193	93.76325	477.69135	4.929997	3.5198445	4.394263	36.873592	-14.928731	-380.014	3.6040719	3.7225664	5.2136383	1128.0130693912506
27	6032.7124	123.95345	6187.1313	5855.7393	6211.454	106.40706	6347.767	6080.0127	1000.0	1000.0	135000	386.48163	94.32565	487.1957	4.1527624	386.48172	94.32459	488.3468	0.5304806	386.4729	93.50423	486.13675	0.8003278	3.59777	4.384908	34.683865	-17.665045	-387.53192	3.7417579	3.7968547	5.409054	1172.5015232563019
28	5949.29	78.619804	6059.493	5823.685	6525.1655	151.61395	6800.8813	6272.5	1000.0	1000.0	140000	393.2576	94.72646	493.54257	3.532786	393.2575	94.72599	494.8852	-8.446714	393.22992	93.90505	493.8202	3.439858	3.6733708	4.409265	38.565586	-14.360712	-394.27603	3.6201282	3.6679866	5.23305	1216.9513292312622
29	6137.7295	118.18921	6323.4277	5972.217	6475.009	168.97232	6789.964	6225.9194	1000.0	1000.0	145000	399.53217	94.779526	508.8325	12.76548	399.53207	94.778275	507.63336	6.7995834	399.47556	93.95899	507.36795	11.201507	3.6771655	4.4194613	40.884	-14.482002	-400.5136	3.4854753	3.577229	5.1397414	1261.8295135498047
30	6062.141	139.6731	6306.8047	5910.431	6497.8623	140.28644	6733.454	6267.8877	1000.0	1000.0	150000	405.95264	94.75858	512.07043	-4.7453947	405.95258	94.75757	512.5006	1.6693816	405.87592	93.936134	509.6679	5.309113	3.7460275	4.4188433	39.669174	-12.384228	-406.9011	3.4299939	3.5024922	5.0581155	1305.101887702942
31	6050.795	61.925636	6103.2915	5964.143	6633.112	127.36183	6848.316	6431.7563	1000.0	1000.0	155000	411.4854	94.774284	516.75214	8.451768	411.48526	94.77357	520.9985	7.2201653	411.39722	93.93691	514.5435	-6.850009	3.7897537	4.444698	44.57831	-11.971037	-412.415	3.552322	3.6200383	5.171083	1349.1962587833405
32	6208.8013	156.86221	6422.2676	6062.8223	6555.4937	124.5741	6731.3784	6367.175	1000.0	1000.0	160000	416.62442	94.55801	522.4081	-0.17075777	416.62448	94.557014	520.0545	-2.1512277	416.5013	93.71297	517.24835	7.531905	3.8034089	4.4104524	39.40551	-11.947498	-417.51398	3.5101414	3.5953734	5.147839	1394.3112959861755
33	6092.977	157.08865	6267.7993	5849.473	6864.0054	106.992645	7021.692	6642.427	1000.0	1000.0	165000	422.2048	93.8713	526.1033	0.2447114	422.20532	93.869934	526.6356	9.8265505	422.07916	93.02869	523.0823	-5.193302	3.8853967	4.4466243	43.299053	-13.8940525	-423.0875	3.6634707	3.6859403	5.2892423	1438.2225561141968
34	6263.086	141.88412	6518.9316	6092.9585	6819.0522	146.7641	7037.2607	6625.173	1000.0	1000.0	170000	426.8659	94.00618	533.249	10.511312	426.8655	94.00527	532.20306	8.25654	426.71725	93.15584	530.59155	8.408991	3.888639	4.432058	38.5567	-14.150417	-427.7127	3.5295203	3.651022	5.149517	1483.961515903473
35	6362.1274	199.85751	6609.7056	6018.495	6963.6665	119.38887	7121.6826	6753.633	1000.0	1000.0	175000	431.48706	93.97024	536.21875	-5.540124	431.48718	93.96911	535.30145	-6.9562793	431.3215	93.13929	537.29407	-0.35364962	3.876172	4.4351153	44.40264	-14.615961	-432.3133	3.7483516	3.7730005	5.431839	1528.4962470531464
36	6429.374	118.017166	6566.0493	6232.7773	6996.2725	91.78253	7134.97	6824.267	1000.0	1000.0	180000	435.90768	93.76115	538.78674	-8.244633	435.90762	93.75994	541.15106	-8.368553	435.7463	92.91786	539.49286	1.2427399	3.9857237	4.4790797	51.404446	-13.019747	-436.7509	3.6977804	3.7859015	5.3187265	1574.436960697174
37	5918.514	1216.4799	6636.2446	3490.208	7050.186	112.65322	7215.287	6838.3853	1000.0	1000.0	185000	440.38223	94.1126	543.92084	-51.466026	440.3821	94.11231	544.13007	-77.56386	440.1853	93.27936	543.06244	-52.456024	4.032859	4.502377	45.968014	-14.8953705	-441.20114	3.8907132	3.983561	5.5041265	1620.322116613388
38	6551.6704	145.13373	6697.4346	6305.344	7043.724	115.08908	7260.6177	6880.841	1000.0	1000.0	190000	443.43008	96.11084	552.35364	-66.94366	443.43036	96.107124	550.1049	-73.05314	443.2226	95.291855	551.66534	-94.17258	4.041694	4.500516	44.968334	-16.717607	-444.2449	3.9384403	4.0942354	5.691362	1665.4931123256683
39	6534.7886	186.37498	6884.1963	6339.5835	6501.5996	150.45244	6738.7334	6260.484	1000.0	1000.0	195000	448.14633	95.45609	565.5357	-63.82062	448.14667	95.45375	565.84247	-81.03398	447.93015	94.63556	563.86053	-67.62763	4.1285553	4.505014	52.063583	-12.75113	-448.9433	4.0278087	4.076747	5.5659833	1711.4036631584167
40	6627.94	218.45576	6746.319	6191.373	7198.997	86.75303	7389.6943	7097.068	1000.0	1000.0	200000	452.0753	96.04852	566.98096	-37.78074	452.0756	96.04677	568.5337	-56.141182	451.8481	95.2365	570.9361	-33.10639	4.163232	4.5227304	54.699997	-14.478218	-452.858	4.015276	4.063067	5.625423	1757.69060587883
41	6566.007	79.70757	6709.368	6468.722	7350.9873	117.09495	7532.189	7125.868	1000.0	1000.0	205000	456.2705	96.12694	569.5808	-30.633604	456.271	96.12409	570.694	-36.45623	456.02948	95.30689	572.8612	-40.11386	4.180247	4.532999	48.98459	-16.211609	-457.04355	3.962403	4.048656	5.558261	1803.5485706329346
