Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-39.66446	55.872757	25.352993	-297.2622	-1354.8107	1262.6559	-86.03171	-2991.0833	118.21429	470.1	5000	24.033115	29.341011	147.98604	-26.131979	-29.497986	3.2372603	52.0427622795105
2	-23.585705	33.704163	46.811985	-152.17287	-1278.5392	1395.6288	-44.149834	-3002.4216	82.03278	427.7	10000	513.5808	338.3361	1463.9142	-280.2478	-573.1028	670.46515	104.60277009010315
3	-645.7366	980.4352	-20.565952	-2746.655	-368.01178	888.20844	-23.783304	-3030.6223	243.38889	122.2	15000	2071.4377	511.5526	3222.5261	-1253.5331	-2182.8545	5570.216	151.27658343315125
4	-599.6858	972.70776	-19.522385	-2774.4868	-669.59515	1140.2719	-42.326996	-2980.9553	220.88	228.3	20000	2937.325	418.35538	3750.2578	-2590.2573	-3006.242	8909.489	208.7002489566803
5	-280.52283	635.2954	-23.748602	-2719.5156	-106.45229	78.406944	-35.756615	-288.3996	106.52381	40.2	25000	3087.1292	392.1074	3868.159	-2551.305	-3144.0586	11880.707	255.12227058410645
6	-796.32965	1122.1482	-27.714903	-2614.6328	-418.84366	833.38916	-27.94582	-2868.7527	309.3889	150.9	30000	3076.6375	337.03867	3728.3838	-1982.4594	-3130.3035	11958.236	311.2741858959198
7	-203.67296	499.12128	-10.256622	-2495.5198	-344.56708	724.7017	-27.8289	-2507.1414	83.4898	134.9	35000	3052.708	316.35748	3581.912	-2190.83	-3105.9856	13512.265	355.94828510284424
8	-509.81934	807.2986	-10.681228	-2269.2424	-56.36161	30.577787	-19.131096	-116.096275	251.18182	40.5	40000	3070.1494	307.53793	3589.9883	-2275.4116	-3125.5193	11367.656	410.6915853023529
9	-208.47997	520.23785	-8.5163965	-2236.09	-373.52487	636.15857	-35.63995	-2193.1108	109.108696	158.1	45000	3102.135	305.44678	3620.8955	-1765.6611	-3155.0347	12340.395	463.34717178344727
10	-293.45264	650.1642	-17.511795	-2294.9807	-71.55636	50.529766	-28.343649	-203.98079	139.20512	41.7	50000	3069.6184	305.05664	3618.5647	-1989.8903	-3120.1772	10269.607	517.7379238605499
11	-345.81537	683.3059	2.4920757	-2249.6753	-299.502	596.7914	-29.56379	-2084.2473	163.28572	128.3	55000	2984.9832	305.87045	3562.9558	-1681.755	-3031.72	11423.433	565.7681567668915
12	-326.5758	612.0066	-8.131075	-2306.4927	-620.6832	971.7246	-21.62222	-2576.1006	156.6129	252.3	60000	2861.2212	292.51016	3334.0688	-1754.4214	-2904.7017	8756.253	618.1869564056396
13	-632.291	873.7094	-20.345106	-2397.6204	-363.93655	762.2035	-19.386013	-2611.9504	277.75	147.2	65000	2683.1096	277.82742	3226.273	-4403.7114	-2721.5706	7768.546	675.5754942893982
14	-208.16747	398.95285	-7.0347047	-2415.1892	-363.64087	776.5985	-11.899552	-2646.4675	100.891304	152.1	70000	2466.9277	258.17886	3049.2427	-1482.9619	-2500.7227	7174.3433	725.8013033866882
15	-932.99664	1087.3934	-24.144281	-2471.595	-381.38797	753.85254	-35.1993	-2596.1182	402.18182	152.6	75000	2256.8328	235.15181	2756.9883	-2232.2517	-2286.362	5415.66	774.3155126571655
16	-269.24844	508.2418	-4.2588973	-2416.0942	-128.66364	60.175793	-32.67223	-216.66124	128.47826	65.8	80000	2004.4609	222.0539	2585.4736	-1207.5255	-2029.3787	4326.153	833.7350587844849
