Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-290.8031	37.039734	-243.87619	-348.42566	-593.164	9.909678	-569.1842	-608.2347	1000.0	1000.0	5000	9.641926	10.319726	49.64915	-5.7801986	-11.4832115	0.5416862	59.48196792602539
2	-261.1153	89.51857	-144.9318	-416.63248	-1558.6833	62.393246	-1490.4536	-1691.9783	1000.0	1000.0	10000	92.274605	37.983284	184.6311	11.350853	-98.80007	4.3106933	119.14671063423157
3	-699.11786	300.3006	-491.24857	-1291.995	226.32841	64.84159	342.0337	138.18295	1000.0	1000.0	15000	194.45741	19.873137	267.7827	117.90387	-199.16142	10.120005	182.3274004459381
4	-60.65269	263.3399	184.72687	-542.22516	68.71171	406.03137	462.97778	-683.0955	1000.0	1000.0	20000	215.20581	12.895795	253.87816	164.07423	-216.91824	7.006951	245.7078402042389
5	-246.4362	383.70563	437.94183	-730.704	-246.8289	455.81027	437.1799	-867.66595	1000.0	1000.0	25000	206.1242	10.1005535	286.7085	150.66574	-208.64845	6.1802073	309.1346175670624
6	-316.3464	148.28822	-141.31953	-488.37534	-517.0294	71.5842	-372.58917	-644.2061	1000.0	1000.0	30000	214.64052	9.427469	247.16373	169.98044	-217.12935	6.0383377	372.5406177043915
7	-37.506126	398.54898	644.67236	-426.83606	381.8017	459.68082	838.9891	-486.8606	1000.0	1000.0	35000	201.58304	14.16246	243.17426	154.65425	-202.94913	3.9492059	434.1228232383728
8	1058.1664	374.65164	1537.0249	502.37912	1256.5055	565.2022	1611.8286	-409.3365	1000.0	1000.0	40000	180.45708	16.562717	226.6669	131.9894	-181.66138	3.9478152	495.54504227638245
9	547.0063	837.45123	1526.6716	-806.8462	846.9344	1026.1415	2070.948	-575.2652	1000.0	1000.0	45000	168.10669	22.470451	221.1233	100.5541	-169.33417	4.87942	557.1519272327423
10	1655.2849	764.7618	2438.6255	236.23149	2961.4023	95.771194	3123.006	2796.208	1000.0	1000.0	50000	161.9369	33.200695	236.2086	76.70162	-163.27692	6.3911357	619.2933163642883
