Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-914.6837	219.19809	-563.6209	-1111.5713	1000.0	0.048094943	0.5891762	1.8105805	-1.5915463	4000	1.8501282e-07	8249.473	-0.08385724	-1073.3633	5.5853953	0.010090608	0.38325	79.0	5.6563239097595215
1	-720.08325	189.4802	-541.38885	-1036.9115	1000.0	-0.08809015	6.847654	13.027633	-13.380626	8000	-3.4689904e-08	4855.663	-0.05253191	-1906.781	5.51	0.01599787	0.277	24.0	9.932219982147217
2	-765.4025	200.79314	-561.53577	-1073.0427	1000.0	-16.337168	7.30252	19.240452	-21.093113	12000	7.8678134e-08	3562.006	-0.016735425	-1080.2864	5.4663486	0.015251086	0.23525	5.0	14.188460111618042
3	-662.437	45.873997	-610.22266	-720.647	1000.0	-28.005281	1.4573135	5.6405115	-28.59248	16000	7.402897e-08	1562.183	-0.07751558	-260.49963	5.4362793	0.012638305	0.38175	79.0	19.01449489593506
4	-711.24896	62.050663	-624.1444	-778.2184	1000.0	-32.84801	0.61671346	-13.291585	-33.184895	20000	1.8417834e-08	1811.089	-0.018399272	-318.99792	5.4405117	0.014886918	0.20875	6.0	23.391746759414673
5	-795.3665	157.30255	-607.06256	-1024.5668	1000.0	-38.082382	0.33108598	-29.812298	-38.231174	24000	6.3300135e-08	2498.745	-0.017602488	-331.67065	5.3811965	0.01728627	0.2335	6.0	28.153011560440063
6	-724.2144	169.87381	-526.22705	-956.77637	1000.0	-43.323334	0.23138152	-39.726875	-43.46345	28000	4.2915346e-08	1390.3822	-0.07329289	-129.41199	5.408739	0.0149656525	0.35175	62.0	32.775294065475464
7	-562.9169	28.391853	-515.09283	-586.6981	1000.0	-46.77656	0.3540513	-39.032875	-46.907692	32000	-1.1920929e-08	452.59595	-0.015962549	-7.001709	5.377463	0.0177256	0.21225	5.0	37.19243144989014
8	-514.24414	63.39199	-440.19247	-613.10077	1000.0	-47.392597	1.2480664	-17.210228	-47.60093	36000	2.861023e-09	224.35759	-0.017677741	-1.6962128	5.390617	0.014763887	0.2435	5.0	41.438127517700195
9	-531.0903	89.99754	-443.504	-653.91187	1000.0	-46.851936	3.0805361	36.877293	-47.52016	40000	-2.193451e-08	588.7382	-0.017270276	-21.755493	5.361292	0.016121441	0.186	6.0	45.473881006240845
