Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	-646.71735	61.592182	-582.7485	-736.8793	1000.0	0.03860951	0.4490755	1.8305471	-1.3658315	4000	-1.309514e-07	3685.5786	-0.05702157	-798.4717	0.008950458	0.0	5.417280673980713
1	-610.1402	66.98781	-525.6219	-713.25	1000.0	-3.5497582	5.152551	13.715949	-13.621919	8000	-8.3684924e-08	3168.7944	-0.060369823	-1513.9332	0.008797711	0.0	9.983855247497559
2	-590.95044	63.04057	-534.12286	-696.92145	1000.0	-21.031336	1.5031052	-1.0067195	-22.495712	12000	-2.4795533e-08	1478.1024	-0.055111405	-441.30713	0.0088181	0.0	14.73322343826294
3	-577.50854	57.45602	-526.5997	-671.8184	1000.0	-28.916157	0.46666014	-20.292263	-29.28741	16000	-5.0008296e-08	1047.0385	-0.05989008	-224.43	0.008832737	0.0	19.29660153388977
4	-655.5676	25.697573	-627.659	-687.8893	1000.0	-34.192028	0.17324361	-31.75424	-34.342102	20000	5.0544738e-08	1105.3027	-0.059718184	-255.69836	0.0089608105	0.0	24.025901317596436
5	-597.17267	34.838127	-565.9695	-655.9027	1000.0	-39.57421	0.16007297	-36.634827	-39.69564	24000	2.360344e-08	766.6356	-0.059915528	-81.225586	0.009008074	0.0	28.576869249343872
6	-620.79584	88.93034	-485.93536	-735.88495	1000.0	-42.736313	0.4151008	-29.301765	-42.926704	28000	-5.4836273e-09	595.0449	-0.06022716	-58.027405	0.0088397	0.0	33.55466437339783
7	-527.9938	63.332806	-437.2843	-592.76685	1000.0	-45.447144	0.37750793	-38.662193	-45.609474	32000	-2.9802322e-08	617.56464	-0.05889042	-54.614502	0.008908263	0.0	38.05757260322571
8	-583.52527	98.01067	-497.2596	-750.11835	1000.0	-42.846455	5.5169454	11.319806	-46.22821	36000	1.9311905e-08	479.39496	-0.062020183	-57.83264	0.008874487	0.0	42.60152268409729
9	-511.60632	122.15393	-357.0718	-678.6529	1000.0	-46.571205	3.5019906	11.428149	-47.786514	40000	-1.29342075e-08	601.5724	-0.059528377	-82.39563	0.008984009	0.0	47.38747310638428
10	-457.7775	169.35275	-198.52669	-644.66296	1000.0	-39.456863	10.4513855	41.82356	-48.256767	44000	2.026558e-08	593.9645	-0.05956966	-114.596405	0.009013003	0.0	52.33912205696106
11	-414.18597	51.49587	-350.53638	-480.65317	1000.0	-39.23309	9.909217	28.171318	-48.44675	48000	-1.9192695e-08	361.05893	-0.057789754	-56.805573	0.008950197	0.0	56.724148988723755
12	-622.58997	91.109505	-514.234	-761.2478	1000.0	-41.413723	6.616375	-5.4565163	-48.16678	52000	-2.8133393e-08	668.6544	-0.059054323	-158.58984	0.008872624	0.0	61.31469988822937
13	-539.35284	93.74403	-412.86423	-666.3949	1000.0	-47.006912	6.263801	29.743317	-51.121902	56000	-3.5762786e-09	598.5895	-0.05818623	-44.499573	0.008964935	0.0	65.80192518234253
14	-539.8736	132.24498	-341.09125	-690.1545	1000.0	-44.753803	14.202745	39.07661	-52.349243	60000	-1.5974045e-08	673.6149	-0.059090797	-289.85745	0.008781464	0.0	70.22038698196411
15	-479.1612	100.97492	-375.67267	-623.64557	1000.0	-45.599125	7.836636	4.524938	-53.050594	64000	-1.7881393e-09	506.75067	-0.057755966	-62.664032	0.008930891	0.0	74.65958833694458
16	-491.2118	38.496834	-445.51328	-537.2807	1000.0	-42.217915	8.094299	-0.61708355	-53.35092	68000	1.680851e-08	295.10608	-0.057665065	-36.218445	0.008873137	0.0	79.180419921875
17	-450.41736	143.29369	-222.63683	-610.2479	1000.0	-44.234444	8.1205225	0.3189262	-53.545578	72000	1.1920929e-09	499.89102	-0.058603946	-71.88403	0.008945629	0.0	83.87635660171509
18	-312.9786	82.21985	-206.11368	-409.8643	1000.0	-34.62715	9.9695835	17.547802	-53.876907	76000	2.0980835e-08	477.02188	-0.056142095	-107.415955	0.008965685	0.0	88.33310341835022
19	-434.601	53.105156	-382.8266	-521.3142	1000.0	-30.067192	11.438102	23.432823	-53.80458	80000	4.7683715e-09	555.561	-0.059732288	-177.82129	0.00899939	0.0	93.10926008224487
20	-366.3915	71.33032	-289.96985	-474.26498	1000.0	-39.79932	8.937715	26.63256	-53.710045	84000	2.861023e-09	403.0937	-0.059812482	-86.689514	0.008960564	0.0	97.9398193359375
21	-360.24948	109.00981	-221.62547	-527.10266	1000.0	-34.5255	9.382688	5.431894	-53.316338	88000	-8.46386e-09	431.12125	-0.061499763	-70.663025	0.008973	0.0	102.3724856376648
22	-457.7375	166.32318	-303.07526	-734.6031	1000.0	-22.51276	20.4177	46.002495	-52.97639	92000	2.9087067e-08	1757.7168	-0.05693296	-1207.8154	0.0090409415	0.0	106.91789150238037
23	-384.9651	90.401245	-265.00702	-495.01978	1000.0	-34.611965	10.504918	15.299614	-54.65627	96000	-6.198883e-09	423.9656	-0.059153695	-72.56467	0.0089760395	0.0	111.7536268234253
24	-530.4037	294.96237	-22.110765	-736.5819	1000.0	-35.474297	14.004955	31.389048	-54.580166	100000	8.34465e-09	1172.6152	-0.06043181	-551.42896	0.008956892	0.0	116.60326337814331
25	-425.7641	213.1654	-165.97636	-723.0885	1000.0	-38.486458	19.80586	27.732178	-57.843697	104000	1.9550324e-08	636.79425	-0.06018973	-187.99155	0.008908194	0.0	121.30419158935547
26	-534.644	218.69128	-327.68985	-887.49176	1000.0	-35.389946	17.881775	29.074696	-59.828045	108000	-1.0490417e-08	984.25134	-0.05772846	-292.4843	0.008880812	0.0	125.75782895088196
27	-348.5178	73.11291	-269.41583	-462.40698	1000.0	-40.134647	15.294067	27.903975	-61.463085	112000	-2.2888184e-08	554.0337	-0.058924332	-196.5632	0.0089683095	0.0	130.66710591316223
28	-510.99588	185.03342	-309.5339	-780.13586	1000.0	-42.447685	16.899342	10.748306	-60.958122	116000	7.1525574e-10	526.31494	-0.06192991	-70.985565	0.009007087	0.0	134.84253001213074
