Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-268.92792	67.43359	-158.47865	-356.16287	-606.9151	0.5039688	-606.16077	-607.6731	1000.0	1000.0	5000	1.4663334	2.5907125	16.616175	-6.4207673	1.4660532	2.5907857	16.130686	-6.827514	-2.379314	0.38270086	42.16262602806091
2	-256.92618	67.108	-200.17455	-374.99808	-555.7264	15.356135	-531.25464	-582.75665	1000.0	1000.0	10000	8.175028	5.755805	28.747036	-15.338294	8.174901	5.7556815	29.121696	-15.084138	-9.914145	0.79326415	83.99799299240112
3	-246.67859	420.86417	586.1874	-524.5919	496.44458	494.9161	1268.0016	-496.06494	1000.0	1000.0	15000	12.286882	7.87602	44.105427	-7.1058664	12.286988	7.8755193	44.34889	-7.9534416	-13.628688	1.3922397	127.88430857658386
4	348.24768	415.7936	945.4815	-220.62323	793.81287	523.24854	1165.2795	-649.1498	1000.0	1000.0	20000	16.241611	11.094759	54.215225	-8.401168	16.24151	11.093756	53.981144	-9.316707	-17.620104	2.1462255	171.15327525138855
5	334.12515	831.8317	1138.0889	-847.5549	207.23242	558.8009	1078.866	-443.13312	1000.0	1000.0	25000	22.507782	15.89924	64.70607	-12.423458	22.50772	15.898803	64.63367	-12.435469	-24.037306	3.3660116	214.69965744018555
6	287.7896	803.9504	1488.4489	-628.0816	1189.5695	622.2024	1905.767	89.43365	1000.0	1000.0	30000	26.60613	22.287073	79.79808	-22.804615	26.60636	22.286602	80.674965	-21.086815	-28.29414	4.210293	259.20855498313904
7	1781.3783	427.76523	2156.8484	954.0752	1738.624	932.7563	2525.4294	168.31075	1000.0	1000.0	35000	35.07312	28.646156	108.79429	-22.758408	35.073086	28.645296	109.78834	-23.204145	-36.6936	5.0338416	302.25384497642517
8	2225.6719	475.1378	2698.2205	1334.0947	2497.5295	406.75253	2856.6335	1508.2618	1000.0	1000.0	40000	48.031994	35.30737	128.20529	-25.87132	48.031834	35.306747	130.49742	-27.133976	-49.773212	6.8390975	345.26768040657043
9	2941.7883	207.90753	3139.2222	2673.5596	3281.7239	134.51666	3451.6843	3037.948	1000.0	1000.0	45000	63.32927	43.340023	163.37567	-26.343466	63.32885	43.33898	163.24411	-25.408188	-65.19623	9.655349	387.8199725151062
10	3270.6655	171.47807	3547.2507	3088.1982	3313.2046	405.94492	3717.0803	2158.3428	1000.0	1000.0	50000	81.37563	50.98162	188.27693	-29.039875	81.37564	50.980587	190.64145	-26.991127	-83.63193	11.749881	430.2041027545929
11	3385.7024	313.40308	3849.2468	2977.333	3838.6138	103.70297	3971.9275	3631.3284	1000.0	1000.0	55000	99.97803	57.31771	211.51569	-27.353506	99.977806	57.317276	210.97041	-26.122688	-102.37234	14.506934	473.15446639060974
12	3525.3328	195.71889	3710.3333	3168.445	4074.9673	140.21335	4274.728	3845.5994	1000.0	1000.0	60000	118.786995	62.780655	230.9022	-25.37146	118.787056	62.779526	231.19211	-23.907143	-121.41792	16.873453	515.3701219558716
13	4018.8774	80.21442	4147.5454	3911.3079	4047.3281	1184.18	4758.7153	524.07513	1000.0	1000.0	65000	137.39255	68.14811	249.3389	-28.072453	137.3924	68.146805	250.81769	-24.729046	-140.06082	18.583654	558.4838569164276
14	4227.952	161.99493	4519.611	4025.6904	4668.396	125.58501	4849.373	4409.216	1000.0	1000.0	70000	156.0711	73.28504	279.81335	-24.844332	156.07097	73.284195	280.79767	-25.250051	-158.874	20.291624	601.4472501277924
15	4523.1377	87.97547	4643.0806	4385.5186	4512.1943	741.1935	5094.2134	2338.0247	1000.0	1000.0	75000	174.4332	77.77969	299.5716	-23.892996	174.43306	77.77878	299.04095	-24.987337	-177.26845	22.408278	643.3343465328217
16	4697.1436	230.14423	5040.251	4372.9375	4952.8267	204.41855	5295.3823	4616.8335	1000.0	1000.0	80000	192.74477	81.79738	322.25867	-24.058483	192.74474	81.7969	323.5363	-21.29542	-195.71248	23.854397	685.039698600769
17	4676.155	269.97076	5174.9272	4370.2915	5128.053	120.26922	5318.3486	4952.0557	1000.0	1000.0	85000	210.39828	85.60451	346.30472	-25.627085	210.39803	85.60349	344.7669	-25.10184	-213.38396	25.15526	728.2171671390533
18	4925.2197	86.07835	5033.6	4783.213	5090.3096	226.18224	5528.226	4597.622	1000.0	1000.0	90000	226.87918	88.90754	359.86325	-19.096764	226.87909	88.90729	362.62958	-20.797003	-229.8632	26.196138	771.3713116645813
19	3990.2383	1615.5988	4912.4556	761.59955	5021.327	608.3978	5458.065	3255.4724	1000.0	1000.0	95000	242.2835	92.239815	386.32526	-36.193436	242.28336	92.23981	388.3301	-38.067562	-245.42862	27.887575	814.7924423217773
20	3972.0688	1999.6841	5135.764	-21.312296	4970.7095	1331.8734	5718.4277	1028.237	1000.0	1000.0	100000	252.55742	99.248314	397.46902	-65.00855	252.55768	99.24695	398.58328	-80.64432	-255.21245	30.257944	857.8073921203613
21	4499.9536	1286.2472	5221.718	1929.4269	5588.122	149.50174	5876.97	5441.412	1000.0	1000.0	105000	263.7988	105.68832	409.03293	-90.924644	263.79877	105.68828	408.7292	-98.04109	-266.42032	32.630936	899.9515149593353
22	5088.444	569.50555	5523.912	3971.3381	5426.538	112.10741	5669.9814	5247.228	1000.0	1000.0	110000	274.30856	111.23393	422.75757	-93.90912	274.30908	111.23263	424.09277	-90.38373	-277.33926	34.129448	942.7143356800079
23	4439.802	1396.5333	5433.0938	1698.642	5808.424	99.65308	5964.432	5661.761	1000.0	1000.0	115000	284.1992	115.97988	431.1411	-117.111465	284.19913	115.97831	431.38828	-110.62002	-287.16565	37.24951	986.1969485282898
24	5408.5503	90.64537	5510.883	5240.7666	5749.66	89.92832	5870.092	5623.5938	1000.0	1000.0	120000	293.6917	119.924225	440.09366	-101.54644	293.69144	119.9245	440.23523	-103.23124	-296.31656	39.42873	1029.6875109672546
25	5424.8794	133.81027	5639.0137	5225.5693	5607.71	1083.1711	6124.2134	2378.1582	1000.0	1000.0	125000	304.1557	122.16762	448.4003	-103.697365	304.15552	122.166916	448.8971	-97.189476	-307.0704	39.133488	1073.5811338424683
26	5586.3813	110.11866	5744.743	5412.8584	5822.098	140.08426	6091.94	5591.46	1000.0	1000.0	130000	314.45282	123.64292	454.65454	-90.50707	314.45312	123.642334	456.3623	-92.1793	-317.03476	37.264523	1116.1009211540222
27	5665.2466	87.613106	5801.513	5553.9766	6061.112	69.077354	6135.2334	5891.288	1000.0	1000.0	135000	324.71146	124.85127	466.69385	-81.80083	324.71133	124.85133	464.26163	-91.4873	-327.3094	37.17905	1158.497050523758
28	5659.03	125.712074	5856.496	5493.746	5967.184	65.42505	6084.8823	5856.832	1000.0	1000.0	140000	333.93607	126.14407	472.54977	-89.833694	333.93607	126.14416	470.5502	-99.705956	-336.43573	36.40732	1200.8787734508514
29	5719.8013	124.83428	5838.6685	5479.976	6310.5703	123.02734	6521.491	6122.1216	1000.0	1000.0	145000	343.01035	126.84295	479.4376	-89.21089	343.01035	126.84207	477.9308	-95.563	-345.58884	36.319187	1244.4916055202484
30	5831.1196	171.89981	6091.334	5601.887	5822.7197	1406.9105	6526.656	1627.834	1000.0	1000.0	150000	351.05048	128.77188	484.9594	-101.80303	351.0502	128.77182	485.96683	-119.85405	-353.91455	36.640255	1288.4007880687714
31	5839.62	152.70486	6061.836	5636.9155	6478.1377	180.3576	6707.7266	6128.3447	1000.0	1000.0	155000	359.86722	129.23537	497.78888	-110.352554	359.86697	129.23482	498.29492	-106.92138	-362.46405	36.241013	1331.9657127857208
32	5964.8555	76.99606	6061.8594	5890.3027	6641.7983	80.02249	6797.8643	6496.7847	1000.0	1000.0	160000	367.81332	130.16302	507.2592	-115.57835	367.81345	130.16298	508.4577	-115.01858	-370.53265	35.744244	1374.7911665439606
33	5904.744	250.09953	6286.706	5620.2	6487.2393	154.35518	6750.9653	6282.2964	1000.0	1000.0	165000	375.70502	130.68875	517.3554	-125.67107	375.7047	130.68837	518.13947	-127.01483	-378.23126	35.182556	1418.9371416568756
34	6047.4243	149.84035	6202.745	5777.2397	6718.204	65.32733	6819.613	6569.9326	1000.0	1000.0	170000	383.01846	131.15266	521.647	-133.67528	383.01825	131.15356	522.7212	-121.77277	-385.53336	36.379257	1463.198258638382
35	6171.2783	100.87195	6297.198	6022.7393	6725.337	110.31552	6899.0264	6530.202	1000.0	1000.0	175000	390.2892	131.50363	527.4878	-103.38205	390.28958	131.50293	527.8726	-108.73715	-392.6519	35.506187	1508.3656070232391
36	6105.9556	118.7216	6291.244	5926.585	6729.1865	93.81426	6863.857	6557.257	1000.0	1000.0	180000	397.28168	132.25896	532.0976	-105.310905	397.28177	132.25833	533.3363	-98.04293	-399.70892	35.346043	1553.7432701587677
37	6231.837	170.8897	6438.026	5930.063	6617.2383	128.11478	6814.898	6414.6416	1000.0	1000.0	185000	403.987	132.71095	537.8453	-138.5875	403.98682	132.7108	538.2913	-126.95885	-406.58124	35.981705	1598.5184400081635
38	6215.5117	118.429596	6361.0522	6074.8394	6823.927	147.73555	7085.5093	6620.5557	1000.0	1000.0	190000	410.33087	133.6588	541.9898	-113.10619	410.33087	133.65837	541.51074	-117.1947	-412.8496	35.20999	1643.317191362381
39	6355.2803	102.71554	6524.2495	6228.989	6944.6025	67.89619	7106.32	6825.0244	1000.0	1000.0	195000	416.59567	133.79063	546.8709	-132.8639	416.59576	133.79051	548.36444	-133.6972	-419.29535	35.876987	1687.703305721283
40	6347.792	159.16255	6472.4395	6042.966	6844.79	156.82501	7082.859	6616.0537	1000.0	1000.0	200000	422.7644	133.87003	551.419	-111.075966	422.7648	133.86887	554.4349	-113.974815	-425.401	35.79257	1732.7840738296509
41	6401.217	74.81323	6497.924	6280.705	6487.6724	56.42274	6582.4736	6404.289	1000.0	1000.0	205000	428.88278	133.98969	558.1586	-110.071106	428.88275	133.98947	561.3557	-114.19957	-431.1833	35.502007	1777.5676438808441
42	6387.2017	129.16582	6610.343	6236.76	6957.3813	159.19148	7141.859	6630.3403	1000.0	1000.0	210000	434.88376	134.23804	563.19147	-148.02136	434.8831	134.23851	563.8455	-130.79617	-437.0737	35.569683	1822.393214225769
43	6408.8784	33.637318	6456.361	6356.085	6867.389	103.235916	7013.7485	6685.962	1000.0	1000.0	215000	440.33737	133.67856	569.3644	-114.9719	440.33746	133.67825	568.5635	-107.74697	-442.529	35.81026	1867.1807556152344
