Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
1	-296.1957	86.9816	-177.8451	-397.23883	-42.322865	6.501068	-31.282824	-51.45034	1000.0	1000.0	5000	5.8231387	4.6221876	30.595842	-3.727156	5.8232174	4.622316	30.475508	-3.548014	6.685382	4.74349	32.57847	-9.681	-2.5185041	2.3978846	63.84025	-14.193746	-6.918704	0.11462484	0.11538666	0.2317845	39.91137742996216
2	-317.28726	62.923786	-220.65578	-417.81073	-268.34058	55.62198	-190.62094	-380.5405	1000.0	1000.0	10000	24.16211	11.500819	70.44806	1.1399046	24.161913	11.500718	70.74494	1.087678	25.74659	12.003993	77.53546	2.7495327	0.08054198	3.6754391	28.01757	-16.213436	-26.41095	0.34304997	0.35167906	0.70952034	79.19076538085938
3	94.230446	393.11722	649.6704	-470.24872	1122.5581	29.729149	1167.3645	1073.8591	1000.0	1000.0	15000	41.384495	14.903091	81.61232	13.068546	41.384678	14.903044	82.36423	13.025911	42.23827	14.99124	81.84412	14.766766	-1.1516664	2.9864573	33.50341	-14.788938	-42.987514	0.48527303	0.48883507	0.91848254	122.5005955696106
4	994.1041	166.06242	1268.3381	798.7942	2350.3423	114.4597	2591.956	2151.3076	1000.0	1000.0	20000	48.00175	16.333347	90.8876	17.430965	48.00201	16.3335	89.4185	17.765007	48.593056	16.155846	88.45202	19.006577	-1.5771625	2.6275585	25.431168	-15.127386	-49.23035	0.44126064	0.430692	0.75415695	165.55184483528137
5	1893.1019	240.9104	2268.349	1673.9875	2669.7712	225.83272	3039.4402	2304.6077	1000.0	1000.0	25000	59.241856	20.809977	119.653854	20.746262	59.241745	20.809538	120.75807	21.176996	59.825462	20.516315	120.13403	22.37804	-0.90416515	2.9165244	26.796122	-13.909939	-60.510292	0.6190263	0.63380766	0.99537754	208.9587960243225
6	2709.603	295.0649	3213.0178	2400.2205	3104.7654	857.9086	3478.2148	550.19586	1000.0	1000.0	30000	77.98863	29.808048	159.77896	22.99442	77.98892	29.808136	160.32231	23.384842	78.62456	29.39435	160.04811	23.99173	0.1122783	3.3843915	29.003124	-16.916294	-79.45385	1.090794	1.1016519	1.5963913	251.54427337646484
7	2570.0913	1006.6855	3126.2468	558.0475	3833.5918	180.08708	4068.8718	3486.771	1000.0	1000.0	35000	101.809135	39.43978	188.67146	23.971268	101.80944	39.439896	189.51321	24.100243	102.45339	38.911877	189.6425	24.956135	0.9122962	3.6818485	32.474632	-13.822794	-103.40208	1.5418358	1.5382812	2.2018707	293.9897515773773
8	3536.2976	99.54452	3665.1487	3382.5403	4155.427	114.546715	4354.6216	3964.9866	1000.0	1000.0	40000	124.385994	48.718475	218.53606	24.187302	124.38605	48.718143	219.43443	24.540766	124.97227	48.152058	215.59503	25.496248	1.3943282	3.9270973	34.023346	-13.909748	-126.0136	1.891518	1.9016494	2.7071924	336.686963558197
9	3663.177	212.61563	3852.373	3282.2905	4221.0796	280.8281	4503.2163	3575.8132	1000.0	1000.0	45000	148.39386	55.651325	244.73445	24.133017	148.39415	55.651047	243.60362	22.380495	148.90175	55.02299	244.7968	24.970251	1.7384211	4.027799	33.47459	-12.944885	-149.99268	2.1301708	2.122826	2.9645698	379.4915041923523
10	4036.4194	193.81348	4257.1963	3820.709	4721.691	74.94827	4847.982	4589.129	1000.0	1000.0	50000	170.9729	61.11602	275.58588	24.483955	170.97342	61.11606	276.11346	23.8605	171.4088	60.454823	274.73727	25.18784	2.0603306	4.132642	32.52506	-14.988218	-172.5299	2.3963144	2.371946	3.2900574	422.8073766231537
11	4288.7803	144.4289	4467.9497	4061.3086	4903.5576	78.59939	5008.29	4762.2383	1000.0	1000.0	55000	191.96497	66.3562	292.65002	23.654778	191.9651	66.35622	292.1905	22.516264	192.33452	65.65244	292.87958	24.695332	2.2974477	4.1966248	45.04605	-13.746134	-193.45807	2.5315003	2.5031528	3.462122	466.08317017555237
12	4347.9023	256.343	4613.909	3968.343	4709.173	90.71443	4861.972	4546.088	1000.0	1000.0	60000	211.64598	70.599884	315.60062	23.792017	211.64595	70.60054	314.50534	22.823505	211.96646	69.87162	314.88025	24.710886	2.5139437	4.227472	35.135635	-13.311493	-213.08522	2.6433563	2.6141322	3.6703804	509.6568400859833
13	4410.5107	276.151	4869.886	4002.4932	5229.2407	45.51461	5309.3096	5155.9146	1000.0	1000.0	65000	229.53615	73.41382	337.30847	23.914536	229.53664	73.41396	337.323	22.72721	229.79979	72.65948	339.6672	24.900366	2.759895	4.2706985	37.1354	-13.545804	-230.9382	3.099504	3.018893	4.0839496	552.3127963542938
14	4867.874	182.79512	5142.595	4656.0215	5415.4556	60.388374	5516.8164	5306.4136	1000.0	1000.0	70000	246.16945	76.138794	350.88318	23.078485	246.16959	76.13876	352.72873	21.35854	246.41003	75.37725	351.4301	23.972315	2.8606212	4.2167854	37.505573	-13.497137	-247.5564	3.079546	3.0606685	4.1316843	595.0122861862183
15	5007.713	56.64451	5104.284	4928.621	5303.606	99.70768	5468.271	5152.672	1000.0	1000.0	75000	262.33847	78.760956	369.50104	22.265194	262.33878	78.7612	368.05856	12.841249	262.53415	77.97685	368.52505	23.08347	2.9733627	4.252139	43.95894	-13.710781	-263.66565	3.0701656	2.9868655	4.1642694	637.9559733867645
16	5100.031	169.61899	5292.088	4874.5854	5759.198	62.46722	5854.169	5616.01	1000.0	1000.0	80000	277.08948	80.59999	381.8105	23.495417	277.08963	80.599915	382.8892	22.908161	277.23566	79.7913	378.78812	25.796804	3.0807776	4.2577534	36.12885	-14.08601	-278.38266	3.1057236	2.9993932	4.12493	681.360808134079
17	5145.87	107.99998	5331.8247	4995.5557	6120.7524	80.70122	6245.475	5990.4565	1000.0	1000.0	85000	290.6727	82.61458	393.3704	25.35108	290.67322	82.61516	393.73593	23.619831	290.77966	81.80166	393.0103	24.538307	3.2008178	4.2954593	33.982937	-12.926157	-291.91687	3.1533926	3.0750422	4.1687512	724.615395784378
18	5468.9873	48.24395	5530.8193	5420.87	5408.4985	133.77492	5563.168	5155.065	1000.0	1000.0	90000	303.3746	83.98065	407.13617	19.037857	303.37473	83.980286	407.31952	23.918015	303.43924	83.13549	403.9085	26.42124	3.2884345	4.3066683	40.32699	-13.144676	-304.5702	3.1704926	3.0962784	4.187708	769.3367896080017
19	5416.003	143.88602	5572.9785	5145.576	6029.7236	81.07411	6162.1035	5855.4927	1000.0	1000.0	95000	314.83795	84.74504	418.12637	22.740992	314.83856	84.74535	418.5652	20.805569	314.85086	83.88835	422.0363	26.284927	3.3107646	4.2926207	47.82786	-14.325087	-315.96985	3.2467618	3.1246262	4.290994	812.1938824653625
20	5496.1753	218.72168	5773.3745	5130.6196	6079.382	71.50106	6199.1895	5977.9233	1000.0	1000.0	100000	325.28897	85.550934	428.102	22.741665	325.2888	85.55131	427.59372	14.410938	325.2801	84.69886	427.3692	20.091572	3.3711455	4.284271	39.944313	-15.370083	-326.38477	3.0937521	2.9748175	4.150143	855.3458662033081
21	5527.024	139.58508	5725.455	5365.234	6239.3228	76.185326	6360.274	6057.8374	1000.0	1000.0	105000	335.11234	86.23156	435.62698	13.842726	335.11273	86.23161	437.76593	12.2337885	335.06772	85.36739	433.2038	20.174809	3.4789202	4.304085	40.398155	-13.109466	-336.1719	3.157334	3.1125538	4.2089796	899.463634967804
22	5699.005	96.293625	5793.776	5554.6777	6233.2695	93.415016	6373.291	6063.8926	1000.0	1000.0	110000	344.0855	86.827194	449.93463	20.360636	344.08563	86.82756	449.67987	15.879887	344.0162	85.94992	444.80536	20.928469	3.4579833	4.2661004	47.720108	-13.80964	-345.0927	3.1076875	3.0231616	4.21479	943.6157267093658
23	5701.879	142.11865	5876.6294	5459.3057	5916.243	82.54352	6106.81	5799.837	1000.0	1000.0	115000	352.3086	87.13839	454.76138	21.500862	352.30872	87.13856	456.76837	16.06453	352.21567	86.26221	455.40942	19.434147	3.5582526	4.2869306	42.51944	-14.303635	-353.29004	3.1539776	3.0241232	4.237103	987.4054882526398
24	5836.3027	125.088066	5960.61	5614.8945	6390.4375	128.65308	6621.2256	6159.1714	1000.0	1000.0	120000	360.2732	87.827866	461.4363	14.570452	360.27347	87.82799	462.06094	18.30134	360.15366	86.95194	460.35428	20.491375	3.6478064	4.30342	44.62131	-14.871929	-361.2104	3.2175953	3.1161864	4.2893076	1031.537748336792
25	5905.9243	69.18873	6014.8296	5832.56	6135.9556	74.522125	6219.6675	5984.0693	1000.0	1000.0	125000	368.32022	88.30186	470.42862	16.414083	368.3202	88.302345	470.10333	10.003793	368.1816	87.40989	468.84546	13.9340515	3.759813	4.3142905	40.39959	-14.953957	-369.22974	3.1609697	3.1016734	4.2647743	1075.2227165699005
26	5833.6753	198.0689	6191.787	5624.8584	6366.2417	89.70639	6549.348	6197.03	1000.0	1000.0	130000	375.41766	88.43412	474.0919	22.520805	375.41806	88.434	473.00446	20.45398	375.27814	87.545494	473.1152	22.70303	3.7786815	4.346197	43.156853	-14.12401	-376.31985	3.1564126	3.0655437	4.2202296	1118.4054636955261
27	5933.7803	194.97223	6182.5166	5585.5063	6516.276	138.03421	6685.601	6220.1836	1000.0	1000.0	135000	382.80377	88.35578	483.01755	23.56096	382.80392	88.35607	485.1985	20.276096	382.64285	87.466064	482.5855	23.154594	3.8686776	4.3498383	39.964653	-14.909292	-383.66672	3.221981	3.1001594	4.308337	1163.3398497104645
28	6046.3687	112.68168	6214.7935	5866.982	6257.06	78.32351	6407.395	6139.18	1000.0	1000.0	140000	389.2196	88.51987	484.9954	17.476212	389.21976	88.52099	486.55704	16.988247	389.01862	87.61891	488.55884	22.01156	3.8741302	4.311883	36.744843	-14.065218	-390.0449	3.199955	3.1196425	4.2949724	1207.1259624958038
29	5951.202	141.04561	6158.7705	5733.1187	6431.63	67.426865	6536.6494	6347.978	1000.0	1000.0	145000	394.861	88.35127	490.87915	20.2752	394.86105	88.35146	492.28128	21.184345	394.63248	87.46144	489.99506	20.869917	3.8870475	4.299712	49.21915	-16.971497	-395.64987	3.1918654	3.0662112	4.2457414	1250.9854080677032
30	6031.741	52.24609	6115.671	5955.696	6583.9854	38.5248	6657.6025	6518.911	1000.0	1000.0	150000	400.54413	88.11612	493.41483	16.141407	400.54443	88.11648	493.98956	13.344226	400.31256	87.22053	493.66174	20.60932	3.9704618	4.3031044	43.248962	-14.303413	-401.31656	3.2348716	3.1246445	4.2477155	1295.5440809726715
31	6101.9697	148.2826	6248.1777	5903.1235	6611.47	101.063934	6738.5425	6384.641	1000.0	1000.0	155000	406.15442	87.85626	501.93774	9.421204	406.15472	87.85712	501.04538	10.601759	405.89804	86.97342	499.913	14.763718	4.00243	4.2738776	35.749565	-15.008474	-406.90445	3.2500825	3.1713803	4.428354	1339.1883780956268
