Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-632.5099	100.31183	-521.2	-778.56714	1000.0	0.015194398	0.49630454	1.651476	-1.5922507	4000	-0.048533812	3937.4275	-0.011988107	-672.1433	5.4791875	0.0033705083	4.8876566886901855
1	-588.7317	83.09566	-472.77982	-685.4877	1000.0	-7.2606277	8.352287	13.744933	-15.67563	8000	-0.025941562	2610.6152	-0.007660359	-1298.517	5.540146	0.0044929045	9.307915210723877
2	-594.75024	51.042286	-548.6405	-679.8207	1000.0	-22.686104	2.1239104	6.6594534	-23.995089	12000	0.011672659	1305.5842	-0.00635486	-451.461	5.489561	0.00056803436	13.561744928359985
3	-572.5636	29.859552	-544.1201	-619.0283	1000.0	-30.4981	0.92458874	-11.950836	-30.749552	16000	0.026478399	732.28064	-0.003266897	-202.98419	5.567371	0.002384765	18.013153791427612
4	-575.25555	27.713926	-533.07764	-606.50244	1000.0	-33.646423	4.7391405	23.380434	-35.631256	20000	-0.015117603	609.4783	-0.0040890547	-197.71683	5.4884553	0.0016948103	22.383211851119995
5	-509.2119	113.5164	-318.70898	-603.73065	1000.0	-39.250744	0.9629572	-16.554157	-39.580105	24000	0.03314404	540.3517	-0.0033631846	-56.61609	5.4823804	0.0006819891	26.836089372634888
6	-538.2007	74.514946	-431.1695	-631.96704	1000.0	-41.106773	3.357947	22.620565	-41.818733	28000	0.00068503286	491.74115	-0.003194029	-71.19449	5.543226	0.0001863364	30.49862265586853
7	-590.8523	97.811676	-466.2344	-739.9223	1000.0	-43.337254	3.6257505	30.177721	-44.018467	32000	-0.056651097	551.7421	-0.0033290237	-55.956604	5.487315	0.00022749757	34.7301926612854
8	-561.9895	66.277534	-497.97534	-665.8282	1000.0	-45.72712	5.237972	37.44338	-46.620686	36000	-0.019197373	343.48593	-0.0027009714	-25.613647	5.471003	0.0013023872	39.28732633590698
9	-534.264	53.65752	-460.10715	-611.36743	1000.0	-42.217705	16.58152	46.744003	-47.944477	40000	0.010010716	590.2699	-0.0023416253	-337.26862	5.47926	0.00022662598	43.72870445251465
10	-635.5305	133.29483	-519.5531	-860.8786	1000.0	-47.651943	3.8970778	13.347097	-48.844826	44000	-0.008145426	558.3638	-0.0026326077	-97.902466	5.54951	0.0006795991	48.4229736328125
11	-566.1365	15.767843	-548.2501	-591.4015	1000.0	-51.47032	0.54381937	-39.25286	-51.669334	48000	-0.025492908	196.02997	-0.0017466806	-1.0922241	5.504281	-0.000247522	52.83041048049927
12	-460.83582	63.75743	-375.30698	-526.7205	1000.0	-51.70061	1.4127767	-16.846588	-51.977238	52000	-0.045992877	321.66013	-0.0026444755	-76.12633	5.4741387	0.00058333843	57.31691098213196
13	-539.41046	29.082743	-497.39673	-579.53253	1000.0	-47.349007	4.6845417	9.439571	-49.129833	56000	-0.0075324457	274.4282	-0.0014016302	-29.81491	5.4874983	0.0010156741	61.68467164039612
14	-484.72595	49.65353	-405.76566	-532.0257	1000.0	-47.642654	2.4664552	-10.151524	-48.849335	60000	-0.03145429	228.51297	-0.0017362945	-18.08847	5.4901347	-0.00019221116	66.07210874557495
15	-501.375	64.02895	-428.1005	-603.60065	1000.0	-45.8635	3.0033333	0.3512624	-48.001076	64000	-0.072605744	226.81892	-0.002271548	-9.881577	5.5269284	0.0011476167	70.56144309043884
16	-508.9231	57.951637	-452.9106	-602.6727	1000.0	-44.63912	5.5999637	27.805311	-48.06146	68000	-0.07648599	385.94562	-0.001554966	-24.495361	5.4946284	0.00049653405	75.08304953575134
17	-528.43726	34.88806	-479.85117	-567.07275	1000.0	-45.002922	4.4877334	-3.5522177	-48.38098	72000	-0.02141023	378.26245	-0.002120683	-24.119843	5.5065403	0.00032648546	79.34458041191101
18	-465.58978	28.580536	-438.27762	-513.1464	1000.0	-46.417953	3.768963	-6.691562	-49.035046	76000	0.010596535	252.64651	-0.0023340993	-27.138962	5.4985924	0.00074982824	83.68196177482605
19	-473.79932	47.65492	-413.63483	-534.39594	1000.0	-43.937008	3.742746	-3.822407	-48.26168	80000	-0.025616448	192.2794	-0.0015366971	-12.332687	5.5536633	7.9293786e-05	87.94363284111023
20	-482.58398	51.399017	-414.01254	-558.58997	1000.0	-42.765633	6.921998	17.3147	-48.39752	84000	0.014818298	190.00319	-0.0017756298	-45.462036	5.499589	0.00038072263	92.43787336349487
21	-478.62262	35.638718	-425.39206	-520.0471	1000.0	-44.95461	1.9389937	-26.666666	-48.112396	88000	-0.019631758	146.4486	-0.0018505603	-8.143036	5.48554	-0.00045667673	96.74544167518616
22	-478.26517	39.279846	-414.53842	-521.20996	1000.0	-43.59596	3.1645489	16.079739	-47.971012	92000	-0.06546938	229.19516	-0.000961788	-17.64891	5.477926	0.00030326445	100.56324863433838
23	-481.84366	30.238125	-431.2884	-511.56903	1000.0	-43.82364	3.8698618	20.187988	-48.19108	96000	-0.04349079	252.47797	-0.0013916865	-20.117676	5.5067034	0.00045206113	104.79948139190674
24	-456.48096	65.178024	-352.43973	-532.3024	1000.0	-44.895626	2.6227214	-20.954872	-48.253357	100000	-0.05171754	257.3232	-0.0017584376	-57.74179	5.5488915	0.00057937636	109.10278630256653
25	-477.65143	23.452755	-439.01813	-501.20563	1000.0	-44.02139	4.2169123	-1.3468728	-48.060856	104000	-0.03144596	124.29784	-0.0013252199	-12.142975	5.5148296	0.00081940397	113.6806070804596
26	-444.79202	21.13052	-411.43286	-468.89545	1000.0	-41.91465	5.7943707	15.653469	-47.694393	108000	0.0051525114	203.65459	-0.0017670887	-16.887238	5.4870763	0.00033722728	118.00340962409973
27	-457.37247	51.308456	-404.93878	-539.756	1000.0	-32.795326	13.994818	26.149054	-47.167374	112000	0.005812046	431.915	-0.0015244829	-259.06836	5.4948654	-0.0002974078	122.35349655151367
28	-471.53583	56.58789	-406.03244	-561.3975	1000.0	-40.497913	2.6964524	9.109796	-47.165234	116000	-0.059617113	215.66759	-0.002463732	-31.871017	5.523429	0.0011157263	126.85768795013428
29	-397.16574	40.338272	-330.22107	-434.68246	1000.0	-43.747158	4.832979	3.817203	-47.93928	120000	-0.069952674	223.74721	-0.0017964393	-58.860306	5.5103507	0.0006789776	131.2450647354126
30	-490.6018	36.358356	-428.59567	-517.3964	1000.0	-38.111164	4.172031	2.264393	-45.65434	124000	-0.07180426	243.74554	-0.0019245595	-69.47937	5.4961066	0.00048413736	136.13266825675964
31	-441.5103	30.610182	-395.29742	-481.41122	1000.0	-45.402287	2.3231423	-10.920444	-48.25225	128000	-0.075942114	157.22722	-0.0015724376	-21.90091	5.53409	0.0015681605	140.1467101573944
32	-432.84027	88.4635	-315.63568	-560.1968	1000.0	-39.352036	6.30762	18.290262	-46.791573	132000	-0.05214473	278.94495	-0.0016429685	-25.781586	5.470927	0.0010711421	144.6430537700653
33	-472.49203	70.28224	-387.29013	-573.4044	1000.0	-40.013096	3.7654831	-3.3110003	-46.380047	136000	-0.031011334	273.86395	-0.0024051536	-31.166702	5.4915333	-0.00036409934	148.73122239112854
