Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
30	-152.60391	110.63081	-31.283564	-292.2738	1000.0	-15.004902	9.729981	18.786985	-44.110783	124000	-8.34465e-09	416.33295	-0.05639428	-69.70633	0.009122068	0.0	146.7560317516327
31	-53.69341	127.420494	71.200874	-261.45074	1000.0	-10.862815	10.116703	18.873913	-45.519657	128000	-4.4226645e-08	489.04834	-0.056206327	-110.94577	0.009182453	0.0	151.44578313827515
32	-229.8583	60.081642	-128.85439	-285.192	1000.0	-6.149336	11.29062	27.792526	-43.609085	132000	9.536744e-10	668.44086	-0.053062312	-257.22385	0.009116464	0.0	155.92785382270813
33	-87.21855	90.12471	6.6545463	-200.70813	1000.0	-17.685051	11.288325	20.857927	-45.47219	136000	2.503395e-08	449.48694	-0.0554497	-165.27335	0.009056511	0.0	160.5361933708191
34	-61.828995	15.676611	-37.329746	-80.87526	1000.0	-7.6471806	8.291687	20.681969	-43.38623	140000	2.5749207e-08	312.95172	-0.055986658	-42.06012	0.009163098	0.0	165.0928635597229
35	-205.74606	120.44662	-50.475235	-330.84808	1000.0	-8.83794	10.85029	24.7622	-41.617935	144000	1.180172e-08	430.88562	-0.06054515	-146.10925	0.009068089	0.0	169.4669804573059
36	-91.42773	119.63911	100.25644	-200.75117	1000.0	-11.69355	9.139514	17.143824	-41.234695	148000	1.0251999e-08	395.70844	-0.05204318	-49.223633	0.00924614	0.0	174.1742742061615
37	-75.80806	96.04276	28.271463	-197.20204	1000.0	-9.238319	10.660527	27.439869	-44.60004	152000	-4.6491624e-09	359.96518	-0.053377718	-40.85205	0.009100113	0.0	178.65338945388794
38	-248.1131	211.16835	24.838463	-482.40338	1000.0	-16.852869	15.526898	22.87374	-45.78339	156000	-1.7404556e-08	324.3677	-0.05677764	-97.434555	0.009189659	0.0	183.28078651428223
39	-112.32309	59.31527	-32.44416	-177.05096	1000.0	-8.279063	9.507084	27.755653	-41.168175	160000	-5.4836273e-09	347.86432	-0.05210325	-43.806824	0.009250123	0.0	187.9599645137787
40	-97.762276	129.465	49.66039	-296.3006	1000.0	-7.9600253	8.702689	24.174627	-44.83778	164000	-9.536743e-09	318.68762	-0.054857053	-35.893738	0.009237708	0.0	192.8572289943695
41	-64.88986	83.81661	63.372967	-141.69133	1000.0	-8.061365	9.542305	20.78774	-42.185253	168000	7.7486035e-09	434.37445	-0.05577026	-46.677887	0.009217285	0.0	197.64574813842773
42	-205.74376	111.27206	-96.45354	-381.932	1000.0	-7.78231	9.713633	23.698587	-39.70606	172000	-3.4570693e-09	449.8278	-0.053690135	-159.64786	0.009141977	0.0	202.52279329299927
43	-37.407005	40.66794	20.079092	-79.37222	1000.0	-17.205383	7.443813	9.070961	-45.274277	176000	6.6757204e-09	460.59393	-0.05431674	-241.4805	0.009010571	0.0	207.25539183616638
44	-18.671465	79.10838	100.11849	-115.5641	1000.0	-2.6098492	7.037492	24.774204	-35.15741	180000	2.5272369e-08	279.33505	-0.056466755	-29.5309	0.009194776	0.0	212.07972717285156
45	-1.313345	73.267456	66.86886	-118.78254	1000.0	-0.9318334	7.5305514	23.677277	-34.93039	184000	-2.6226044e-09	265.92688	-0.055501506	-24.591248	0.009230499	0.0	216.7128825187683
46	-55.35518	20.784418	-27.526258	-85.7922	1000.0	-0.35020486	7.610119	29.071917	-34.58321	188000	-2.449751e-08	277.68427	-0.054436486	-45.061783	0.009229533	0.0	221.37201619148254
47	-80.5641	62.627316	-37.6446	-188.3732	1000.0	-4.738464	6.7076254	18.951654	-38.930656	192000	-9.834767e-09	275.7244	-0.05399397	-34.484894	0.009159326	0.0	225.98434472084045
48	-104.32922	178.96506	105.02179	-386.36145	1000.0	-10.395088	12.113027	24.33887	-45.29421	196000	2.0980835e-08	324.36093	-0.055919282	-85.81932	0.009241558	0.0	230.75492978096008
49	77.53894	86.03578	187.76085	-40.40991	1000.0	-0.85430753	8.3443	26.439022	-43.829407	200000	-8.5830685e-09	331.65363	-0.05407714	-95.73576	0.009298121	0.0	235.31332540512085
50	-120.792336	204.34477	95.04289	-452.33734	1000.0	-1.0624483	14.687501	26.710741	-46.73472	204000	1.7404556e-08	515.6487	-0.05687637	-216.36142	0.0091826	0.0	240.45024466514587
51	-150.59068	148.98299	63.87054	-322.09003	1000.0	-17.328989	22.998415	34.451515	-49.623062	208000	2.4318695e-08	316.51132	-0.054978527	-56.715454	0.009235657	0.0	245.2092685699463
52	76.64407	101.04203	205.5305	-74.705025	1000.0	0.43996534	8.407875	25.453918	-32.279537	212000	-2.0980835e-08	296.8157	-0.054304034	-70.38768	0.009256254	0.0	249.80116748809814
