Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-55.096313	85.83813	10.956597	-371.1856	-692.25665	583.07764	-21.538889	-1376.1014	138.83871	541.6	5000	0.50503105	2.5634162	20.182858	-11.398701	0.50509435	2.562511	20.742197	-12.687806	-1.7009516	0.30184236	40.97212815284729
2	-78.92292	112.13092	20.09657	-361.39026	-41.620472	15.9854355	-21.651556	-74.818474	245.60869	17.8	10000	8.813892	5.5533133	42.32154	-11.606903	8.81294	5.5544047	42.279694	-11.456602	-11.723329	1.1811966	80.78032302856445
3	-122.307755	429.76276	621.38934	-2103.292	233.2692	106.66704	389.93576	93.15118	154.625	803.6	15000	16.812193	4.370139	45.008183	-9.934274	16.812044	4.373698	43.30544	-12.554298	-18.995464	2.866646	132.73789477348328
4	59.94847	87.628654	180.92232	-136.3755	178.15018	148.92094	433.54785	-4.838368	383.92307	573.6	20000	16.418114	5.396432	45.664455	-15.609855	16.41741	5.399133	45.0061	-18.414244	-18.469019	2.2698724	182.11468362808228
5	271.09735	180.37914	509.5555	18.266628	352.7886	252.88593	747.2984	21.242353	696.0	690.1	25000	15.802512	6.1100917	45.05729	-16.491991	15.801828	6.112862	43.807312	-17.223263	-17.726202	2.1711333	227.72374296188354
6	288.1352	231.16841	635.6265	-9.01909	636.63055	84.041145	741.0095	430.29337	529.4	989.0	30000	16.216282	6.1462884	46.96419	-17.55907	16.215654	6.148579	47.449554	-18.956568	-18.0222	2.0532403	285.15897846221924
7	422.9478	242.01932	644.0933	28.736675	469.296	214.62415	698.0769	131.42464	734.4286	756.5	35000	17.537655	5.8727455	47.213043	-15.990684	17.53699	5.8749733	47.840183	-18.201775	-19.224266	2.0463374	338.0633850097656
8	419.5559	240.81331	669.6138	67.65481	640.2407	195.29898	728.7214	56.740936	685.125	906.9	40000	19.107542	5.544512	47.57782	-18.274311	19.106998	5.5467286	47.162746	-15.442433	-20.69295	2.0445485	395.02383375167847
9	453.1523	311.3731	760.24347	-1.8230263	654.4789	213.02835	786.30255	118.25034	684.8333	855.8	45000	20.625278	5.4016724	48.80252	-17.67394	20.62481	5.4032297	48.69177	-18.673334	-22.146248	1.9834951	440.57749581336975
10	527.3734	241.36371	747.8932	143.554	517.47516	300.4712	777.35925	4.8689337	821.1429	736.6	50000	22.311209	5.2600307	48.570633	-23.645184	22.310781	5.2604833	49.477715	-22.335785	-23.73038	1.9522562	495.68001770973206
11	432.29434	298.2573	741.9416	47.238968	509.91425	315.2111	774.9915	14.969009	615.7143	682.5	55000	23.94608	5.259817	49.521286	-20.519758	23.9458	5.261211	48.74525	-19.931189	-25.282225	2.0080616	541.4510579109192
12	446.54092	322.82004	811.2315	17.092075	549.4051	352.8875	894.9848	-2.753592	602.55554	712.1	60000	25.691637	5.2025156	50.596848	-20.98648	25.691345	5.2052574	49.465958	-20.281784	-26.970564	1.9657153	593.6161203384399
13	744.17816	128.00403	845.51685	491.6313	600.61285	325.06964	848.5375	62.664284	961.8	736.0	65000	27.33692	5.178703	49.789906	-15.676546	27.336617	5.1811285	51.83454	-14.616818	-28.572956	1.9738791	643.1622686386108
14	503.49222	335.1971	807.6159	7.36542	557.52704	309.2469	819.895	14.017013	659.25	720.7	70000	28.952229	5.2702317	51.649605	-18.423054	28.952164	5.271325	53.28542	-18.159548	-30.151337	2.0168605	693.8561177253723
15	597.50995	245.50882	766.6913	53.32477	647.0182	320.73068	902.1572	19.789228	824.3333	767.8	75000	30.663292	5.4596705	57.264442	-18.230455	30.663168	5.461278	57.78322	-17.240097	-31.844324	2.0493793	744.4712274074554
16	540.1939	327.8501	851.31525	7.8830647	610.523	327.42758	979.6688	16.168325	725.8571	737.5	80000	32.181892	5.8063264	57.691414	-19.056036	32.181873	5.8069477	59.386257	-16.249887	-33.32319	2.1225295	795.9323573112488
17	560.47034	332.86017	813.53107	25.740852	618.20105	320.4714	872.0323	27.930895	728.5714	748.3	85000	33.74281	6.2469177	61.215897	-24.873137	33.742588	6.2478867	61.61443	-16.307837	-34.87211	2.1817071	845.0784542560577
18	575.2469	357.6622	960.12317	15.326781	836.1541	56.601624	901.82654	760.4329	724.5714	987.6	90000	35.188507	6.746059	62.469555	-15.567003	35.188366	6.7479186	62.92293	-31.343327	-36.30049	2.2411532	898.9803721904755
19	848.7919	63.406418	925.1717	761.7945	644.9972	404.1925	998.16095	12.568475	1000.0	714.9	95000	36.59483	7.166022	64.82657	-16.40645	36.594524	7.166858	65.86996	-23.88308	-37.68044	2.308338	949.4935436248779
20	641.0043	370.51025	1009.216	112.7539	827.3412	247.80232	1003.5987	115.20865	705.5	909.9	100000	37.93685	7.4312854	67.17372	-21.6689	37.936802	7.4320364	67.1336	-24.766098	-39.019737	2.3619635	998.5783877372742
21	765.978	342.67145	1071.6517	29.36251	758.6711	481.50693	1156.0859	9.6486635	838.3333	713.5	105000	39.34495	7.680891	68.33618	-22.894604	39.34478	7.681077	67.22618	-27.425713	-40.415203	2.420096	1049.3378982543945
22	1006.8867	113.31618	1130.9977	802.66364	841.709	540.98065	1308.9991	22.98683	1000.0	710.9	110000	40.925755	8.021327	68.332	-22.920097	40.925636	8.020163	68.42464	-25.389965	-41.997364	2.468158	1099.3540625572205
23	861.3891	408.92242	1195.5336	11.291706	816.1522	530.9992	1250.1171	-13.964455	836.8333	731.9	115000	42.579784	8.420446	70.44104	-22.505186	42.579643	8.420299	70.44403	-21.126163	-43.66099	2.504648	1148.8767533302307
24	578.38226	498.35498	1191.9984	28.135975	416.05136	399.6361	1182.9156	26.131397	574.2222	520.9	120000	44.244556	8.875857	70.87516	-22.057936	44.244495	8.876936	70.72154	-18.642124	-45.331036	2.7466571	1198.0361330509186
25	656.78577	426.39935	1167.7529	11.286567	1117.9873	420.76764	1432.2953	70.17947	734.2857	904.2	125000	45.750957	9.367054	69.459435	-28.226984	45.75076	9.368259	69.72792	-30.935013	-46.81373	2.7353961	1252.2505939006805
26	764.5138	549.6573	1355.6115	75.00612	815.30096	452.28687	1378.9895	23.931698	592.875	678.9	130000	47.33863	10.015195	71.2627	-44.05878	47.338577	10.015181	70.59549	-32.149193	-48.365887	2.816949	1301.5991094112396
27	592.2139	478.78778	1329.3473	-0.7836635	209.57126	401.11002	1406.1299	18.5605	620.125	156.2	135000	48.59552	10.76442	74.59157	-30.532541	48.595116	10.765625	73.47403	-20.61362	-49.66069	3.015466	1344.3961374759674
28	1326.3867	98.61307	1434.0867	1150.9526	1234.1239	472.80032	1582.5742	58.171844	1000.0	906.8	140000	50.259644	11.620097	75.60405	-21.226574	50.259495	11.62087	76.17214	-23.263582	-51.318462	3.242471	1399.8237564563751
29	1085.3596	523.7764	1467.3507	92.88535	1400.8506	364.29572	1737.1716	847.27527	846.5	1000.0	145000	51.913734	12.5201845	80.49473	-23.069214	51.913578	12.520757	80.43837	-26.857502	-52.97735	3.3184283	1455.4236979484558
30	1190.2318	548.1639	1578.2104	38.133114	1017.7967	792.73944	1733.8385	20.195827	839.6667	614.7	150000	53.78149	13.654866	83.827156	-28.2318	53.78135	13.655304	83.830795	-25.353075	-54.860992	3.5594184	1506.155058145523
31	1315.4269	546.52545	1642.0134	98.09051	695.2462	716.6237	1673.4719	0.059951603	850.8333	486.4	155000	55.945374	14.887423	89.36141	-25.260073	55.945267	14.889379	90.11093	-34.123634	-57.04748	3.6547978	1554.4910538196564
32	729.941	754.899	1723.0477	14.512823	995.59314	801.789	1797.4622	17.856682	526.4	623.6	160000	58.16141	16.295456	93.00456	-33.82668	58.16124	16.29703	93.50524	-20.817358	-59.262432	3.923978	1606.3568580150604
33	1112.9187	773.85333	1855.6302	21.857525	1060.4158	757.8431	1814.8278	40.67809	662.75	714.0	165000	60.596832	17.971876	100.3677	-27.634794	60.596752	17.972666	99.88066	-24.185701	-61.739285	4.218887	1659.7852020263672
34	1058.28	473.68674	1801.4601	657.3035	1439.6332	736.9741	1972.0203	11.842549	1000.0	902.1	170000	62.70902	19.53879	105.71051	-23.027235	62.708874	19.54031	106.479996	-26.614176	-63.873512	4.65803	1714.0621819496155
35	832.5654	546.7972	1709.5728	98.863174	1217.6482	845.96814	1989.3451	18.283394	814.2	705.0	175000	64.07179	21.083248	109.06711	-19.8738	64.07164	21.084558	108.84198	-24.356834	-65.35208	4.9173784	1760.004614830017
36	594.2436	664.6146	1888.7701	49.818035	1180.965	887.82886	1950.2982	67.89843	540.6	627.5	180000	65.202095	22.567059	112.483864	-29.354261	65.2022	22.567827	112.61677	-27.838308	-66.51884	5.224102	1813.417801141739
37	588.1435	652.5895	1846.1184	-42.571983	1393.7504	773.68414	2005.4312	29.568155	503.0909	811.3	185000	66.71566	24.337448	115.71453	-32.106773	66.71598	24.338161	116.47872	-33.653305	-67.94815	5.474639	1868.2743768692017
38	573.3588	745.94696	1794.0696	15.100608	1344.3428	746.72516	1878.1707	10.540325	398.0909	805.1	190000	68.72199	25.888103	118.02407	-28.786842	68.72197	25.888315	118.37097	-30.35165	-69.99349	5.7857637	1918.8747038841248
39	927.5829	818.39636	1867.9108	27.263128	1635.1624	674.71234	2085.5881	65.21895	571.44446	903.2	195000	70.30361	27.270271	122.14419	-32.55096	70.30357	27.271387	121.96561	-28.944534	-71.633934	6.060049	1975.275753736496
40	1306.0121	806.6055	1934.6738	44.436848	1345.5216	718.84564	1970.2722	93.69799	723.0	907.1	200000	72.45063	28.853819	123.083275	-29.47395	72.45081	28.854914	123.790054	-33.20111	-73.76778	6.0637045	2028.9293093681335
41	1194.7668	791.553	1984.794	36.169952	1765.861	481.72162	2091.3962	798.5543	741.0	1000.0	205000	74.39003	30.327116	127.29449	-53.976974	74.39023	30.327024	127.171616	-30.808403	-75.694275	6.4316325	2082.6622478961945
42	1058.3688	847.2694	1939.4623	39.37793	1371.3875	831.16364	2064.854	31.153376	655.375	808.3	210000	76.02627	31.90081	131.15863	-37.488922	76.02626	31.901205	130.24187	-33.667965	-77.3789	6.7290225	2138.2034759521484
43	812.7133	546.08057	1898.4417	52.729824	1597.7108	778.87244	2085.1348	40.05138	839.5	807.1	215000	77.23357	33.21368	133.7994	-29.513857	77.23348	33.214848	133.55222	-20.83562	-78.67315	6.8108745	2189.471075296402
