Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-75.83882	111.18683	7.515954	-398.21985	-538.8715	979.09735	-30.286892	-2915.6965	189.38461	185.5	5000	15.382325	16.708628	79.874626	-14.87681	-18.509823	0.93543303	47.35968041419983
2	-43.97633	82.619484	12.552036	-371.24472	-1352.0969	1320.204	-178.35477	-2982.2075	147.16667	460.8	10000	211.13359	124.46254	581.2765	-127.69223	-234.93893	71.701256	95.67025327682495
3	-287.5549	650.81476	-12.697693	-2677.162	-2161.043	1294.3057	-102.6627	-3064.5447	120.95556	716.7	15000	767.5292	146.77174	1114.8353	-338.3701	-797.79645	908.52606	158.8654088973999
4	-445.62527	876.5414	-24.261429	-2720.1533	-345.81195	767.5925	-31.146	-2637.0508	169.44827	119.4	20000	982.65204	103.273415	1227.868	-1576.1042	-1003.18365	1163.9788	208.57978796958923
5	-538.6083	949.18085	-19.913357	-2709.232	-79.23918	42.34436	-38.812237	-161.67479	203.76923	26.5	25000	1018.8746	95.48692	1214.9801	-553.71173	-1035.2948	962.5983	260.4329311847687
6	-205.61288	486.4741	-23.09153	-2630.7705	-669.51575	1117.8856	-27.177431	-2968.5183	78.14035	231.1	30000	959.38544	97.350784	1166.1685	-584.23987	-972.46533	1147.7432	308.769259929657
7	-416.90854	806.9814	-40.203617	-2657.0984	-934.0026	1277.5604	-30.604206	-2955.6133	159.26471	326.5	35000	865.49976	97.265045	1090.4875	-481.7692	-877.9771	928.39923	366.69949173927307
8	-761.26886	1019.7018	-27.37279	-2634.0623	-966.2547	1122.272	-46.175797	-2674.8477	298.82352	368.9	40000	792.7376	87.006195	962.7401	-440.41772	-804.87384	687.9484	422.08533668518066
9	-250.71297	582.8895	-7.634035	-2428.9211	-316.38095	673.4985	-25.88926	-2328.5159	122.48781	153.8	45000	737.57605	74.04271	872.2949	-428.66562	-749.3182	556.838	473.8723123073578
10	-171.09528	423.48874	-12.976692	-2140.437	-173.84764	303.00394	-17.624262	-1069.9281	96.60465	86.1	50000	690.2033	68.60349	804.16504	-422.08633	-701.48065	562.66516	517.474062204361
11	-283.64624	574.70233	-5.8302054	-2184.7988	-53.399456	39.419033	-15.793326	-135.89754	154.28947	58.6	55000	632.24115	67.02327	769.3739	-693.55176	-642.36224	447.25732	574.8286077976227
12	-311.55106	657.2086	-25.958145	-2155.3918	-80.73462	33.446056	-22.167414	-160.3013	166.84616	51.0	60000	560.5978	60.24415	722.12415	-466.64355	-568.9473	336.11844	619.0585551261902
13	-603.0953	866.74805	-2.662894	-2059.1135	-477.1844	615.24744	-22.894497	-2138.7412	312.66666	284.8	65000	481.8803	57.55625	630.5815	-388.5735	-488.76138	220.21677	678.3437838554382
14	-599.1135	842.2037	1.9682089	-2015.4579	-422.49307	684.6174	49.10443	-2208.6863	377.36365	380.5	70000	404.90164	52.562145	542.74854	-354.6625	-410.6512	163.49667	727.0838892459869
15	-860.134	589.5693	-126.48769	-1676.6499	-95.76301	333.9531	102.1488	-1087.7852	780.2857	266.9	75000	337.04025	54.1516	473.7385	-366.83167	-342.03427	113.01227	784.8804049491882
16	-902.77826	650.53973	-114.4336	-1614.1812	-531.42615	742.2273	23.348206	-1805.3055	773.7143	532.4	80000	273.70135	59.536057	416.84937	-296.01254	-278.1705	79.66907	847.3096785545349
17	-420.47974	499.45862	-8.572448	-1267.1985	-636.4888	596.46875	-16.02055	-1591.1262	612.625	529.9	85000	227.4805	68.984276	375.42892	-247.8125	-231.69344	62.98114	905.6820194721222
18	-454.29233	562.0799	-3.9912498	-1541.0868	-746.4626	578.8101	-3.9482431	-1726.6842	387.16666	727.7	90000	193.96037	77.90403	356.76306	-276.95102	-197.99796	59.617344	963.8822090625763
19	-555.6607	558.79297	-0.44402415	-1695.0542	-512.7275	592.70526	-30.327871	-1500.9541	565.5	454.9	95000	167.0203	85.64129	337.37686	-221.78531	-170.89128	58.913246	1017.0905661582947
20	-358.9361	430.68494	-8.4284725	-1257.0835	-619.27484	626.9647	-4.60338	-1547.0397	398.84616	527.7	100000	147.33925	94.97961	346.27847	-234.40155	-151.1721	62.038734	1077.0637836456299
21	-436.6799	525.27655	-10.88649	-1526.3502	-186.60915	263.94757	-10.122716	-801.2983	454.0	401.8	105000	132.88771	102.81923	339.8835	-153.21425	-136.76097	62.075855	1137.802887916565
22	-225.65504	398.8446	-18.967848	-1401.9093	-337.924	339.1715	-12.279111	-1031.1172	197.5	316.1	110000	127.51586	109.09901	403.44128	-255.38269	-131.48524	66.43889	1194.0181498527527
23	-528.772	355.80814	13.339907	-1209.3676	-245.57791	408.49033	-14.882785	-1444.4622	626.25	237.5	115000	124.280846	112.877426	401.98837	-219.65675	-128.26617	66.57708	1249.2075843811035
24	-359.101	455.86578	-24.780947	-1468.3826	-345.2166	393.9956	-10.160404	-1187.8201	318.8125	321.8	120000	125.947876	118.76639	420.64676	-168.87122	-130.09656	72.13865	1306.540358543396
25	-267.6897	387.66904	-11.858485	-1565.4172	-449.00952	456.27814	-21.472105	-1363.9049	193.5	489.5	125000	129.40129	127.808815	450.45	-157.6304	-133.58794	80.52974	1366.668399810791
26	-232.96346	349.41702	-12.792497	-1338.2681	-238.68987	369.77682	-4.5030603	-1091.9225	207.95833	216.5	130000	132.47444	134.9401	454.84033	-209.0791	-136.788	100.83781	1421.5549881458282
27	-300.11984	423.5374	-13.369259	-1539.7424	-121.386826	130.1127	-11.861237	-433.20853	256.5	76.2	135000	136.53282	141.20454	489.975	-210.47946	-141.24496	112.17362	1466.4249622821808
28	-519.16064	563.2745	-34.18018	-1618.5516	-621.72473	666.52295	-48.68199	-2036.0994	345.70587	362.7	140000	150.17755	153.50175	520.10156	-148.73169	-155.27539	133.32559	1532.0812718868256
29	-320.53546	423.58792	-40.68583	-1840.8839	-403.69928	282.90952	-25.550877	-803.7383	231.09525	426.2	145000	167.88565	165.25055	535.37415	-166.85168	-173.25037	148.42902	1589.7757515907288
30	-377.96628	420.51093	-20.61113	-1340.9629	-131.32553	50.407078	-26.908339	-195.00957	236.0	115.7	150000	184.82082	172.67282	558.32526	-371.97415	-190.3703	167.51883	1644.145084142685
31	-237.80528	250.44504	-30.520302	-1281.231	-287.8302	243.22145	-49.05437	-769.0493	149.07143	185.8	155000	195.26555	175.18529	576.9303	-181.29547	-200.70741	172.46855	1691.735009431839
32	-351.49014	505.89398	-11.871225	-1903.5897	-259.01663	309.96765	-14.968845	-1047.1779	208.5	134.5	160000	199.25609	176.92558	616.957	-381.10468	-204.61305	182.5829	1751.366884469986
33	-179.0557	236.04572	-8.649598	-1166.6752	-243.56038	180.18994	-35.258797	-581.06433	121.410255	127.4	165000	204.50409	177.09042	651.6677	-189.3471	-209.91779	197.12158	1802.5949556827545
34	-242.09029	315.27554	-9.0290785	-1162.189	-212.54178	167.37727	-20.8634	-544.67255	136.97368	125.1	170000	212.43565	173.45914	628.2111	-382.3969	-218.01335	222.41191	1856.9981982707977
35	-263.43173	393.06378	-17.032778	-1846.4717	-194.3757	252.17958	-17.402893	-765.487	148.91176	97.2	175000	214.93077	171.93312	648.4645	-382.9878	-220.41171	225.7967	1910.6359069347382
36	-156.91537	233.42072	-12.714467	-1190.3073	-120.09386	82.618866	-11.957136	-306.7984	93.830185	68.1	180000	216.86955	171.95624	665.08624	-271.94424	-222.4079	235.0144	1963.35213637352
37	-214.16582	296.6491	-16.235945	-1357.229	-257.80255	385.97534	-17.895876	-1022.56744	127.128204	182.5	185000	219.53473	170.83904	680.1097	-254.68123	-225.02837	244.3037	2017.3785347938538
38	-440.9052	477.5391	-15.615352	-1946.9541	-409.15707	455.9318	-7.615597	-1438.1135	254.8421	231.6	190000	217.70105	168.69681	698.17804	-218.82881	-223.22331	238.1284	2070.9564995765686
39	-463.5311	462.2616	-17.965712	-1882.071	-165.392	117.81443	-45.92464	-433.41867	260.05	78.6	195000	218.9159	168.4588	655.3795	-191.87036	-224.43237	237.16708	2125.4196112155914
40	-308.71298	488.90616	-21.015924	-2141.1099	-426.8919	681.56714	-14.88742	-2348.0063	162.03226	200.2	200000	219.12274	169.25035	661.965	-198.51486	-224.59999	236.64548	2181.4798028469086
