Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-309.70947	72.35646	-207.32825	-392.05753	-598.6051	0.6620228	-597.8574	-600.089	1000.0	1000.0	5000	8.795665	8.098283	37.589203	-4.293948	-9.991127	0.39649025	59.27835464477539
2	-285.00925	50.18838	-217.18263	-360.1404	-595.2217	1.4452909	-593.28674	-597.7974	1000.0	1000.0	10000	22.693193	8.135503	43.0688	-1.619539	-23.15875	0.7208555	119.13613414764404
3	-594.1248	58.58568	-542.37933	-684.83685	-606.3856	3.998179	-602.17	-617.08435	1000.0	1000.0	15000	24.792322	11.936258	49.411953	-6.019785	-25.58015	0.82424045	181.41740894317627
4	-575.5902	285.77875	-99.97041	-984.9731	-583.07074	41.343113	-511.77438	-646.9718	1000.0	1000.0	20000	26.563858	10.903651	48.980267	-6.0179567	-27.215694	0.6610259	243.69151258468628
5	-360.13306	250.97424	118.2958	-574.089	269.6551	97.36211	496.64398	130.17201	1000.0	1000.0	25000	30.122631	11.914384	58.626743	-3.8742795	-31.222866	0.7893026	305.23703956604004
6	34.815357	320.0445	436.48877	-516.3385	11.616189	194.65399	315.6578	-413.7474	1000.0	1000.0	30000	39.88606	14.484477	71.64414	-2.3689597	-40.950912	1.3203638	367.207266330719
7	181.71706	544.53723	1040.4005	-557.15076	-104.390854	38.98648	-35.849228	-166.391	1000.0	1000.0	35000	50.295807	16.269144	103.44359	7.870733	-51.781704	2.1351702	429.3514733314514
8	1019.7248	807.008	1996.275	-43.28793	1509.9338	242.31772	1813.3348	952.7229	1000.0	1000.0	40000	71.55298	27.077936	141.05455	12.9191065	-73.36507	2.8056445	492.20336985588074
9	1422.2991	378.49158	1923.3944	859.62384	2278.7747	773.9634	2819.027	336.29843	1000.0	1000.0	45000	97.7201	36.824165	172.84322	13.377648	-99.490234	3.6230843	553.8788614273071
10	1569.1516	1144.1832	2659.8	180.17857	2365.5366	343.14188	2710.764	1515.1151	1000.0	1000.0	50000	121.78626	45.616657	227.17198	20.956564	-123.86848	4.840749	616.0279438495636
11	2804.2222	202.16193	3055.1694	2544.9968	3196.0376	158.5642	3517.3445	2930.5151	1000.0	1000.0	55000	151.59694	58.055054	275.20367	20.73325	-153.68864	6.142486	677.7599892616272
12	3278.843	202.84232	3559.301	3076.2976	3550.3953	759.36847	4029.8718	1422.0684	1000.0	1000.0	60000	184.58278	68.546036	316.4834	22.646673	-186.9177	7.0843477	740.8201031684875
13	3481.391	621.4891	3835.6252	2240.0212	3514.8704	1249.8304	4053.077	-226.8767	1000.0	1000.0	65000	219.8396	77.405075	360.0172	15.0233345	-222.29906	7.9947	801.7576849460602
14	3986.523	169.06659	4106.0156	3654.6924	4325.964	163.00859	4548.331	4080.973	1000.0	1000.0	70000	252.23914	85.37994	398.61356	13.314405	-254.64494	9.182136	863.7258913516998
15	3961.323	78.834274	4072.593	3828.7249	4513.6743	93.7983	4634.3535	4319.976	1000.0	1000.0	75000	285.10757	90.252884	434.89062	44.874023	-287.71634	10.373454	924.6196415424347
16	3301.332	1830.4197	4298.705	-355.5524	4599.2065	90.562805	4757.4214	4457.095	1000.0	1000.0	80000	316.29422	92.74043	458.8791	68.132355	-318.912	10.629647	984.2037856578827
17	3968.982	735.37195	4417.565	2503.8103	4641.711	99.55538	4821.795	4482.937	1000.0	1000.0	85000	339.081	99.93994	486.09286	78.71367	-341.4814	11.29677	1045.67027926445
18	4315.7397	74.263054	4401.019	4182.671	4338.2427	366.40808	4558.134	3255.5146	1000.0	1000.0	90000	358.90707	108.94633	505.20914	63.16479	-361.2758	12.111823	1105.3232583999634
19	4326.3784	66.93432	4414.6035	4252.463	4783.4473	68.12297	4850.6094	4675.423	1000.0	1000.0	95000	376.9393	115.89199	527.12714	45.199703	-379.22437	11.948595	1164.5473885536194
20	4261.2686	73.936615	4330.3115	4124.231	4557.8154	95.17196	4688.968	4345.356	1000.0	1000.0	100000	393.07812	119.266685	541.22266	55.88641	-395.36282	11.922276	1223.3003659248352
21	4379.6553	65.821976	4443.2124	4258.433	4627.2197	91.867805	4745.3457	4427.3384	1000.0	1000.0	105000	406.85962	122.291985	548.6173	39.624825	-409.0509	11.995838	1282.2233612537384
22	4422.6665	97.38731	4566.2485	4320.476	4687.837	131.55394	4923.2266	4561.065	1000.0	1000.0	110000	418.89948	123.42089	555.5276	39.340805	-421.1055	11.714569	1340.8489842414856
23	3494.8977	1670.46	4408.8945	155.95447	4701.089	91.843475	4815.9424	4522.5244	1000.0	1000.0	115000	425.07425	127.45081	561.0116	30.141624	-427.09375	12.296175	1401.5102591514587
24	4388.5757	51.89539	4429.293	4285.9775	4415.461	827.2612	4792.68	1944.1763	1000.0	1000.0	120000	431.5503	129.85657	569.1621	24.71915	-433.53326	12.954095	1462.0270237922668
25	4307.1904	74.34267	4399.8486	4217.5244	4578.818	389.951	4808.2197	3437.798	1000.0	1000.0	125000	437.99765	130.5259	573.4168	10.350129	-439.9502	12.452601	1522.5644459724426
26	4401.3853	128.01587	4580.537	4263.3135	4306.0615	1040.2484	4844.5986	1198.2278	1000.0	1000.0	130000	444.00058	128.14189	571.4406	14.732041	-445.9608	12.226295	1583.0445942878723
