Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
1	-288.5732	43.044346	-240.50388	-366.86844	-471.15836	41.96216	-431.14005	-576.18524	1000.0	1000.0	5000	6.0666647	5.859328	30.724907	-5.150662	6.066638	5.859982	30.847172	-5.1212893	7.2032156	6.092127	32.32564	-14.078543	-1.4299289	3.0345497	98.12392	-13.054565	-7.4513025	0.13399237	0.12749851	0.27659726	40.32025218009949
2	-345.202	69.789635	-234.69328	-409.06903	-569.118	164.7366	-304.35385	-843.4841	1000.0	1000.0	10000	36.848507	14.326161	83.64331	1.7886703	36.848644	14.326493	84.97101	1.8748538	39.344524	14.736773	89.09472	3.8716617	2.3080568	3.7059746	26.228207	-14.399689	-40.155994	0.4844941	0.46042958	0.96556807	79.8060073852539
3	9.161005	385.84692	646.8901	-408.85526	558.04474	434.14337	1292.8984	-73.30097	1000.0	1000.0	15000	65.64139	13.735556	103.84353	25.305246	65.64167	13.73567	105.899765	26.696665	66.82562	13.886126	104.390495	26.375557	0.50830674	3.4066029	34.429665	-15.555687	-67.78415	0.830079	0.7910841	1.5154973	123.20458817481995
4	1381.5476	255.38159	1730.0242	992.15137	2449.2896	31.330683	2513.9255	2413.912	1000.0	1000.0	20000	68.05018	19.435644	114.1244	21.496284	68.05058	19.435377	113.48146	21.917124	68.6896	19.345284	112.29011	24.058823	-0.9043003	2.6921408	22.660843	-13.761263	-69.46828	0.60118693	0.5772584	1.08104	166.00574851036072
5	2310.4565	223.81854	2591.2852	1980.9402	3108.535	450.8098	3622.7798	1903.0945	1000.0	1000.0	25000	79.46672	26.331772	151.16338	20.233948	79.466736	26.332207	152.09714	20.39091	80.19612	26.049353	150.02097	21.588364	-0.051080555	3.129854	32.571247	-12.081172	-81.005684	1.0031561	0.96610606	1.5276088	208.6914839744568
6	3039.0322	337.98157	3346.0334	2399.5815	3725.7163	138.50726	3959.3484	3490.8757	1000.0	1000.0	30000	100.74359	35.169327	182.62149	18.228222	100.74409	35.170597	182.48549	17.148737	101.49643	34.688625	181.57994	16.871616	0.91182715	3.5131319	47.531162	-16.274143	-102.43803	1.7266705	1.6201494	2.3829622	251.2091748714447
7	3390.2144	74.42382	3489.896	3288.8516	3720.9624	144.1533	3923.7231	3525.346	1000.0	1000.0	35000	125.72854	42.849907	216.15266	16.70306	125.728745	42.851467	216.6076	14.727569	126.42883	42.22277	215.37314	17.769281	1.5465916	3.727444	36.505234	-14.265153	-127.5211	2.1544335	2.0490556	2.8987613	294.3523995876312
8	3569.507	164.54706	3721.7463	3263.2466	4148.3467	173.04079	4413.183	3869.7798	1000.0	1000.0	40000	150.82219	48.230354	239.93042	14.806764	150.82253	48.232506	240.32922	15.735733	151.44562	47.49769	241.09889	14.431867	1.9337215	3.8109467	46.888348	-15.252102	-152.59811	2.4221306	2.2419946	3.2269588	337.6104669570923
9	3827.295	71.625656	3952.0815	3733.948	4599.931	74.40023	4756.0933	4497.913	1000.0	1000.0	45000	173.5153	51.915718	260.29327	12.951519	173.51547	51.9174	261.17944	13.296305	174.01709	51.140034	260.2903	15.080238	2.0812013	3.796954	41.814713	-13.316004	-175.19469	2.475997	2.3125496	3.3686347	380.87735867500305
10	4060.689	149.51608	4270.113	3826.546	3814.4739	984.17285	4663.709	1793.3121	1000.0	1000.0	50000	194.20872	55.353687	281.9985	12.043597	194.2085	55.355526	282.4158	12.888426	194.62971	54.54801	279.68552	14.301668	2.2061136	3.7856977	43.58836	-13.449154	-195.8089	2.5686922	2.4349554	3.521146	423.98511576652527
