Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-288.3368	85.061134	-131.16447	-390.46994	-591.2977	2.0300732	-587.6731	-594.7253	1000.0	1000.0	5000	2.875185	3.7200532	24.453802	-9.292332	2.875338	3.7210112	24.366894	-9.226289	-4.3266234	0.46129844	39.23735475540161
2	-312.40347	33.45821	-259.48038	-350.38235	-438.24146	40.165688	-356.34467	-489.55115	1000.0	1000.0	10000	16.945349	8.7897005	49.415524	-17.6363	16.946287	8.790199	50.07282	-16.928825	-20.06663	1.7590188	79.06708693504333
3	-464.66675	66.892494	-390.52136	-564.6261	-548.3842	24.269789	-508.52374	-577.45575	1000.0	1000.0	15000	32.836685	8.277746	73.38618	-3.828946	32.837345	8.277598	72.46915	-6.6796827	-35.33822	3.075234	121.04423356056213
4	-92.03743	440.93527	568.9529	-530.471	-52.66288	464.9124	924.02655	-599.9723	1000.0	1000.0	20000	37.266857	14.791636	79.03643	1.4185663	37.267284	14.791457	78.968094	2.7795253	-39.511982	3.6886954	162.47477316856384
5	1019.57336	763.1873	1674.5654	-431.71378	669.6083	809.90546	1673.074	-447.63214	1000.0	1000.0	25000	43.645256	16.638502	90.69618	3.6253865	43.64569	16.639162	90.77129	4.1402617	-45.41463	3.5282118	205.33871221542358
6	926.13135	771.3779	1780.2915	-348.46017	1487.6284	710.2954	2234.145	-14.124668	1000.0	1000.0	30000	50.904503	19.558393	105.51003	8.314725	50.904846	19.559444	104.42576	8.736992	-52.49912	4.3636003	248.01319813728333
7	2182.3743	352.5651	2524.016	1544.1023	1187.6611	1279.8743	2685.403	-616.8271	1000.0	1000.0	35000	61.58687	26.452543	134.69156	3.6414633	61.586975	26.454035	133.9339	5.1193266	-63.32665	5.651176	290.38578701019287
8	2069.5312	790.71014	3019.06	986.7306	1729.8883	1361.14	3045.7073	-448.89975	1000.0	1000.0	40000	74.94321	34.519238	158.64917	2.0563262	74.94309	34.521797	159.11539	2.085999	-77.04252	8.430807	333.6244945526123
9	2167.9695	1472.9773	3293.418	-496.93713	3626.3425	142.77985	3877.2559	3320.929	1000.0	1000.0	45000	85.96119	45.276657	182.09459	-2.468178	85.961525	45.27897	184.61848	-2.48749	-88.20927	11.518454	375.32830929756165
10	3575.972	202.03268	3819.123	3327.97	3852.5032	154.17168	4088.6194	3545.9617	1000.0	1000.0	50000	103.24428	54.94391	208.8706	-6.090433	103.244675	54.945873	209.94041	-4.7066517	-105.855835	13.779319	418.1025700569153
11	3714.9753	162.61377	4029.7905	3588.2334	4028.6753	110.63783	4205.15	3844.0134	1000.0	1000.0	55000	122.92144	63.06006	231.90105	-8.190441	122.922	63.06171	233.66756	-7.8030896	-125.57746	15.547338	461.11374163627625
12	4070.891	185.25725	4377.4517	3794.7676	4072.1062	154.526	4275.079	3790.9573	1000.0	1000.0	60000	142.83499	69.88994	267.20428	-8.808744	142.83537	69.89089	262.88696	-8.591282	-145.56335	16.848879	504.7844445705414
13	4078.864	177.43819	4280.9644	3780.425	4477.038	95.097275	4658.8906	4326.1636	1000.0	1000.0	65000	161.98383	75.84944	279.96936	-8.8842535	161.9847	75.84998	280.90045	-8.85371	-164.56665	19.57574	547.8300290107727
14	4412.939	133.10362	4612.786	4199.769	4380.889	149.73695	4555.726	4069.5098	1000.0	1000.0	70000	180.63486	80.301476	300.09	-11.111019	180.63553	80.3019	297.07593	-7.438332	-183.44162	20.881678	590.9462003707886
15	4521.9414	100.17131	4680.0347	4414.273	4538.807	86.16526	4719.6113	4442.638	1000.0	1000.0	75000	199.1584	83.94861	315.3878	-6.3075233	199.15923	83.949	314.26736	-5.5635996	-202.05334	21.992582	632.5760757923126
16	4563.116	145.46371	4753.678	4393.0776	5163.234	117.94706	5346.7607	5022.965	1000.0	1000.0	80000	216.80127	86.771965	328.86105	-0.9554311	216.80171	86.77254	330.29318	-0.8000603	-219.73615	22.291666	675.8704664707184
17	4788.502	184.37997	4931.1865	4426.963	4687.7827	1025.546	5264.1714	1651.6165	1000.0	1000.0	85000	233.91158	89.5478	350.5466	2.5462632	233.91194	89.548225	350.1742	-9.297287	-236.6219	22.345146	720.1382751464844
18	4843.418	139.16249	5026.038	4624.309	5005.3203	82.9905	5123.6816	4821.4214	1000.0	1000.0	90000	249.83028	91.48456	366.6151	-1.950968	249.83116	91.48463	366.6405	-1.31235	-252.68048	22.199356	763.9855935573578
19	5034.724	187.97672	5192.1206	4670.5864	5191.0283	80.26451	5307.0054	5069.342	1000.0	1000.0	95000	264.67166	92.90264	373.918	3.9643812	264.6723	92.90306	374.59164	-0.6577697	-267.511	23.224094	807.3492348194122
