Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	-714.67566	166.70877	-529.7488	-919.09076	1000.0	0.058127455	1.0598302	2.9125464	-2.7471828	4000	1.6856194e-07	5049.141	-0.05661147	-1110.3093	0.008776475	0.0	4.944094657897949
1	-793.44995	242.88637	-620.7805	-1212.3506	1000.0	-5.5825057	8.993381	15.305054	-16.290379	8000	3.233552e-08	5643.9946	-0.055841148	-1808.9766	0.0088133365	0.0	9.683794021606445
2	-686.49225	196.33456	-563.25653	-1026.3326	1000.0	-18.07771	8.666488	22.2325	-24.088083	12000	4.7683715e-09	2690.824	-0.054275814	-891.145	0.00878389	0.0	14.446787357330322
3	-722.3782	110.70016	-561.0661	-861.53796	1000.0	-29.658232	2.312731	19.072025	-30.570545	16000	1.6212464e-08	1867.1487	-0.05502162	-354.4054	0.008707937	0.0	19.24469566345215
4	-714.65576	134.29614	-560.1411	-909.38275	1000.0	-35.704548	1.0008976	6.548856	-35.96318	20000	-3.1471252e-08	1423.254	-0.053572953	-242.83374	0.008925371	0.0	23.863722801208496
5	-626.4909	80.98222	-555.0522	-762.4472	1000.0	-40.4465	0.5543606	-21.796633	-40.583748	24000	1.2874604e-08	609.3035	-0.0557986	-64.4798	0.008784242	0.0	28.48715043067932
6	-725.47424	110.201225	-614.5945	-864.50916	1000.0	-42.984867	0.42094052	-34.776512	-43.161297	28000	2.9325486e-08	1485.4253	-0.05676079	-157.8064	0.008829189	0.0	32.913225412368774
7	-674.45874	40.657867	-618.12714	-732.1024	1000.0	-46.906143	0.35234272	-37.036247	-47.044735	32000	-3.5762787e-10	745.1665	-0.05795398	-53.526917	0.008868399	0.0	37.34876561164856
8	-659.34766	95.298256	-537.9202	-781.0927	1000.0	-49.210163	0.94895643	-20.024645	-49.47215	36000	-2.1457671e-09	909.90173	-0.06269995	-49.312195	0.00895537	0.0	41.884390354156494
9	-625.4334	111.23388	-492.8895	-787.0551	1000.0	-51.546673	0.6919081	-36.040436	-51.770344	40000	2.157688e-08	850.3946	-0.0589439	-21.140808	0.00886389	0.0	46.433311223983765
10	-600.31177	107.276596	-523.2618	-784.91656	1000.0	-52.368366	2.2858644	-8.655805	-52.899174	44000	-3.8146974e-09	476.6791	-0.06168946	-8.211853	0.008915825	0.0	51.31152057647705
11	-651.79675	158.11339	-484.27545	-897.2479	1000.0	-52.516407	2.7184565	-1.1330504	-53.166447	48000	-2.360344e-08	766.8955	-0.057225738	-27.345276	0.008739348	0.0	55.72184920310974
12	-517.25714	69.13268	-415.94293	-606.6765	1000.0	-53.464172	3.9987495	3.506814	-54.67969	52000	6.9141386e-09	630.56885	-0.058185037	-93.32257	0.0087315915	0.0	60.179083824157715
13	-633.68036	89.130516	-530.094	-758.72076	1000.0	-47.633083	8.326541	27.652317	-54.09687	56000	-1.45435335e-08	728.12866	-0.057856653	-92.89844	0.008798094	0.0	64.67883467674255
14	-594.47003	74.15272	-501.3642	-689.9592	1000.0	-50.95179	7.4792423	14.123817	-55.24818	60000	-7.629395e-09	562.608	-0.05895289	-58.047333	0.008908037	0.0	69.20418882369995
15	-604.5364	87.2061	-518.6153	-749.5658	1000.0	-51.968067	5.250548	8.8164625	-55.56893	64000	1.8239021e-08	619.6356	-0.05617083	-42.124146	0.008790093	0.0	73.70546555519104
16	-642.6745	168.08759	-453.59863	-900.28406	1000.0	-50.436287	6.8543267	3.3743625	-56.383423	68000	-3.8146974e-09	564.7087	-0.06223068	-58.213318	0.008662288	0.0	78.21787118911743
17	-615.1396	117.30101	-531.33405	-815.06647	1000.0	-55.024544	4.9027853	-11.863397	-58.373337	72000	-1.9073486e-08	481.49646	-0.06291573	-64.00305	0.008909526	0.0	83.0139422416687
18	-539.30945	95.28182	-403.84753	-630.21765	1000.0	-53.151554	5.518797	-24.456007	-59.57244	76000	6.9141386e-09	530.5696	-0.056465674	-89.75882	0.008872909	0.0	87.81060099601746
19	-609.33563	15.098232	-584.93713	-623.4871	1000.0	-50.747375	7.5171494	15.662805	-59.356976	80000	1.4305114e-08	398.45483	-0.06286738	-44.83615	0.008826218	0.0	92.3620810508728
20	-583.85535	62.139126	-514.31354	-683.85724	1000.0	-51.40853	7.3873277	-3.748376	-59.653893	84000	6.198883e-09	489.08493	-0.058637686	-46.51523	0.00885256	0.0	97.33675241470337
21	-620.871	73.15995	-512.0356	-718.3042	1000.0	-49.162216	8.01646	12.716526	-60.09366	88000	-4.7683715e-09	458.2023	-0.0573123	-71.44098	0.008780905	0.0	101.79700589179993
22	-471.3114	54.870216	-393.69217	-546.0738	1000.0	-49.91967	7.6945324	-12.728355	-61.64653	92000	1.5199184e-08	517.1392	-0.057169206	-128.16367	0.008798059	0.0	106.33752942085266
23	-644.69104	67.25794	-577.52637	-719.40955	1000.0	-39.212097	13.739006	12.136002	-61.52068	96000	1.66893e-08	752.86475	-0.05432749	-350.78027	0.008737202	0.0	111.00904488563538
24	-624.0211	60.133022	-549.7991	-692.4546	1000.0	-55.56616	8.1340275	-7.3606377	-64.05843	100000	-7.1525574e-10	451.38586	-0.060259715	-40.01129	0.008773413	0.0	115.72118949890137
25	-603.36523	78.098656	-519.0073	-683.4659	1000.0	-56.484436	8.660819	24.01601	-64.35843	104000	1.3113022e-08	632.5282	-0.05716121	-95.910095	0.008938478	0.0	120.18020415306091
26	-556.78455	92.452515	-467.75916	-711.7457	1000.0	-49.511143	10.128689	13.382412	-64.56362	108000	2.9087067e-08	468.90573	-0.057402164	-61.92206	0.008816	0.0	124.90466833114624
27	-572.46924	124.60174	-455.08435	-780.07275	1000.0	-51.563095	11.880648	18.775412	-64.94049	112000	-2.7894973e-08	616.2376	-0.058431923	-135.56866	0.008915368	0.0	129.48179697990417
28	-546.6567	63.372482	-489.53027	-654.04755	1000.0	-47.731827	13.905913	22.029385	-64.92118	116000	3.33786e-08	461.24982	-0.05993318	-92.81381	0.008815117	0.0	134.00809025764465
29	-578.76086	76.63126	-489.50482	-697.3485	1000.0	-54.282093	10.301073	16.327961	-65.22443	120000	1.502037e-08	913.2421	-0.05618437	-113.66809	0.008864461	0.0	138.41545033454895
30	-439.9314	46.92983	-384.87848	-508.1676	1000.0	-43.46921	13.541996	19.617422	-66.467705	124000	1.4305115e-09	562.70715	-0.057797503	-174.99118	0.008808316	0.0	143.3236906528473
31	-529.7654	57.009888	-442.38132	-586.809	1000.0	-42.299118	7.437196	15.4442835	-65.55706	128000	2.7418137e-08	375.3975	-0.05706009	-104.86499	0.008865532	0.0	147.74806833267212
32	-515.2904	39.38615	-467.37967	-556.3586	1000.0	-47.173706	8.908563	16.39849	-66.51944	132000	1.5497207e-08	281.89337	-0.05938636	-36.755722	0.0089467205	0.0	152.24059200286865
33	-536.2093	178.65257	-305.63193	-804.42053	1000.0	-36.92893	16.610617	24.028103	-66.15581	136000	-3.242493e-08	671.2834	-0.05826049	-275.90237	0.008924942	0.0	156.6114935874939
