Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-263.64175	82.65226	-144.6195	-367.20285	-595.11847	1.199268	-593.1484	-597.06445	1000.0	1000.0	5000	22.313913	24.718964	116.63637	-5.2405634	-26.3001	1.7965502	58.78273153305054
2	-317.8163	69.77225	-253.54366	-447.3582	-594.8911	4.237827	-588.2753	-603.27734	1000.0	1000.0	10000	188.8715	65.45025	346.6424	47.23515	-200.0877	12.935758	119.71266508102417
3	-491.6823	135.06076	-314.6929	-686.09717	-549.4089	37.699287	-463.78076	-603.206	1000.0	1000.0	15000	337.05066	16.482672	385.3096	246.59267	-342.50085	20.469532	183.598073720932
4	-443.65665	183.74289	-233.91873	-742.41235	-409.5795	212.46056	-190.86998	-900.77545	1000.0	1000.0	20000	351.00485	14.1807995	537.97	310.30566	-353.8814	17.269526	245.56681776046753
5	-548.3029	102.40337	-374.59537	-663.7931	-599.74384	1.0282321	-597.9605	-601.35944	1000.0	1000.0	25000	306.19543	16.742054	414.0502	257.83618	-308.48404	10.061142	309.23847246170044
6	-505.02774	263.07608	-264.65265	-994.21356	-444.28754	48.974525	-373.7559	-531.7269	1000.0	1000.0	30000	292.5615	16.016201	401.98654	243.80492	-294.424	7.7835217	372.28849816322327
7	-340.0951	193.286	-49.51259	-593.07874	464.97113	134.71721	707.63947	297.98538	1000.0	1000.0	35000	238.63907	22.616348	325.99002	183.17137	-239.34454	5.7519197	434.60275197029114
8	182.40213	526.91986	932.54675	-552.82404	-435.47833	138.61476	-309.0475	-782.7861	1000.0	1000.0	40000	201.93953	18.014162	291.00842	166.75949	-203.47372	5.6255302	497.5417606830597
9	-601.5506	125.53732	-404.08475	-773.678	-564.3211	42.217503	-470.89734	-622.5308	1000.0	1000.0	45000	189.42934	15.71527	277.31848	145.54785	-190.71605	4.6258483	559.876467704773
10	-427.38126	118.60086	-240.68373	-572.238	-457.6223	64.25318	-331.1774	-571.73724	1000.0	1000.0	50000	165.6684	8.438447	205.60397	136.09976	-167.11111	3.4067101	622.6873912811279
11	-605.4647	222.89592	-274.07916	-897.9938	-33.03395	67.85821	28.47166	-169.13203	1000.0	1000.0	55000	145.82608	9.798455	189.88512	112.22404	-146.79698	2.6991055	684.9790458679199
12	-43.485107	196.4917	249.7652	-271.73773	203.49844	336.37656	672.83246	-372.31772	1000.0	1000.0	60000	123.07446	12.003752	172.7425	84.514534	-123.8067	2.400134	746.7386469841003
13	-37.786125	172.89941	181.15173	-215.68413	526.5442	546.5509	1571.9526	-248.74371	1000.0	1000.0	65000	106.12759	15.24592	153.00548	63.198116	-107.07448	2.6074116	807.526773929596
14	472.6811	449.31097	1325.6011	61.285225	279.81528	542.63153	1603.8396	-249.2541	1000.0	1000.0	70000	99.47873	23.449549	166.79404	44.448376	-100.67811	3.2602684	869.8359606266022
15	469.9167	812.48267	1384.3767	-550.8134	181.75165	728.2953	1530.8824	-740.20416	1000.0	1000.0	75000	101.56929	33.79623	187.6671	31.445078	-102.97544	4.5177197	931.5549893379211
16	624.1822	1121.1256	2240.0596	-715.64557	902.855	701.50964	2081.1577	-142.76031	1000.0	1000.0	80000	106.871056	43.748714	208.40631	20.329557	-108.2935	5.408238	993.4766144752502
17	474.45844	557.6863	1498.3141	-152.73405	759.5288	919.6859	2001.3955	-667.26935	1000.0	1000.0	85000	111.93704	54.27875	234.42949	9.232366	-113.45722	6.406387	1055.5989181995392
18	849.2404	949.78723	2094.7107	-131.33792	1341.7776	723.1813	2245.0808	-7.1777205	1000.0	1000.0	90000	117.04387	63.091236	252.39452	7.3256593	-118.520226	8.497709	1117.8704552650452
19	680.4841	768.46	2154.9536	-56.13292	1287.3533	976.14636	2474.4797	69.192566	1000.0	1000.0	95000	123.121475	72.13567	266.93503	-4.0948095	-124.66702	10.054792	1180.8009576797485
20	1896.7659	769.9328	2899.945	902.0734	2250.211	860.00024	2917.2969	-39.548527	1000.0	1000.0	100000	133.72667	79.59932	286.8736	-6.056406	-135.53438	11.074761	1243.1024560928345
21	2094.1785	767.96344	2577.5325	571.096	2055.9937	854.979	3063.61	290.12595	1000.0	1000.0	105000	147.34491	85.995255	307.8834	-5.1283607	-149.12497	11.514811	1304.8471748828888
22	2496.7405	192.94304	2694.489	2201.1013	2340.0598	821.57007	2963.5513	44.625027	1000.0	1000.0	110000	161.78677	92.79445	322.07727	-12.029346	-163.62885	11.855475	1365.834370136261
23	2866.4968	201.32964	3075.151	2517.9163	724.6804	1222.8708	3314.3472	-525.754	1000.0	1000.0	115000	176.3933	98.07237	364.1214	-6.0891	-178.2824	13.157819	1427.2225642204285
24	1754.2117	1123.0172	3235.0593	111.54932	1242.7369	1490.4026	3669.7146	-533.21857	1000.0	1000.0	120000	189.88242	105.66995	381.04053	-22.943972	-191.79663	15.895728	1488.9726786613464
25	1768.524	887.9809	3493.7285	1080.4313	2270.324	1053.8455	3194.946	-119.60612	1000.0	1000.0	125000	197.81361	115.922195	403.96445	-37.54482	-199.62813	19.56854	1550.0388584136963
26	2846.3892	622.99567	3484.164	2040.2189	2209.3625	1267.329	3435.136	-548.96356	1000.0	1000.0	130000	207.38638	125.04044	420.0163	-39.609913	-209.28133	21.366282	1612.0470559597015
27	2354.6616	1290.3202	3617.3162	241.0447	517.0163	814.25525	2573.9497	-500.03735	1000.0	1000.0	135000	218.0529	132.46655	437.66544	-28.756319	-220.0059	22.986622	1673.6558759212494
