Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	-658.338	9.635378	-650.5529	-674.4858	1000.0	-0.09260283	0.6244187	1.8508453	-2.0385644	4000	1.501739e-07	3911.3975	-0.06276125	-1363.3201	0.008909538	0.0	5.797643423080444
1	-594.46594	46.432064	-556.8917	-671.1225	1000.0	-2.7914238	10.8943205	14.625692	-15.311879	8000	6.2048436e-08	3205.5144	-0.060878705	-1181.2301	0.008910123	0.0	10.06998324394226
2	-563.7068	59.003693	-471.63202	-634.05493	1000.0	-16.036114	4.683842	12.19297	-19.684906	12000	-3.8266183e-08	1645.3837	-0.07073151	-646.7269	0.00877512	0.0	14.52474570274353
3	-608.308	25.12179	-570.4688	-636.7316	1000.0	-25.89095	1.3354944	5.312655	-26.410053	16000	5.197525e-08	1144.074	-0.06831722	-346.12152	0.008874375	0.0	19.699759006500244
4	-514.26306	81.73095	-383.5318	-603.1445	1000.0	-31.966782	1.3111078	-9.968679	-32.30649	20000	7.9929826e-08	542.5225	-0.07025236	-99.94855	0.008768293	0.0	24.590235710144043
5	-588.374	25.857763	-551.7567	-613.03577	1000.0	-34.87544	2.2719252	3.8361218	-35.640232	24000	6.532669e-08	594.9663	-0.06509556	-138.70593	0.008846526	0.0	29.646247148513794
6	-603.2225	46.29476	-527.1159	-652.30963	1000.0	-38.863964	1.6718777	-2.6808996	-39.370697	28000	3.6239623e-08	483.54944	-0.07051061	-111.74341	0.008792395	0.0	34.779635190963745
7	-535.7251	70.6793	-445.34872	-627.5323	1000.0	-42.689423	0.56495464	-31.942913	-42.8806	32000	1.3828277e-08	368.56845	-0.06307666	-26.507141	0.008927358	0.0	39.97862887382507
8	-530.0517	20.657026	-505.78012	-560.8183	1000.0	-44.506924	1.2543229	-10.024327	-44.726227	36000	-3.0994416e-09	276.19415	-0.06345608	-19.301422	0.008870024	0.0	44.65575575828552
9	-561.8347	42.149086	-497.63596	-608.9	1000.0	-46.054737	1.4475341	-13.770772	-46.30617	40000	-9.536743e-09	198.62741	-0.06700033	-11.493713	0.0087203905	0.0	49.20557689666748
10	-556.56995	54.926373	-486.8137	-640.0439	1000.0	-47.348015	0.7700977	-25.512527	-47.509926	44000	4.053116e-09	290.79218	-0.067674965	-14.680756	0.008861997	0.0	54.4474081993103
11	-455.32455	99.601906	-292.05734	-562.275	1000.0	-47.955257	5.467103	45.505013	-48.859497	48000	1.2278557e-08	293.44382	-0.06517819	-71.76683	0.008876652	0.0	58.93629240989685
12	-504.40094	70.465645	-425.66833	-618.4122	1000.0	-45.45574	4.289398	12.093458	-48.131	52000	1.5974045e-08	197.24391	-0.06054831	-12.6879425	0.008962109	0.0	63.4836905002594
13	-521.6213	41.0286	-473.9811	-564.53186	1000.0	-42.349102	11.778534	43.75238	-48.15212	56000	-2.5510788e-08	328.32718	-0.06252862	-145.354	0.008877202	0.0	67.77520108222961
14	-466.35303	36.0461	-435.4322	-527.6869	1000.0	-47.750538	1.9796588	-18.05329	-48.628014	60000	-1.0490417e-08	192.55464	-0.067761436	-27.66745	0.008799105	0.0	72.46644353866577
15	-483.55515	35.21816	-438.0632	-523.65015	1000.0	-44.415947	4.7200065	12.71413	-47.718597	64000	-2.3126603e-08	205.41422	-0.06820116	-18.639404	0.008879227	0.0	76.92376446723938
16	-508.3439	36.293617	-462.78134	-558.4115	1000.0	-45.20004	4.3823924	-7.3564706	-47.97189	68000	-1.7523766e-08	224.65338	-0.0670599	-11.35704	0.008815263	0.0	81.72679471969604
17	-472.13284	47.921005	-416.77505	-540.2771	1000.0	-45.891163	5.0089755	2.167938	-48.235996	72000	1.07288365e-08	243.0885	-0.064130604	-27.946808	0.008987415	0.0	86.15099143981934
18	-498.16754	27.703056	-458.85913	-536.72205	1000.0	-40.86875	11.600224	40.090614	-48.11774	76000	-2.026558e-08	350.67242	-0.061962403	-140.98581	0.008852259	0.0	90.80455875396729
19	-524.8578	31.295176	-476.57095	-560.30634	1000.0	-45.579403	5.261577	0.17926025	-48.733223	80000	-1.0967255e-08	284.062	-0.06402484	-45.794632	0.008817536	0.0	95.55691075325012
20	-523.1069	32.509224	-476.28036	-564.6508	1000.0	-48.420483	2.4652085	-1.2121567	-49.285362	84000	1.45435335e-08	166.32808	-0.06761572	-4.7147064	0.008932337	0.0	100.40759611129761
21	-457.82422	62.700394	-354.8118	-524.3005	1000.0	-47.665016	2.9976983	-10.015593	-49.066437	88000	3.5762786e-09	240.75217	-0.066407606	-63.174423	0.008944027	0.0	104.95249485969543
22	-528.50146	61.171562	-454.60855	-597.4407	1000.0	-42.771935	4.576752	1.7431954	-47.74927	92000	1.9550324e-08	366.3238	-0.062169887	-78.25812	0.008878794	0.0	109.52673673629761
23	-477.2141	56.713184	-388.7512	-546.0799	1000.0	-45.678665	3.0353208	-16.576157	-48.559143	96000	-3.1471252e-08	189.94472	-0.06299576	-15.153473	0.00885751	0.0	113.90776562690735
24	-461.86725	59.78895	-400.1959	-560.8335	1000.0	-43.882694	3.6161385	-3.6987915	-48.00959	100000	5.2452087e-09	209.39609	-0.06693541	-18.55371	0.008944622	0.0	118.34359121322632
25	-520.49347	27.932472	-476.1631	-551.3984	1000.0	-43.703968	4.5771937	13.859421	-47.90636	104000	-1.2218952e-08	264.28574	-0.06362387	-43.753143	0.009026444	0.0	122.91961765289307
