Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	-593.15796	41.22049	-530.3291	-644.0028	1000.0	0.017248658	0.7757399	2.2520566	-2.2204928	4000	4.8160555e-08	3362.3916	-0.05899049	-891.6245	0.008790251	0.0	5.7069666385650635
1	-504.55774	90.10539	-361.1908	-609.2665	1000.0	-9.907176	5.0904317	8.889326	-15.7564335	8000	2.8252602e-08	1884.1973	-0.057668462	-736.7942	0.008830851	0.0	10.49570107460022
2	-542.9659	100.22461	-434.05344	-704.8318	1000.0	-12.924519	16.030851	22.949389	-23.268297	12000	1.5079975e-08	2236.1218	-0.058800623	-1254.9849	0.008825803	0.0	15.292724370956421
3	-548.85925	121.39282	-380.76385	-698.5136	1000.0	-27.234055	1.2537936	-7.296056	-27.782595	16000	-2.7358531e-08	986.9973	-0.0605821	-203.25146	0.008857386	0.0	20.257425546646118
4	-523.722	82.040665	-430.017	-643.21436	1000.0	-32.503567	1.0482985	-12.72022	-32.939682	20000	2.5391579e-08	660.53644	-0.0602737	-92.98016	0.008670944	0.0	25.25813055038452
5	-501.88464	73.234505	-423.09192	-594.38403	1000.0	-36.087105	1.3305235	-7.559987	-36.555035	24000	-1.0371208e-08	520.3698	-0.058159366	-49.959198	0.008729809	0.0	30.36480474472046
6	-484.61557	104.98707	-310.27295	-571.13007	1000.0	-38.93966	0.7940605	-22.872887	-39.242702	28000	4.1723253e-10	592.3391	-0.06201278	-51.0755	0.008783415	0.0	35.28676104545593
7	-579.42883	48.124054	-523.005	-632.54	1000.0	-39.67969	4.560404	15.105422	-41.356464	32000	2.8133393e-08	652.1731	-0.06092135	-106.420715	0.008858402	0.0	40.218002796173096
8	-543.4433	81.477776	-403.59644	-607.8862	1000.0	-44.393257	1.0924629	-13.791843	-44.72047	36000	9.775162e-09	478.38956	-0.06127528	-28.194061	0.008852034	0.0	45.35028004646301
9	-465.84088	107.25838	-281.4287	-539.9797	1000.0	-45.28468	3.7099552	-0.4128956	-46.623947	40000	3.8146972e-08	586.0959	-0.06344459	-59.045166	0.008972528	0.0	50.360461473464966
10	-581.3388	80.08921	-493.6944	-676.92694	1000.0	-43.18463	6.0371823	9.646282	-46.730515	44000	-9.059906e-09	557.9809	-0.063258454	-58.210907	0.00887206	0.0	55.544368505477905
11	-557.91846	137.80562	-321.24957	-665.45953	1000.0	-47.244915	4.4961033	3.4814713	-48.98466	48000	-2.7179718e-08	354.8767	-0.061868124	-33.86676	0.008885809	0.0	60.64771890640259
12	-609.4635	70.42092	-497.39688	-692.2121	1000.0	-41.371666	13.037915	37.41303	-50.688793	52000	-4.9591065e-08	756.1071	-0.05915914	-363.30945	0.008778521	0.0	65.61117696762085
13	-438.82138	91.18505	-310.62247	-547.45166	1000.0	-51.387928	2.8837597	-1.6719629	-52.660816	56000	-3.2663344e-08	576.1447	-0.06080482	-151.50253	0.008840674	0.0	70.57375192642212
14	-539.5055	58.9888	-462.49152	-617.7843	1000.0	-43.362644	7.028569	4.083718	-50.64453	60000	1.1324882e-08	317.14282	-0.06177553	-64.364624	0.008774479	0.0	75.70517015457153
15	-552.66907	76.04299	-427.5977	-626.8967	1000.0	-47.350952	5.2339654	3.709927	-51.30901	64000	-2.849102e-08	430.73956	-0.06272324	-29.27362	0.008873355	0.0	80.89618802070618
16	-509.5343	121.94347	-312.7873	-615.6483	1000.0	-49.40575	5.117517	-1.6211866	-52.433403	68000	-2.6583672e-08	491.9875	-0.058835577	-87.28079	0.008842994	0.0	86.17920541763306
17	-507.9917	85.22477	-380.50537	-620.5306	1000.0	-46.880413	8.165763	2.4910107	-52.756096	72000	-1.9073487e-09	382.3378	-0.060740445	-55.000183	0.008722094	0.0	91.20263075828552
18	-520.04974	38.03799	-461.7454	-568.04175	1000.0	-48.871212	8.739512	4.0835485	-53.751877	76000	2.0742416e-08	231.98645	-0.066358365	-30.190796	0.008811953	0.0	96.15758967399597
19	-558.9605	40.373165	-490.5616	-594.3289	1000.0	-40.684055	12.91449	-0.573318	-54.380955	80000	1.5377998e-08	565.7053	-0.06279632	-189.74115	0.00887538	0.0	101.00742602348328
20	-506.52142	110.50031	-358.63095	-617.81915	1000.0	-50.13086	9.026661	9.308896	-55.854343	84000	-6.9141386e-09	559.6253	-0.057664312	-81.19171	0.008900393	0.0	106.08330273628235
21	-595.3777	38.949417	-551.56134	-658.28815	1000.0	-38.52125	20.270723	47.61989	-55.431087	88000	1.5735626e-08	969.86725	-0.058591966	-644.7804	0.008872379	0.0	110.78738307952881
22	-562.00226	52.945065	-482.85916	-623.2086	1000.0	-54.313335	3.3042984	-14.423696	-56.182415	92000	5.00679e-09	346.51852	-0.06853946	-23.147064	0.008948689	0.0	115.56170845031738
23	-552.8396	153.08531	-324.99667	-748.7734	1000.0	-49.994514	6.378211	-2.6141758	-56.225792	96000	8.8214875e-09	692.0297	-0.059168167	-59.002502	0.0088855745	0.0	120.53995060920715
24	-529.4641	53.825584	-442.19836	-589.4653	1000.0	-52.232006	6.9441767	20.257462	-56.62188	100000	-1.9311905e-08	373.31567	-0.060236257	-48.484863	0.008869466	0.0	125.1772985458374
25	-577.94165	46.72699	-525.6083	-635.88184	1000.0	-48.193104	9.670356	24.602856	-55.92518	104000	4.2915342e-09	448.07712	-0.06667785	-75.58264	0.008941927	0.0	129.63297772407532
26	-589.8747	42.888023	-534.69336	-632.8338	1000.0	-51.417297	7.693877	8.224055	-56.13282	108000	2.002716e-08	337.27814	-0.0612719	-68.038574	0.008800079	0.0	134.5978627204895
27	-494.4088	56.9101	-420.82172	-551.8787	1000.0	-53.497	4.2586055	-19.297976	-56.54131	112000	-1.6689301e-09	690.0825	-0.061310947	-135.98737	0.008824292	0.0	139.24463725090027
28	-490.47244	68.977425	-384.7804	-569.4563	1000.0	-47.580494	8.550985	7.5077825	-55.435738	116000	4.768372e-10	329.18457	-0.062074516	-58.702545	0.008777861	0.0	143.97713804244995
29	-567.77655	103.059845	-472.13953	-727.19073	1000.0	-44.450977	11.028143	4.674949	-55.399193	120000	-1.4305114e-08	644.5427	-0.0607715	-198.27399	0.008887353	0.0	148.7820520401001
30	-449.01617	136.09782	-254.50488	-605.1692	1000.0	-52.021084	4.418361	-1.212544	-55.839172	124000	-8.106232e-09	668.07916	-0.06369926	-209.84213	0.008965534	0.0	154.0402374267578
31	-413.4201	100.35598	-286.8171	-564.50995	1000.0	-38.729195	13.011635	35.25706	-54.633106	128000	-2.2172928e-08	680.4244	-0.0559965	-76.724976	0.008812174	0.0	158.87643337249756
32	-579.51544	53.537567	-538.80334	-670.9781	1000.0	-41.324	11.572492	29.059418	-54.08808	132000	1.1444092e-08	475.249	-0.060093347	-289.0401	0.008936545	0.0	162.6190984249115
33	-515.6433	44.883457	-469.86954	-569.3179	1000.0	-50.369236	4.133143	-15.490079	-56.118454	136000	5.722046e-09	232.48033	-0.065097935	-36.448532	0.008754118	0.0	167.2907292842865
34	-506.06186	40.72566	-436.776	-541.6367	1000.0	-48.056892	7.136861	9.694609	-55.12856	140000	-9.536744e-10	293.9892	-0.06675363	-39.0347	0.008910394	0.0	172.29877877235413
35	-478.44763	64.0566	-411.647	-577.0925	1000.0	-42.13955	12.0412445	13.285916	-56.313274	144000	-2.2530555e-08	387.8202	-0.060853407	-86.2453	0.008842548	0.0	176.70156812667847
36	-467.88922	141.72145	-223.2163	-559.9326	1000.0	-44.943436	7.737028	-6.215951	-54.77774	148000	7.1525574e-10	342.06384	-0.06538832	-84.61224	0.0088381255	0.0	181.08878231048584
37	-405.5366	89.41558	-302.17163	-544.89825	1000.0	-34.453518	14.063242	8.897348	-56.54253	152000	1.3768673e-08	530.04767	-0.0566828	-105.25586	0.008852842	0.0	185.47126936912537
38	-553.9648	56.071022	-478.20773	-630.4776	1000.0	-46.81774	8.999636	3.998889	-55.623623	156000	-1.6689301e-09	300.47644	-0.06373172	-57.433502	0.0088092005	0.0	189.9948534965515
39	-446.75552	101.61845	-301.95648	-589.2693	1000.0	-46.07919	11.618716	8.901424	-57.29815	160000	9.536743e-09	342.41833	-0.063034296	-71.46826	0.008928022	0.0	194.31474900245667
40	-465.58594	82.46078	-377.8426	-562.6679	1000.0	-43.384583	9.975416	3.6507013	-55.04384	164000	-2.5749207e-08	255.80185	-0.061849993	-22.086319	0.008808826	0.0	199.12276339530945
41	-478.60333	104.488556	-305.60788	-578.2858	1000.0	-43.876442	10.66401	3.4361098	-55.071846	168000	-2.18153e-08	250.89635	-0.06103633	-18.975754	0.008922574	0.0	203.74715185165405
42	-429.9099	116.99035	-264.50735	-587.3256	1000.0	-36.953888	13.754869	19.108547	-54.979996	172000	2.026558e-08	504.25858	-0.061726343	-255.8142	0.008909834	0.0	208.624990940094
43	-464.70575	50.135822	-388.08508	-513.2424	1000.0	-40.02429	8.987291	0.09846929	-54.513264	176000	2.4080277e-08	276.28757	-0.06089641	-51.53456	0.0088124415	0.0	213.133376121521
44	-554.15204	45.904198	-485.9923	-613.18085	1000.0	-47.23501	8.105188	-6.9685163	-55.49004	180000	-3.3378602e-09	255.79768	-0.0701846	-37.241028	0.008874832	0.0	217.6083209514618
45	-375.53384	115.51884	-269.21756	-570.2875	1000.0	-45.140533	8.608807	-5.0901766	-56.54262	184000	-3.8146974e-09	500.59155	-0.066155404	-182.11145	0.008835831	0.0	222.3876931667328
46	-372.95703	93.19564	-250.42693	-489.42523	1000.0	-37.11357	13.179922	4.8057947	-54.124786	188000	5.4836273e-09	332.32993	-0.060286097	-47.59503	0.008842826	0.0	226.93047451972961
47	-429.30624	136.51457	-286.04333	-588.3174	1000.0	-29.401146	10.683574	10.929806	-51.57623	192000	-3.409386e-08	564.1021	-0.059599806	-290.10306	0.0088308295	0.0	231.36505603790283
48	-459.5052	79.79599	-373.8025	-574.5554	1000.0	-38.01645	9.734891	3.0930638	-55.517155	196000	-1.26361845e-08	301.07468	-0.058474697	-76.34161	0.008783632	0.0	235.99279475212097
49	-526.6149	78.96397	-461.71585	-655.83453	1000.0	-43.987305	8.200917	-12.875251	-56.122128	200000	6.6757204e-09	310.6002	-0.06582597	-76.66463	0.008725702	0.0	240.62040543556213
50	-413.7577	162.81506	-233.9171	-604.2767	1000.0	-46.458633	5.743944	-10.2678995	-56.116356	204000	1.6212464e-08	497.43906	-0.06389937	-186.74289	0.009034247	0.0	245.95997190475464
51	-429.22937	95.88112	-279.15384	-542.818	1000.0	-38.855503	13.268427	12.805249	-55.64521	208000	-1.6212464e-08	279.46594	-0.061511565	-36.411316	0.008932876	0.0	250.2945659160614
52	-403.36484	74.722115	-320.67017	-521.8841	1000.0	-37.85696	11.010928	1.4336408	-53.934856	212000	-7.2717667e-09	311.957	-0.061103564	-32.29706	0.008806771	0.0	254.674786567688
53	-367.47482	99.08973	-231.10585	-476.58923	1000.0	-40.041298	12.5082245	7.7072077	-54.368954	216000	0.0	367.8362	-0.06405676	-98.74634	0.008827279	0.0	259.4299066066742
54	-403.53662	101.78268	-303.73276	-564.766	1000.0	-29.790035	13.601068	3.142928	-53.956547	220000	1.525879e-08	530.0651	-0.060023535	-171.51663	0.008839764	0.0	264.13168478012085
55	-461.7548	71.56098	-343.49484	-531.65	1000.0	-42.43464	8.818358	10.409309	-55.283558	224000	-2.6464463e-08	293.53305	-0.066889375	-33.535645	0.008762415	0.0	268.3658826351166
56	-203.2761	127.45438	-20.927374	-325.83994	1000.0	-34.427383	9.395203	2.7192447	-55.620846	228000	2.9325486e-08	749.07294	-0.059507873	-353.9825	0.008933479	0.0	273.117125749588
57	-500.53268	78.13778	-429.2114	-630.3993	1000.0	-27.786375	13.595533	31.91904	-53.616177	232000	3.0994414e-08	926.0494	-0.05988114	-566.37573	0.008899938	0.0	277.64893412590027
58	-405.803	122.53661	-220.62262	-546.4354	1000.0	-43.59214	7.779806	2.7415268	-58.713478	236000	-2.169609e-08	439.66672	-0.06429702	-139.61429	0.008996101	0.0	282.32592010498047
59	-486.3525	95.9901	-332.3191	-596.6653	1000.0	-43.006516	11.867165	2.8666396	-57.988148	240000	-1.3828277e-08	266.83224	-0.062029477	-51.447525	0.008869515	0.0	286.634503364563
60	-357.43436	118.14146	-205.33556	-490.32288	1000.0	-40.64663	11.012516	-3.4726	-54.727787	244000	1.9550324e-08	261.98016	-0.064475715	-85.67218	0.00888969	0.0	291.8189425468445
61	-425.65857	141.94525	-179.80865	-508.5773	1000.0	-34.54336	12.249502	3.8673024	-51.204575	248000	5.841255e-09	347.71228	-0.06771929	-68.405426	0.008978667	0.0	296.20080852508545
62	-273.92395	120.25206	-134.61351	-448.41486	1000.0	-37.206944	11.062039	3.1552722	-53.015034	252000	-1.9431114e-08	323.66476	-0.06322701	-145.39062	0.008946947	0.0	300.9221432209015
63	-314.01636	112.214645	-134.11766	-443.33316	1000.0	-24.351492	12.478933	7.132012	-47.110382	256000	-1.6689301e-09	344.81003	-0.06410173	-58.340546	0.008917398	0.0	305.8115544319153
64	-358.36996	59.53328	-302.29068	-448.35504	1000.0	-33.81127	11.155649	3.8221397	-48.98073	260000	4.768372e-10	189.67769	-0.06686759	-21.972855	0.0089133885	0.0	310.44877576828003
65	-389.0211	81.594795	-273.01187	-477.756	1000.0	-35.21405	9.24516	1.2559104	-48.31098	264000	6.6757204e-09	318.22476	-0.060606796	-84.70616	0.008996906	0.0	315.29076981544495
66	-406.2655	47.859238	-334.06012	-457.02512	1000.0	-36.063385	11.123732	2.169316	-52.865906	268000	2.503395e-08	220.00676	-0.06044266	-24.364304	0.008896479	0.0	320.15461564064026
