Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
1	-345.7385	71.77283	-215.32361	-412.1091	-357.34674	49.81218	-270.65466	-454.10138	1000.0	1000.0	5000	4.9592786	5.1250215	27.578054	-4.7736254	4.9591017	5.125885	27.35828	-4.510464	5.969179	5.249642	28.8469	-13.2186575	-1.7000525	2.949222	74.5327	-12.862582	-6.2648077	0.13297836	0.13003533	0.29492572	38.9222948551178
2	-281.62646	53.0914	-199.47551	-358.74512	-175.4377	91.91887	-53.080513	-405.4886	1000.0	1000.0	10000	28.079805	11.031526	68.267975	-0.14451772	28.079103	11.031354	69.95823	1.5356917	30.02383	11.486383	71.46097	5.532594	1.1056391	3.4946978	24.150795	-13.755189	-30.729475	0.32537615	0.34156105	0.71736455	77.96784090995789
3	250.46284	465.8024	880.04346	-281.54675	954.10657	445.0786	1321.7855	181.64107	1000.0	1000.0	15000	50.772755	14.109681	94.53448	16.830467	50.772392	14.109506	96.997856	16.689669	51.722687	14.232517	93.341675	18.358238	-0.66898304	3.0612605	31.362862	-14.25222	-52.50745	0.45359004	0.4655893	0.92289466	120.7246425151825
4	911.1666	430.65005	1498.2589	496.90356	2507.459	82.60817	2628.4321	2364.488	1000.0	1000.0	20000	54.968285	16.3832	95.014824	15.257977	54.967796	16.382513	95.10794	15.554424	55.633434	16.313566	95.77706	16.789728	-1.3690369	2.4219043	19.359879	-14.944983	-56.30086	0.42433622	0.45286578	0.78381354	162.71770882606506
5	1696.8196	894.10956	2269.064	-80.38668	3009.752	33.958736	3056.9683	2951.9487	1000.0	1000.0	25000	65.1748	24.610687	127.43322	15.017944	65.174385	24.609709	126.929214	13.348661	65.98642	24.48914	127.21571	16.391134	-0.5730055	2.8998299	23.147589	-13.984428	-66.705086	0.62500215	0.6805018	1.1287444	204.96736335754395
6	2805.4578	158.884	3019.4878	2617.1316	3626.4277	99.938835	3735.282	3383.2546	1000.0	1000.0	30000	87.162346	33.487312	162.79294	13.843619	87.16189	33.485657	162.71176	13.693816	87.99986	33.177216	161.86353	15.7796755	0.21388692	3.2777631	23.90683	-13.210816	-88.82534	0.9199306	0.98782635	1.5339644	246.64679265022278
7	3204.0234	133.59169	3370.787	2971.0503	3919.9985	62.50903	4010.624	3800.1719	1000.0	1000.0	35000	112.95167	42.19226	211.33429	12.77791	112.95122	42.191227	210.85535	12.108772	113.74632	41.759247	210.86037	13.011185	0.8792481	3.5563178	28.9995	-13.974871	-114.69042	1.3201383	1.4075173	2.1278782	288.6812870502472
8	3656.691	229.6885	4003.998	3337.8264	4185.929	92.48856	4335.5723	4027.8083	1000.0	1000.0	40000	139.40231	49.976006	240.14346	12.187347	139.40202	49.975002	239.85744	9.765229	140.1215	49.44646	241.57149	13.134575	1.2344847	3.6647916	29.862938	-14.89712	-141.13431	1.7889174	1.8775744	2.7592328	331.3808364868164
9	3647.0344	722.33435	4243.055	2235.241	4343.352	139.27003	4597.755	4154.999	1000.0	1000.0	45000	164.68718	57.81866	266.70084	9.898575	164.68694	57.817272	271.57043	8.4642315	165.3704	57.224186	269.4229	9.481236	1.6148375	3.8330572	35.933228	-14.651068	-166.468	2.1261628	2.2281117	3.237804	373.76983284950256
10	4345.026	224.34503	4649.1724	3982.4204	4996.5396	111.57676	5196.1504	4822.84	1000.0	1000.0	50000	189.02898	64.95485	301.66946	4.524765	189.0284	64.95343	301.54495	4.92881	189.66508	64.31611	300.3834	8.27947	1.9462862	4.010301	38.345127	-13.661615	-190.81044	2.323643	2.4691129	3.5942445	416.61220622062683
11	4547.68	90.576195	4650.1323	4422.9575	5108.2197	114.251854	5271.5166	4948.1816	1000.0	1000.0	55000	213.2959	70.77674	330.2222	3.3859875	213.29546	70.776024	329.02405	0.9814743	213.85422	70.09831	330.82977	7.052281	2.2933981	4.129191	37.836998	-15.540016	-215.04805	2.650914	2.7216878	4.010683	459.30933475494385
12	4439.8784	904.89496	5069.7803	2651.4148	4961.7554	93.44403	5145.136	4815.194	1000.0	1000.0	60000	233.7742	76.92201	350.01364	-1.6551042	233.77441	76.92071	348.82516	0.7620901	234.27147	76.21314	348.38583	3.8249269	2.497693	4.227203	36.01109	-12.942631	-235.50003	2.8464375	2.9319112	4.2984815	502.52748560905457
13	4728.7246	499.14847	5051.841	3738.139	5030.249	213.3142	5383.819	4572.31	1000.0	1000.0	65000	252.0607	82.531235	370.52216	-3.5930896	252.0605	82.53005	370.82584	-1.6785522	252.49036	81.78237	371.45926	1.804933	2.681405	4.337053	38.857594	-15.321789	-253.7504	3.1698468	3.2955074	4.8064823	544.932633638382
14	4743.2515	220.95778	5063.0024	4522.868	5371.6304	94.929	5484.7676	5143.9336	1000.0	1000.0	70000	269.2415	84.61582	383.07135	0.7042364	269.24176	84.61381	381.5681	-0.17765486	269.57523	83.8457	380.5502	0.44036818	2.7704117	4.3709474	43.324127	-13.478098	-270.8417	3.5076742	3.6375282	5.214221	587.5143165588379
15	4996.1025	464.65015	5491.849	4138.8257	5600.0713	101.43787	5753.447	5444.4546	1000.0	1000.0	75000	284.28464	87.138275	402.59766	1.8761215	284.28406	87.137344	400.83224	-0.5926769	284.56442	86.355385	403.5664	-2.003675	2.839984	4.4424267	42.297016	-13.577118	-285.82675	3.527611	3.6635277	5.2105646	630.8359608650208
16	4848.956	755.13837	5555.1353	3390.1138	5022.6494	1309.8729	5751.2173	1224.8824	1000.0	1000.0	80000	297.11887	90.65369	422.51038	-20.989653	297.1191	90.65188	423.68216	-16.543695	297.36026	89.87114	422.52005	-26.237656	2.9229164	4.497195	47.470974	-13.124606	-298.62354	3.8853621	3.9663274	5.7350264	673.6147105693817
17	5231.5684	81.82734	5339.56	5144.4463	5712.872	98.631645	5912.542	5565.8164	1000.0	1000.0	85000	309.39435	92.50958	433.6782	-36.986874	309.39465	92.50664	432.6822	-48.67018	309.5742	91.708275	431.01144	-53.983658	2.9873195	4.4713945	42.28188	-14.739595	-310.84735	4.3968534	4.5240664	6.3318725	716.8273446559906
18	5355.3057	139.95627	5529.025	5168.77	5820.138	73.66446	5969.0796	5687.3687	1000.0	1000.0	90000	320.70142	93.25726	441.73734	-50.045082	320.70142	93.25563	440.52292	-39.166252	320.8498	92.43507	441.84845	-43.33188	3.0713017	4.4876785	40.20175	-14.105896	-322.11462	4.334532	4.4788117	6.1735926	760.0149002075195
19	5409.4	129.74402	5598.6553	5224.954	5349.836	1019.1128	5875.6797	2306.8643	1000.0	1000.0	95000	331.07724	93.84314	452.26315	-80.5349	331.07742	93.84078	453.1135	-61.98589	331.1737	93.00439	449.98914	-48.282722	3.0825822	4.479617	45.197853	-16.257477	-332.42966	4.3340564	4.4664803	6.0345187	803.9861912727356
20	5423.798	242.72902	5702.8257	4982.1865	6011.186	92.919655	6167.3735	5882.819	1000.0	1000.0	100000	340.55093	93.590096	460.27536	-71.49858	340.55127	93.58709	460.9669	-45.726162	340.59857	92.75537	460.83304	-73.8722	3.154958	4.482825	53.923435	-12.593561	-341.8262	4.368178	4.4648952	6.0900617	847.5130231380463
21	5541.884	120.00516	5727.1816	5401.787	5957.552	142.08902	6278.6353	5748.1753	1000.0	1000.0	105000	348.6837	93.61023	468.5689	-37.24263	348.68362	93.608505	466.65115	-47.801193	348.69824	92.75146	463.4926	-37.95078	3.2067366	4.500581	45.395584	-13.345942	-349.9222	4.2917233	4.5057187	5.9860334	890.5377340316772
22	5633.2183	115.325645	5809.1626	5491.5366	6262.587	90.00889	6354.5923	6116.639	1000.0	1000.0	110000	356.4947	93.77255	473.43463	-38.16742	356.49475	93.7704	471.06183	-41.962154	356.48596	92.91163	469.05103	-45.711224	3.2889545	4.57073	44.11858	-13.77142	-357.70596	4.360115	4.531206	6.1073585	933.3453438282013
23	5716.957	110.41319	5847.687	5549.772	6252.068	100.33391	6395.14	6118.5854	1000.0	1000.0	115000	364.5777	93.3301	478.75806	-32.793957	364.57748	93.32846	479.17142	-31.01832	364.5362	92.46351	475.72174	-20.402903	3.3420112	4.557313	47.554653	-14.034805	-365.7409	4.5222907	4.646578	6.2822986	976.9020020961761
24	5687.823	199.5743	5965.582	5423.2017	6374.5723	58.80794	6496.684	6284.6904	1000.0	1000.0	120000	371.32602	93.577415	483.53934	-47.528587	371.3265	93.575096	482.52295	-27.590197	371.25552	92.72658	482.1621	-65.24926	3.3497188	4.565104	47.061054	-13.582989	-372.44736	4.376619	4.4518867	6.057688	1020.5855486392975
25	6006.9414	201.53473	6253.0234	5677.4873	6542.891	132.05925	6781.2783	6356.037	1000.0	1000.0	125000	378.5282	93.34863	492.52728	-96.47722	378.52844	93.347	492.48795	-43.189693	378.45435	92.48105	492.54327	-29.281162	3.434596	4.5807786	47.50141	-12.762193	-379.6402	4.5780478	4.671498	6.193232	1065.0677688121796
26	6127.2563	115.83009	6322.23	6031.9517	6753.4585	158.11876	6998.449	6376.3574	1000.0	1000.0	130000	385.82294	94.35003	504.04083	-31.537796	385.82303	94.34776	503.6661	-45.240875	385.74893	93.49085	501.22467	-22.858513	3.4878814	4.540505	41.531754	-13.787017	-386.9214	4.5624723	4.657283	6.20267	1108.9667575359344
27	5328.423	1533.2096	6317.52	2279.6106	6920.411	122.724815	7105.972	6674.7446	1000.0	1000.0	135000	392.79794	95.25721	513.2041	-47.264496	392.79852	95.25327	514.9799	-34.91915	392.70657	94.40567	508.29074	-26.044067	3.5659125	4.58147	51.67926	-13.698061	-393.88586	4.747318	4.8004317	6.4302545	1152.4694356918335
28	6517.099	136.2498	6770.5137	6404.4404	6537.474	877.4674	7169.637	4773.8604	1000.0	1000.0	140000	398.87982	97.961174	521.8774	-24.831257	398.8803	97.95813	523.29034	-27.04069	398.77817	97.120445	518.0368	-59.939796	3.5846698	4.531054	50.8177	-16.626394	-399.96326	5.0537004	5.1771197	6.6872563	1196.398609161377
