Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
1	-280.67926	50.409534	-230.15805	-369.8784	-486.77597	110.866516	-301.87186	-687.9177	1000.0	1000.0	5000	5.674086	5.538887	32.466427	-4.433282	5.6744857	5.539594	31.85921	-4.561011	6.7161016	5.764067	33.821957	-12.039334	-1.60174	3.1696553	82.28309	-15.020326	-6.989061	0.14885397	0.1429791	0.3190753	38.704551696777344
2	-209.61919	95.42716	-31.712011	-304.6331	-574.1639	119.1718	-375.47757	-741.52625	1000.0	1000.0	10000	37.917816	15.676699	97.17392	0.89131427	37.917763	15.678602	96.92753	0.8403158	40.514923	16.138832	99.75835	3.7762492	2.7955952	4.093576	27.786098	-15.61826	-41.518738	0.6536391	0.6246358	1.3567145	78.06122207641602
3	244.36275	406.83218	676.04156	-376.24625	1402.3236	37.723003	1460.5045	1339.6783	1000.0	1000.0	15000	65.12292	13.152859	107.89122	30.210854	65.12347	13.153138	107.14736	33.361004	65.94581	13.216388	104.42536	34.528797	-0.16804488	3.476988	28.847906	-13.670582	-66.933525	0.7630865	0.73000723	1.4425364	120.62979292869568
4	1194.6735	157.23425	1387.5066	957.859	1904.8024	33.2995	1956.4961	1849.6373	1000.0	1000.0	20000	66.775406	17.026909	112.31796	27.512436	66.77532	17.028025	111.02563	28.714157	67.344025	16.855238	109.09601	30.038515	-1.15187	2.6420827	24.304047	-15.81526	-68.08864	0.58545536	0.5668584	1.0435761	162.6950581073761
5	1933.3711	448.71378	2420.5933	1162.0974	2991.7163	78.47435	3066.1145	2865.7285	1000.0	1000.0	25000	76.33235	22.650091	140.3029	19.09308	76.33237	22.650982	139.322	24.678461	76.93379	22.37217	138.3263	16.991642	-0.4756713	3.097641	43.400776	-16.06752	-77.70113	0.85974765	0.8394655	1.4024034	205.15988087654114
6	2276.189	920.3883	2898.5408	452.74255	3183.9155	195.58029	3504.495	2785.6453	1000.0	1000.0	30000	91.746895	31.095905	173.59296	23.453482	91.74695	31.09622	175.44412	22.364103	92.40184	30.712214	171.40903	24.924503	0.29102805	3.3969471	30.790955	-15.938783	-93.28453	1.2404666	1.2303076	1.8921207	248.24079656600952
7	3063.779	100.974075	3254.5703	2982.112	3560.6636	82.21	3718.7148	3406.2766	1000.0	1000.0	35000	111.89065	39.44858	194.57567	20.958427	111.89027	39.4491	197.44481	19.032866	112.506386	38.95186	194.23878	22.889372	0.90821576	3.635305	29.6011	-16.013494	-113.481125	1.8328851	1.8446847	2.5705764	290.5681195259094
8	3354.2603	77.816734	3446.6758	3246.088	3796.1821	107.80964	3974.6387	3583.588	1000.0	1000.0	40000	134.17413	45.89185	217.40918	16.792816	134.17395	45.89254	219.01355	18.444855	134.74922	45.33215	218.71497	18.171436	1.3090677	3.7221038	30.949291	-16.204428	-135.79749	2.14506	2.1278696	2.9533968	333.194855928421
9	3620.4114	155.87936	3864.0698	3438.0032	4065.1187	65.850174	4205.0854	3935.0444	1000.0	1000.0	45000	155.88394	51.504208	256.7993	14.500232	155.88339	51.50628	256.23978	13.088947	156.38327	50.909622	256.0178	13.6667185	1.6201785	3.8124204	36.2696	-14.10524	-157.50038	2.5869184	2.557304	3.487557	376.112012386322
10	3849.7964	162.9502	4100.18	3664.6802	3528.2688	1288.1887	4413.4995	876.468	1000.0	1000.0	50000	176.91695	56.53295	276.07703	11.7920065	176.91698	56.53603	276.06345	11.003809	177.39525	55.89804	275.5882	9.579821	1.931328	3.927833	33.186886	-13.213831	-178.55557	2.8948722	2.7747948	3.7763891	419.1040024757385
