Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-45.77159	79.682335	36.40915	-359.6038	-47.426865	29.79004	-20.910303	-120.6817	135.51613	30.9	5000	0.8492239	2.7006707	25.255716	-8.935177	0.8492893	2.7005644	24.618402	-8.94868	-1.9686229	0.32530183	31.92177963256836
2	-74.73472	123.668625	23.368647	-366.8729	-29.18562	6.4815893	-18.842445	-37.05605	232.63637	12.8	10000	8.589788	5.813375	47.19023	-9.790769	8.589399	5.8130703	47.46506	-9.655192	-11.449152	1.3603848	68.75904870033264
3	-118.6384	401.61368	462.6407	-1653.0293	28.239735	32.204662	101.72342	-16.23283	244.43478	263.9	15000	16.358747	6.3229084	52.757805	-9.785014	16.358667	6.3246818	49.6794	-14.677234	-18.571844	2.563086	116.04877877235413
4	49.674305	133.24162	322.62128	-247.54987	233.17815	231.10152	639.1191	4.2181597	434.4	428.3	20000	16.253199	7.5906734	51.770393	-12.008794	16.252983	7.5935364	52.28119	-12.743881	-18.204962	2.4634159	157.69852423667908
5	178.57874	200.34995	498.93835	-14.824093	156.23851	122.733185	443.63904	45.854843	429.81818	356.6	25000	15.334082	7.9383955	53.048275	-16.052069	15.333986	7.9403744	51.79547	-17.704348	-17.20134	2.2724788	200.12790393829346
6	256.67047	235.3797	628.627	8.473308	189.84354	235.85034	661.62317	17.770075	474.45456	325.3	30000	16.303383	7.6169834	50.54757	-13.316752	16.303497	7.620519	49.146324	-13.49133	-18.097382	2.3063462	245.22019338607788
7	272.7912	218.82938	642.8148	36.555622	276.7829	276.15112	711.8618	2.1437588	515.4545	371.9	35000	18.354078	7.02658	49.606075	-17.585478	18.354568	7.0284653	49.613552	-17.48583	-19.971855	2.5296354	293.3326721191406
8	256.26202	245.28363	710.73645	19.734035	391.24017	269.01523	735.40314	21.628935	450.0	600.6	40000	20.170538	6.66264	52.378475	-17.670137	20.1701	6.6640377	51.590504	-12.780829	-21.785158	2.612597	340.98495388031006
9	292.7737	222.53474	652.32837	4.0029306	391.2862	303.37152	746.4437	-0.47984645	450.4	569.9	45000	21.956573	6.4341416	53.817562	-24.628738	21.956623	6.4367375	53.545773	-25.00759	-23.53483	2.7875257	385.86451840400696
10	227.66171	251.40288	716.3765	21.771458	206.23361	252.36526	760.31384	15.379484	362.57144	292.4	50000	23.60871	6.1689177	56.79797	-24.43315	23.60877	6.170431	56.934612	-25.234573	-25.141685	2.5910323	429.8121221065521
11	280.4851	234.46228	655.52655	65.61758	416.59692	288.9685	813.72406	23.11944	426.9091	538.8	55000	25.359322	6.026973	56.671772	-18.56547	25.35931	6.0288973	58.520344	-21.078115	-26.802376	2.7866852	474.1929545402527
12	378.63153	304.1714	771.687	37.342667	417.14154	372.27353	879.0892	26.624874	505.8	489.5	60000	27.137266	6.009998	58.75256	-29.377016	27.137394	6.010781	58.60919	-24.77542	-28.551676	2.7860737	520.9689483642578
13	199.35078	212.61234	741.9157	11.950907	312.20004	327.32892	806.0062	15.051895	250.60869	381.8	65000	29.04931	6.248793	59.87565	-27.66454	29.049562	6.250619	60.475452	-31.027214	-30.4044	3.1367784	571.2995405197144
14	458.21512	279.358	793.42694	114.0779	207.03284	281.26147	818.7325	0.5003154	609.625	257.8	70000	30.864347	6.5779557	60.25066	-35.96461	30.864489	6.5809417	61.133953	-34.960503	-32.208595	3.3606493	613.9972856044769
15	318.4845	286.92404	867.5643	24.114431	311.68457	284.51816	827.4316	12.902555	415.16666	316.3	75000	32.405163	6.830102	62.72134	-45.72035	32.405537	6.8302073	63.499237	-41.905262	-33.748318	3.2058861	658.1854619979858
16	220.96219	289.40402	877.8651	2.734266	239.16	318.9126	832.76227	1.1463736	274.8889	260.0	80000	33.908722	7.1177087	62.95506	-31.450048	33.908817	7.1188	63.830254	-27.33554	-35.217804	3.5245574	701.743937253952
17	286.41302	249.91986	777.94934	17.914589	362.56665	282.4992	804.0278	24.338516	345.92856	414.7	85000	35.348904	7.3688855	63.822037	-29.991177	35.34882	7.36959	65.664894	-27.113125	-36.652893	3.7011425	746.38787317276
18	266.2422	210.03413	736.57983	9.110207	414.68854	367.69547	932.9736	-3.3930297	323.5625	470.0	90000	36.456375	7.7840323	69.010826	-30.884941	36.456272	7.788417	66.286575	-27.968067	-37.715103	4.0939918	794.7879769802094
19	456.52353	342.16843	1049.2151	86.645645	422.97363	344.12415	903.5542	21.872282	512.9	465.0	95000	37.651695	8.035396	67.84894	-29.572298	37.651855	8.040989	67.89297	-21.39717	-38.916683	4.1698713	843.1995058059692
20	422.8432	392.30588	1097.0996	-1.2529339	712.8636	325.55652	1167.6877	139.77353	463.1	752.3	100000	38.87708	8.277621	69.74102	-27.639938	38.877277	8.280437	68.52236	-22.71468	-40.11241	4.0776596	890.8651719093323
21	456.06534	356.79175	1003.4592	64.86073	444.55292	298.16937	915.06494	60.793983	521.3	459.1	105000	40.016144	8.564013	72.47666	-20.606379	40.01619	8.568128	73.40691	-20.398073	-41.285934	4.2746797	938.8947579860687
22	429.56915	274.9698	817.13477	30.318079	530.2477	356.06955	1003.699	71.73807	504.0	585.0	110000	41.24886	8.780904	73.26206	-18.351257	41.249115	8.785956	73.69692	-21.11743	-42.491196	4.391101	987.0848364830017
23	652.35297	277.65433	1026.0046	118.308586	211.61006	245.84698	904.93445	27.43164	737.1429	189.1	115000	42.348663	9.018602	75.76565	-22.323622	42.348843	9.021563	78.118286	-23.586721	-43.63287	4.4643006	1030.3013126850128
24	373.1793	373.01364	890.957	38.38378	272.2721	287.8952	925.15094	23.600338	430.5	270.8	120000	43.38547	9.220605	78.28005	-34.001377	43.38575	9.224244	79.72565	-19.874388	-44.6327	4.5674806	1069.6921203136444
25	734.4844	400.9416	1292.6359	31.148504	580.4728	537.1772	1518.0953	-1.3216197	716.0	450.1	125000	44.41184	9.535481	81.26531	-20.75278	44.412067	9.539111	80.36841	-23.561733	-45.666233	4.7155957	1119.728427886963
