Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-301.55527	17.419992	-269.31097	-318.02484	-394.30267	75.36563	-290.965	-540.01697	1000.0	1000.0	5000	0.9883617	2.4147208	14.46704	-7.460969	0.9881111	2.4139822	14.8742075	-7.1191993	-1.9228582	0.31044206	42.57979679107666
2	-238.21504	24.462276	-203.68372	-272.2834	-346.13638	34.37816	-268.57114	-402.86545	1000.0	1000.0	10000	8.852921	5.9315753	32.898567	-6.683347	8.853412	5.930036	33.07169	-6.7027807	-10.818212	0.8592618	83.10318183898926
3	-255.64847	111.5284	-72.73691	-398.20462	-468.01733	306.47382	83.28464	-943.96716	1000.0	1000.0	15000	16.766367	10.00213	66.86726	-9.616792	16.766375	10.000902	64.46721	-1.0361066	-18.306475	2.134603	124.81753015518188
4	303.00052	554.2296	1301.2965	-197.386	968.88885	586.75604	1875.4617	271.32547	1000.0	1000.0	20000	18.286777	13.417255	56.33683	-5.452879	18.28613	13.417757	55.776665	-5.6564665	-19.196886	1.8695894	166.25180959701538
5	1310.0867	558.71735	1803.9855	442.94806	1687.0814	595.9042	2452.8962	702.008	1000.0	1000.0	25000	23.114288	19.310572	87.292725	-6.042074	23.113878	19.310225	86.57281	-6.48643	-24.3243	2.9843273	207.43444991111755
6	1423.6809	646.1567	2606.623	778.6173	1069.9407	473.73697	2286.0254	620.7255	1000.0	1000.0	30000	32.43741	27.07515	118.32908	-6.705386	32.437195	27.074263	116.3654	-6.359519	-33.964916	4.959179	248.48168396949768
7	1694.5758	885.8981	2890.3206	637.4115	3097.7915	235.88425	3452.7046	2625.6099	1000.0	1000.0	35000	44.09704	35.912766	145.53659	-5.5405498	44.097157	35.911465	145.01036	-5.3549137	-45.8621	7.3338227	290.133403301239
8	3292.4517	427.13055	3892.0461	2563.1782	3506.7827	564.6512	3930.9546	1891.0103	1000.0	1000.0	40000	62.608692	46.912132	180.74031	-2.5414922	62.60854	46.911076	180.34421	-1.7715462	-64.4911	11.143192	332.222323179245
9	3615.4636	344.05804	4152.5996	3163.6707	3990.7214	186.43414	4273.2715	3639.433	1000.0	1000.0	45000	82.994934	57.328506	221.3014	0.6425078	82.99515	57.32688	220.97589	0.84840083	-84.9447	14.967836	374.79440665245056
10	3958.9985	364.20856	4459.0723	3409.72	3178.3884	1312.4508	4119.4673	485.38705	1000.0	1000.0	50000	105.38465	68.849396	251.37848	2.787619	105.38491	68.8475	252.18927	2.0964437	-107.28715	17.571388	417.00673747062683
11	4635.7964	420.15164	5186.3145	3972.1636	5328.379	153.319	5470.4717	4995.5107	1000.0	1000.0	55000	127.85392	79.92133	274.76434	2.303336	127.85398	79.91956	277.21735	3.8373997	-130.13553	21.606476	459.7557442188263
12	5081.95	373.1981	5473.034	4551.207	5493.1714	132.3629	5668.397	5186.9595	1000.0	1000.0	60000	151.64484	91.42871	301.23166	1.6971136	151.64499	91.42747	302.09637	3.37874	-153.83694	25.471565	501.95118594169617
13	5021.8545	224.36594	5310.66	4640.4404	5623.365	158.34627	5841.023	5375.491	1000.0	1000.0	65000	174.37189	101.59065	332.99478	2.9463205	174.37167	101.589264	330.48575	2.2540846	-176.58795	29.65972	545.4892172813416
14	5075.218	277.1583	5445.656	4723.609	5843.701	115.010666	6024.2256	5653.51	1000.0	1000.0	70000	196.62703	110.03147	352.3912	1.9303122	196.62674	110.03057	353.4919	4.5695963	-199.21587	34.04531	587.5902409553528
15	5517.8135	207.53664	5693.1333	5117.2153	5630.497	157.31693	5805.05	5255.799	1000.0	1000.0	75000	218.81987	117.532074	375.83395	4.509589	218.81992	117.5314	375.23172	2.325089	-221.51125	36.398476	630.8859438896179
16	5498.05	154.15224	5765.451	5318.455	6110.835	105.75705	6295.759	5953.6753	1000.0	1000.0	80000	239.5322	124.2123	399.7768	-3.5666785	239.53134	124.212906	400.12762	1.1265218	-242.2427	39.03193	671.5788152217865
17	5567.4375	341.33173	5907.1357	4916.6567	5877.482	1301.8999	6488.7505	1983.1309	1000.0	1000.0	85000	259.04532	129.85422	416.30817	0.96179557	259.0449	129.8539	417.17065	-0.48555756	-261.7368	41.730427	713.2035520076752
18	5519.5557	416.05154	5991.321	4751.8384	6505.16	128.8743	6687.4136	6287.438	1000.0	1000.0	90000	276.9334	134.61465	444.91	3.5680912	276.93405	134.61377	446.27142	3.8907945	-279.93076	46.059517	754.7455604076385
19	5723.5728	206.17365	5893.103	5326.5645	6593.801	159.56236	6791.261	6228.356	1000.0	1000.0	95000	293.1573	138.97107	458.87155	0.5625477	293.15686	138.97194	458.98026	1.06321	-295.80624	48.328243	796.0460813045502
20	6148.8	159.0953	6295.774	5868.543	5893.558	252.3786	6390.0215	5598.432	1000.0	1000.0	100000	309.6026	142.91438	476.7064	-1.7575147	309.60266	142.91388	475.7179	-10.947388	-311.95657	49.18444	837.4962606430054
21	6020.4326	153.7012	6184.776	5782.9766	6511.9707	214.54684	6871.511	6256.127	1000.0	1000.0	105000	325.3457	146.26822	491.38846	-4.6271787	325.34515	146.26964	492.15	-0.20024276	-328.78934	49.397842	878.3209321498871
22	6200.7725	86.600136	6337.164	6124.431	6789.4595	168.1877	7000.1353	6378.1216	1000.0	1000.0	110000	340.0829	149.30968	502.8318	-4.9428864	340.0826	149.31003	501.13354	-3.5897927	-342.5555	48.48765	920.4017291069031
23	6255.5796	52.84712	6317.7617	6176.1416	6701.63	108.3459	6874.8164	6509.656	1000.0	1000.0	115000	354.00964	151.75653	520.3963	-6.7108517	354.0091	151.75732	520.6932	-3.6194162	-356.79807	47.779087	961.1059856414795
24	5861.9316	331.58182	6196.364	5257.8267	6480.9854	123.30713	6641.1597	6326.8325	1000.0	1000.0	120000	366.56763	153.38585	530.5485	-6.758439	366.56775	153.38535	530.10046	-19.50063	-369.4739	50.086586	1003.3555858135223
25	6044.461	189.85977	6304.8657	5714.3096	6432.3076	134.70854	6729.4565	6229.0386	1000.0	1000.0	125000	377.94556	154.59024	540.34357	-5.3873844	377.94534	154.59135	537.8839	-9.986975	-380.51926	51.39129	1046.440391778946
26	5278.5586	1670.4952	6306.4224	1943.8156	6819.7134	119.67029	7082.104	6683.4243	1000.0	1000.0	130000	386.52655	156.68456	544.78265	-22.954033	386.526	156.68399	547.9599	-7.6949863	-388.8685	51.700336	1087.6631405353546
27	6379.1475	129.44653	6536.894	6222.9307	6077.5596	738.67645	6783.213	4014.193	1000.0	1000.0	135000	395.7038	157.90906	553.49646	-17.413792	395.70404	157.9091	553.0244	-6.284821	-398.3769	50.566624	1129.6725015640259
28	6046.3555	191.5646	6275.286	5740.7065	6560.608	994.9222	7216.8037	3845.395	1000.0	1000.0	140000	404.25055	158.73212	559.68353	-15.467202	404.25055	158.73221	560.1411	-22.485317	-406.71954	52.199715	1171.4706172943115
29	6194.1904	215.34427	6422.6494	5848.0347	6710.6577	147.75461	6898.8896	6480.4473	1000.0	1000.0	145000	413.24445	158.07867	564.3814	-31.822947	413.24466	158.07916	563.30585	-30.535118	-415.43564	51.00686	1213.5486652851105
30	6276.5264	223.10376	6483.537	5859.7803	6952.229	103.340576	7116.896	6764.1626	1000.0	1000.0	150000	420.7639	157.97472	571.4788	-15.821693	420.76373	157.97443	569.95526	-15.530612	-422.8194	51.246517	1256.0613176822662
31	6329.664	229.59286	6632.582	6041.219	6017.7446	226.26483	6452.0913	5505.134	1000.0	1000.0	155000	428.9559	156.88368	577.1381	-13.012693	428.95627	156.88313	577.7699	-7.2406254	-431.6446	52.9771	1299.4175577163696
32	6191.005	156.84396	6360.1733	5964.4473	6604.1104	123.560875	6847.1816	6460.8174	1000.0	1000.0	160000	435.73404	156.45021	577.39984	-20.364006	435.7334	156.45116	577.5631	-5.708179	-438.0678	52.00105	1341.3532388210297
33	6355.017	225.21707	6730.5557	6064.843	7238.603	138.78622	7454.816	6977.549	1000.0	1000.0	165000	442.10464	156.0508	583.50085	-6.7675953	442.10477	156.05133	583.3971	-7.2943645	-444.44	49.56915	1382.1116700172424
34	6362.612	253.10869	6577.938	5989.6567	6848.203	122.4202	7063.062	6690.0537	1000.0	1000.0	170000	447.93326	155.9463	587.56915	-8.27018	447.93335	155.94676	586.298	-14.115309	-450.1917	48.22909	1424.7569439411163
35	6550.2	141.5367	6783.7656	6376.288	7200.2173	60.35784	7275.906	7111.602	1000.0	1000.0	175000	453.69168	155.47534	594.795	-21.64662	453.69144	155.47531	594.2566	-15.278544	-455.6234	46.180508	1467.1025013923645
36	6536.2007	122.24674	6710.1626	6397.232	7215.622	156.95467	7395.9766	6884.8823	1000.0	1000.0	180000	459.2972	155.48949	601.43787	-18.929062	459.29706	155.48961	603.795	-15.51162	-461.264	45.09635	1509.4840154647827
37	6500.7197	79.86767	6589.1313	6382.12	7211.966	123.250084	7457.664	7035.5156	1000.0	1000.0	185000	465.163	154.98625	602.6717	-18.909874	465.16348	154.98544	603.4433	-15.843049	-467.6128	44.00013	1551.6754784584045
