Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
1	-282.7567	40.8623	-242.62375	-338.74023	-47.31138	33.26486	27.835413	-96.30137	1000.0	1000.0	5000	5.928093	5.5236773	37.10998	-5.876734	5.928528	5.523276	36.580853	-6.414053	6.975209	5.6977663	39.497307	-10.370076	-1.694211	2.779332	61.497818	-13.096285	-7.2808924	0.14800674	0.14843826	0.29805568	41.46462559700012
2	-345.65	67.42569	-243.42503	-420.50638	-295.9033	170.36124	38.36559	-478.19217	1000.0	1000.0	10000	41.15829	21.026213	121.17868	-1.2489202	41.158356	21.026325	122.94676	-0.44374192	44.77334	22.692358	126.65285	2.4792182	3.850654	4.8912067	39.946117	-16.18041	-45.773495	0.82084775	0.8086331	1.689018	83.07463932037354
3	-97.67261	254.66826	185.54147	-532.4351	1490.968	169.87704	1766.8783	1230.4976	1000.0	1000.0	15000	94.97514	9.6184	140.17432	48.24555	94.97534	9.616904	138.79807	45.63797	96.39643	9.537101	139.11829	41.279762	1.4984019	4.456103	49.693287	-15.441011	-97.55287	0.95748377	0.92086464	1.9678916	127.06179141998291
4	1170.9866	133.06172	1414.5676	1025.2429	1857.6995	472.84982	2184.2004	468.55945	1000.0	1000.0	20000	85.39394	14.900248	122.57002	41.552124	85.39422	14.900562	121.70249	41.714603	85.88247	14.865562	122.84627	42.959038	-1.0557439	2.6289458	23.539913	-12.681759	-86.67203	0.6251912	0.5977199	1.1487246	170.42628502845764
5	1865.029	314.49634	2188.8457	1323.0802	2741.7566	56.290527	2847.4836	2642.4346	1000.0	1000.0	25000	87.78649	23.096655	140.81244	28.019556	87.78685	23.098036	141.06828	27.91263	88.42546	22.918303	139.8564	30.231133	-0.5159155	2.78001	21.784065	-15.597533	-89.22697	0.8713743	0.8173409	1.3937519	213.39869093894958
6	2545.0005	212.63013	2815.7986	2326.473	3083.49	877.0788	3454.6565	459.08102	1000.0	1000.0	30000	101.51254	31.00014	168.68744	24.52533	101.51275	31.00148	170.50446	24.180489	102.26191	30.595383	168.38501	26.222519	0.37717864	3.1051118	24.689865	-13.630566	-103.1677	1.1533579	1.0904666	1.7897484	256.6005206108093
7	3027.19	164.92755	3262.4126	2827.0557	3674.559	70.9467	3760.725	3560.5684	1000.0	1000.0	35000	122.13761	35.917282	197.46887	24.72894	122.13779	35.91762	198.25609	24.77472	122.9365	35.227283	196.35649	27.880255	1.1240737	3.3369956	34.895573	-12.355833	-123.9321	1.3182467	1.2683088	2.0793192	300.4175169467926
8	3375.7935	92.46601	3459.7625	3215.8699	4055.7227	52.465313	4123.1055	3952.2524	1000.0	1000.0	40000	145.55292	38.444897	225.36736	38.474976	145.55339	38.445168	225.46173	33.528187	146.35513	37.552597	224.63268	40.99212	1.6234936	3.529781	32.042778	-13.599234	-147.38147	1.6598659	1.5889372	2.5415726	343.913854598999
9	3792.8	118.85471	4024.0708	3686.6033	4405.1123	62.010193	4483.683	4295.151	1000.0	1000.0	45000	169.22276	41.42525	257.39417	57.49803	169.22318	41.425285	256.67725	57.27933	169.9811	40.44411	256.22562	59.779045	1.8752471	3.6258068	32.307163	-15.234666	-171.0296	1.9004055	1.8524207	2.895093	387.09169244766235
10	4083.8164	76.401245	4183.4004	3976.518	4488.6226	43.78455	4536.4644	4386.588	1000.0	1000.0	50000	192.88857	44.081726	283.29858	72.42562	192.88835	44.081825	279.73267	72.05203	193.61086	42.988	280.4045	74.81337	2.1498609	3.7827172	32.18097	-14.110662	-194.71051	2.004306	1.9807646	3.130423	430.9708802700043
