Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-884.0208	103.64515	-726.8234	-1017.4449	1000.0	-0.00998427	0.48979285	1.6506127	-1.7517717	4000	-0.010112093	7010.366	-0.01194921	-1061.7134	5.5445275	0.006320778	5.213238716125488
1	-686.7379	83.86322	-615.31525	-829.78564	1000.0	-8.65054	4.8146057	12.016335	-15.25021	8000	-0.05495678	3770.4956	-0.007413108	-1301.7622	5.4936132	0.00469905	9.51185917854309
2	-770.7544	136.05818	-571.6123	-933.83563	1000.0	-21.638401	3.8053176	22.250961	-23.38781	12000	0.028019283	3048.8186	-0.005101811	-746.1592	5.4818697	0.0003126585	13.860173225402832
3	-701.8738	166.88853	-541.8573	-937.1763	1000.0	-29.895563	1.488916	6.0436473	-30.231386	16000	-0.04140525	2160.448	-0.003717646	-322.8573	5.4980497	0.0013271241	18.26992917060852
4	-641.70746	76.338554	-585.5105	-772.9297	1000.0	-31.50379	14.927832	34.71543	-35.210144	20000	-0.04703454	1257.5762	-0.002810035	-333.104	5.4654684	0.00018402815	22.792625904083252
5	-664.4758	89.950645	-582.56085	-808.4429	1000.0	-38.47724	0.14776653	-35.57603	-38.561394	24000	-0.048743986	926.678	-0.0029600374	-124.73633	5.530918	0.0010122093	27.44740080833435
6	-606.1614	63.162937	-540.3514	-696.5011	1000.0	-41.81328	0.093000956	-39.941315	-41.851357	28000	-0.009628708	733.878	-0.0037820125	-63.708862	5.4977293	0.0017787208	32.102808713912964
7	-640.81226	52.90227	-553.99524	-696.76294	1000.0	-44.262314	0.30337843	-31.506104	-44.34221	32000	-0.022173796	727.30273	-0.0025376454	-48.262634	5.5080914	0.00036450033	36.78384613990784
8	-602.31726	51.23725	-540.38055	-682.8701	1000.0	-46.438446	0.53152454	-30.15828	-46.517498	36000	-0.052717615	419.10934	-0.0026814789	-28.341675	5.517374	-0.0004466778	41.4781289100647
9	-687.5531	75.582054	-602.5081	-768.5624	1000.0	-48.121964	0.5543973	-37.827496	-48.26004	40000	0.005925547	866.08563	-0.0016892701	-64.18976	5.488648	-9.969473e-07	45.97396802902222
10	-549.27374	81.68759	-482.11862	-687.1933	1000.0	-50.13024	3.8185194	36.333458	-50.838444	44000	0.017782157	799.54474	-0.0032127677	-72.087585	5.510402	0.00086534454	50.68406128883362
11	-601.13855	27.578085	-575.1351	-647.0858	1000.0	-48.537987	5.0407724	4.298027	-51.155075	48000	-0.015764933	535.5743	-0.0018885508	-43.889587	5.4823084	0.0006552948	55.29421329498291
12	-532.27625	52.707832	-442.97855	-574.0859	1000.0	-50.812542	5.0716467	29.144392	-52.103783	52000	-0.034350853	284.22836	-0.0026646443	-45.179443	5.5382986	0.00084703614	59.95825123786926
13	-580.8058	114.96668	-412.32254	-736.5786	1000.0	-43.409454	8.619431	4.5046444	-51.638615	56000	0.0072873305	737.8631	-0.0011481666	-123.15997	5.523358	0.0011280001	64.24122738838196
14	-541.9485	127.34549	-413.50385	-734.0428	1000.0	-48.878654	6.748843	14.024755	-52.530487	60000	0.006115217	552.5875	-0.002148752	-44.2406	5.5431776	0.00086288404	68.660959482193
