Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-571.43555	30.792408	-533.91956	-615.9652	1000.0	0.016526662	0.48531827	1.6455499	-1.4846647	4000	-1.5819073e-07	3153.0894	-0.048071038	-725.96387	5.4791875	0.015915683	0.2165	15.0	5.029296398162842
1	-607.5821	6.9180107	-599.9932	-617.97394	1000.0	1.2866467	9.467897	14.643089	-15.682328	8000	8.022785e-08	3729.8035	-0.05716099	-1952.7062	5.5184608	0.01540303	0.291	28.0	9.409340143203735
2	-549.44196	113.60802	-363.22287	-667.4304	1000.0	-17.020601	4.2103925	7.6280293	-21.433874	12000	-2.6702882e-08	1380.7415	-0.046166006	-592.7922	5.433841	0.015573665	0.24525	21.0	13.988198280334473
3	-605.98346	64.80225	-547.3865	-715.1807	1000.0	-27.701578	1.2097858	-3.4990723	-28.501137	16000	7.4625014e-08	1031.21	-0.03976502	-333.33246	5.4955635	0.016670711	0.1685	15.0	18.078259706497192
4	-484.6049	87.74385	-371.923	-613.54517	1000.0	-34.156445	1.0907326	-14.683647	-34.588737	20000	-1.704693e-08	502.48355	-0.015819723	-68.328705	5.401081	0.017171854	0.24425	6.0	22.071878910064697
5	-575.01514	47.45167	-523.3114	-623.9113	1000.0	-36.94048	2.3564482	10.017723	-37.528923	24000	-1.9073487e-09	469.26465	-0.017709097	-116.204254	5.387448	0.018924454	0.22475	5.0	26.500831127166748
6	-517.1841	61.139935	-443.6072	-596.1451	1000.0	-40.868538	0.7689944	-30.16847	-41.16637	28000	8.5830685e-09	254.3315	-0.017802058	-20.891235	5.440579	0.017599914	0.23775	7.0	30.97496509552002
7	-460.83585	40.842346	-390.84644	-491.44467	1000.0	-42.61754	1.1886287	-8.181673	-42.9521	32000	2.503395e-08	185.36406	-0.01515763	-11.892426	5.375251	0.018931061	0.275	6.0	35.14080548286438
8	-534.1045	37.49076	-498.7989	-597.0719	1000.0	-42.20147	2.4059477	10.955745	-42.798462	36000	-2.360344e-08	305.82684	-0.015323945	-19.776031	5.3502874	0.02099284	0.24775	5.0	39.4561026096344
9	-500.10803	27.99994	-467.2842	-533.2644	1000.0	-43.59615	2.8190055	10.705573	-44.240463	40000	-2.9802323e-09	193.5203	-0.015634354	-8.763916	5.3513007	0.016881099	0.2035	6.0	43.9065887928009
10	-452.80554	32.974186	-409.52222	-492.33078	1000.0	-44.421963	1.7924477	-5.442114	-44.818275	44000	-8.8214875e-09	232.8814	-0.011644598	-20.960175	5.413711	0.019536918	0.20975	5.0	48.50484919548035
11	-413.44125	32.921795	-375.55817	-456.48434	1000.0	-42.87968	3.7232492	18.155333	-44.17833	48000	6.6757204e-09	148.57065	-0.039710946	-17.722473	5.3616114	0.016164146	0.20125	18.0	53.0415096282959
12	-439.0218	36.813763	-382.21817	-480.58536	1000.0	-40.41902	4.5049543	2.2037263	-43.407024	52000	8.225441e-09	176.13535	-0.016756594	-10.368027	5.307209	0.019218428	0.2195	6.0	56.96604013442993
13	-425.32843	5.096005	-419.54343	-433.4716	1000.0	-38.9243	6.57441	13.383202	-43.492226	56000	1.1205673e-08	140.63618	-0.014049134	-33.906998	5.3075495	0.019199079	0.231	5.0	61.00987696647644
14	-398.1619	57.79033	-304.99118	-448.89807	1000.0	-39.068756	4.516929	-3.1542296	-43.00241	60000	1.0967255e-08	184.64848	-0.018678611	-22.143875	5.3027945	0.021439748	0.27975	6.0	65.6433756351471
15	-401.9867	34.030422	-359.43542	-453.7757	1000.0	-37.501305	4.3126736	9.462538	-42.45762	64000	-8.5830685e-09	127.38503	-0.011340198	-17.108253	5.334393	0.019095497	0.216	5.0	69.97945046424866
16	-413.2661	37.057926	-376.79327	-472.19437	1000.0	-35.30616	4.7767987	15.873756	-42.084103	68000	2.0742416e-08	162.65605	-0.0510045	-26.169159	5.2977715	0.016031936	0.25125	24.0	74.13951015472412
17	-446.44574	35.590027	-402.4969	-499.10825	1000.0	-36.01154	3.1956012	0.30540958	-41.837826	72000	8.5830685e-09	212.47017	-0.015817417	-22.575867	5.2858124	0.018352058	0.25175	6.0	78.2375750541687
18	-364.5761	27.92544	-327.27487	-399.43353	1000.0	-38.352108	2.3291237	-7.3307295	-42.45486	76000	-1.6212464e-08	168.4694	-0.05982644	-31.039078	5.272605	0.015895452	0.2855	36.0	82.51968002319336
19	-377.1159	23.051643	-343.6499	-407.0604	1000.0	-34.243546	3.1470997	-3.502027	-41.693768	80000	5.2452087e-09	136.70485	-0.041251116	-18.22174	5.2880206	0.016283039	0.1955	17.0	87.02200841903687
20	-348.93872	85.523186	-256.3724	-460.75742	1000.0	-32.941467	2.9055812	-8.881252	-41.28964	84000	5.960465e-11	265.00137	-0.048508856	-42.82846	5.2055335	0.016444918	0.253	24.0	91.87579250335693
21	-312.73544	38.217014	-252.96555	-357.27975	1000.0	-31.29864	5.69964	12.344542	-41.271397	88000	2.783537e-08	150.90234	-0.04458135	-34.062874	5.170172	0.015952658	0.219	19.0	96.23596358299255
22	-317.1494	72.70749	-221.89777	-425.2834	1000.0	-29.377077	5.76314	12.675765	-40.432655	92000	-4.2915342e-09	128.41493	-0.04630991	-31.486145	5.136055	0.0159467	0.22625	21.0	100.80881452560425
23	-310.0114	43.376404	-259.16248	-377.83078	1000.0	-26.501041	3.9313703	4.886626	-40.354137	96000	-2.384186e-10	153.07042	-0.017787736	-23.0195	5.135391	0.018476104	0.27075	6.0	104.94209718704224
24	-307.93295	47.08372	-229.65594	-355.02063	1000.0	-28.605253	2.7733986	-12.556385	-40.497055	100000	-1.6689301e-09	117.54665	-0.051042207	-10.832016	5.1706915	0.016400885	0.2655	26.0	109.15479969978333
25	-308.48187	29.745333	-266.2067	-344.7569	1000.0	-26.5892	2.7376082	-7.875964	-39.736927	104000	-3.170967e-08	89.053764	-0.047276378	-5.6493454	5.113508	0.016012058	0.2485	22.0	113.68514060974121
26	-280.7008	18.955193	-259.00958	-309.9571	1000.0	-27.224264	2.8295636	-9.727871	-40.569244	108000	-2.503395e-09	88.5322	-0.016690806	-13.850189	5.0584383	0.016923482	0.23775	5.0	117.83954405784607
27	-260.7771	77.91115	-198.14877	-391.99765	1000.0	-24.903465	3.0676582	19.72392	-40.06115	112000	2.4318695e-08	193.2775	-0.043105878	-31.559082	5.0599813	0.015863424	0.2145	21.0	122.5222680568695
28	-280.53717	22.057943	-257.6057	-316.83557	1000.0	-22.738672	3.6630583	11.095468	-40.465614	116000	-1.9073486e-08	91.45694	-0.050376866	-11.240868	5.070787	0.016441945	0.24275	22.0	126.76964330673218
29	-237.23886	22.57595	-200.6744	-260.9675	1000.0	-27.265966	5.7210374	-10.524349	-40.81527	120000	1.2159347e-08	156.6183	-0.046089284	-69.16913	5.0255294	0.01648653	0.24375	19.0	131.10524606704712
